[2026-05-19T17:22:35+0300] Launching realtime watcher process...
2026-05-19 17:22:36,947 DEBUG asyncio | Using selector: KqueueSelector
2026-05-19 17:22:37,203 DEBUG realtime._async.client | Attempting to connect to WebSocket at wss://gsdrcyrduxbrxgsvhxvr.supabase.co/realtime/v1/websocket?apikey=YOUR_KEY_HERE
2026-05-19 17:22:37,237 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:37,275 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:37,275 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:37,275 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:37,275 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:37,275 DEBUG websockets.client | > Sec-WebSocket-Key: Lsqkz9COHq3nCRUFW1KoZg==
2026-05-19 17:22:37,275 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:37,275 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:37,275 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:37,394 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:37,394 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:25 GMT
2026-05-19 17:22:37,395 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:37,395 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:37,395 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:37,395 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:37,395 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
2026-05-19 17:22:37,395 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:37,395 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:37,395 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:37,395 DEBUG websockets.client | < sb-request-id: 019e409e-bda5-709d-af49-d3305a0f9b14
2026-05-19 17:22:37,395 DEBUG websockets.client | < Set-Cookie: __cf_bm=_bdjNInzwfr0A9eNQnqPl73_elDWBrmEamMniH0rc4c-1779200605-1.0.1.1-APzFlnsDjOBEg72iCtmpseUdL7ar7nQEbhMLMXJEQyJOJ8h2axHzf2xjBMtaZ4hgoHhSgSeyQWTeRszEbqwaxTb0gYdt2gbqiE0MY.FYw7k; path=/; expires=Tue, 19-May-26 14:53:25 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:37,396 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:37,396 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:37,396 DEBUG websockets.client | < CF-RAY: 9fe3c268e9b03d7c-TLV
2026-05-19 17:22:37,396 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:37,396 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:37,396 DEBUG websockets.client | > EOF
2026-05-19 17:22:37,396 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:37,397 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:37,397 DEBUG realtime._async.client | Retry 1/5: Next attempt in 1.00s (backoff=1.0s)
2026-05-19 17:22:37,397 DEBUG websockets.client | < EOF
2026-05-19 17:22:37,398 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:38,418 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:38,453 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:38,453 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:38,454 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:38,454 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:38,454 DEBUG websockets.client | > Sec-WebSocket-Key: H1OnEwRnuPmu+LvkhQC4Ow==
2026-05-19 17:22:38,454 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:38,454 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:38,454 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:38,550 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:38,550 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:26 GMT
2026-05-19 17:22:38,550 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:38,550 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:38,550 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:38,550 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:38,550 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
