showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,The Great Arch,הקשת הגדולה,,,,,French,,,2025,2026-01-22,,104,All,,Lev Cinema,152
,Hamnet,המנט,,,,,English,,,2025,2026-01-22,,125,All,,Lev Cinema,152
,A Pale View of Hills,נוף גבעות חיוור,,,,,Japanese,,,2025,2026-01-29,,123,All,,Lev Cinema,152
,DJ Ahmet,להזיז הרים,,,,,Macedonian,,,2025,2026-02-12,,99,,,Lev Cinema,152
,My Friend Eva,הכל אודות אווה,,,,,Spanish,,,2025,2026-02-19,,100,All,,Lev Cinema,152
,"Two Seasons, Two Strangers","שתי עונות, שני זרים",,,,,Japanese,,,2025,2026-02-19,,89,All,,Lev Cinema,152
,The Soundman,רדיו בריסל,,,,,Dutch,,,2025,2026-02-26,,120,All,,Lev Cinema,152
,La Grazia,החסד,,,,,Italian,,,2025,2026-03-05,,133,,,Lev Cinema,152
,Queen Mom,המלכה האם,,,,,French,,,2025,2026-03-19,,94,All,,Lev Cinema,152
,Colours of Time,צבעי הזמן,,,,,French,,,2025,2026-04-02,,124,,,Lev Cinema,152
,Three Men and Vilma,"שלג, גברים וצרות אחרות",,,,,Norwegian,,,2025,2026-04-02,,92,All,,Lev Cinema,152
