showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
22:00,28 Years Later: The Bone Temple,28 שנה אחרי: מקדש העצמות,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115464&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115464&languageid=he_IL,Regular,2D,,,2026-01-28,2026,,,109,16+,Kfar Saba,Hot Cinema,156
17:00,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115248&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115248&languageid=he_IL,Regular,2D Atmos,,,2026-01-28,2025,,,192,12+,Kfar Saba,Hot Cinema,156
19:45,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115272&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115272&languageid=he_IL,Regular,2D Atmos,,,2026-01-28,2025,,,192,12+,Kfar Saba,Hot Cinema,156
18:00,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115250&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115250&languageid=he_IL,Regular,3D Atmos,,,2026-01-28,2025,,,192,12+,Kfar Saba,Hot Cinema,156
19:30,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115246&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115246&languageid=he_IL,Regular,3D Atmos,,,2026-01-28,2025,,,192,12+,Kfar Saba,Hot Cinema,156
21:45,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115249&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115249&languageid=he_IL,Regular,3D Atmos,,,2026-01-28,2025,,,192,12+,Kfar Saba,Hot Cinema,156
21:50,Anaconda,אנקונדה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115276&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115276&languageid=he_IL,Regular,2D,,,2026-01-28,2025,,,0,הגבלת גיל: הותר מגיל 9,Kfar Saba,Hot Cinema,156
16:50,The SpongeBob Movie: Search for SquarePants,בובספוג הסרט: מחפשים את מכנסמרובע,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115277&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115277&languageid=he_IL,Regular,2D,,Hebrew,2026-01-28,2025,,,96,All,Kfar Saba,Hot Cinema,156
19:40,Greenland 2: Migration,גרינלנד: בתנועה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115263&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115263&languageid=he_IL,Regular,2D,,,2026-01-28,2026,,,98,All,Kfar Saba,Hot Cinema,156
19:30,Bull Run,הכריש מוול סטריט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115268&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115268&languageid=he_IL,Regular,2D,,,2026-01-28,2024,,,97,הגבלת גיל: הותר מגיל 9,Kfar Saba,Hot Cinema,156
21:40,Bull Run,הכריש מוול סטריט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115269&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115269&languageid=he_IL,Regular,2D,,,2026-01-28,2024,,,97,הגבלת גיל: הותר מגיל 9,Kfar Saba,Hot Cinema,156
16:50,HAMNET,המנט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115256&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115256&languageid=he_IL,Regular,2D,,,2026-01-28,2026,,,125,All,Kfar Saba,Hot Cinema,156
18:10,HAMNET,המנט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115255&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115255&languageid=he_IL,Regular,2D,,,2026-01-28,2026,,,125,All,Kfar Saba,Hot Cinema,156
17:20,Mercy,הנאשם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115260&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115260&languageid=he_IL,Regular,2D Atmos,,,2026-01-28,2026,,,0,All,Kfar Saba,Hot Cinema,156
19:50,Mercy,הנאשם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115258&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115258&languageid=he_IL,Regular,2D,,,2026-01-28,2026,,,0,All,Kfar Saba,Hot Cinema,156
22:00,Mercy,הנאשם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115259&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-115259&languageid=he_IL,Regular,2D,,,2026-01-28,2026,,,0,All,Kfar Saba,Hot Cinema,156
