showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
18:15,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/768018?lang=en,https://tickets.cinema-city.co.il/order/768018?lang=he,Regular,2D,,,2026-02-05,,,,145,All,Glilot,Cinema City,219
20:00,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/755264?lang=en,https://tickets.cinema-city.co.il/order/755264?lang=he,Regular,2D,,,2026-02-05,,,,145,All,Glilot,Cinema City,219
19:00,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/755265?lang=en,https://tickets.cinema-city.co.il/order/755265?lang=he,Regular,2D,,,2026-02-06,,,,145,All,Glilot,Cinema City,219
22:10,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/755266?lang=en,https://tickets.cinema-city.co.il/order/755266?lang=he,Regular,2D,,,2026-02-06,,,,145,All,Glilot,Cinema City,219
14:40,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/766390?lang=en,https://tickets.cinema-city.co.il/order/766390?lang=he,Regular,2D,,,2026-02-07,,,,145,All,Glilot,Cinema City,219
17:50,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/755267?lang=en,https://tickets.cinema-city.co.il/order/755267?lang=he,Regular,2D,,,2026-02-07,,,,145,All,Glilot,Cinema City,219
21:00,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/755268?lang=en,https://tickets.cinema-city.co.il/order/755268?lang=he,Regular,2D,,,2026-02-07,,,,145,All,Glilot,Cinema City,219
18:45,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,https://tickets.cinema-city.co.il/order/766239?lang=en,https://tickets.cinema-city.co.il/order/766239?lang=he,Regular,2D,,,2026-02-09,,,,145,All,Glilot,Cinema City,219
15:45,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/762515?lang=en,https://tickets.cinema-city.co.il/order/762515?lang=he,Regular,2D,,,2026-02-04,,,,192,12+,Glilot,Cinema City,219
19:50,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/762490?lang=en,https://tickets.cinema-city.co.il/order/762490?lang=he,Regular,2D,,,2026-02-04,,,,192,12+,Glilot,Cinema City,219
20:20,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/768023?lang=en,https://tickets.cinema-city.co.il/order/768023?lang=he,Regular,2D,,,2026-02-05,,,,192,12+,Glilot,Cinema City,219
21:00,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/768044?lang=en,https://tickets.cinema-city.co.il/order/768044?lang=he,Regular,2D,,,2026-02-06,,,,192,12+,Glilot,Cinema City,219
11:30,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/766337?lang=en,https://tickets.cinema-city.co.il/order/766337?lang=he,Regular,2D,,,2026-02-07,,,,192,12+,Glilot,Cinema City,219
13:20,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/766312?lang=en,https://tickets.cinema-city.co.il/order/766312?lang=he,Regular,2D,,,2026-02-07,,,,192,12+,Glilot,Cinema City,219
17:20,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/766334?lang=en,https://tickets.cinema-city.co.il/order/766334?lang=he,Regular,2D,,,2026-02-07,,,,192,12+,Glilot,Cinema City,219
19:30,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/766314?lang=en,https://tickets.cinema-city.co.il/order/766314?lang=he,Regular,2D,,,2026-02-07,,,,192,12+,Glilot,Cinema City,219
19:50,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/766268?lang=en,https://tickets.cinema-city.co.il/order/766268?lang=he,Regular,2D,,,2026-02-08,,,,192,12+,Glilot,Cinema City,219
15:50,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/768043?lang=en,https://tickets.cinema-city.co.il/order/768043?lang=he,Regular,3D,,,2026-02-06,,,,192,12+,Glilot,Cinema City,219
15:30,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/766313?lang=en,https://tickets.cinema-city.co.il/order/766313?lang=he,Regular,3D,,,2026-02-07,,,,192,12+,Glilot,Cinema City,219
19:30,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/768004?lang=en,https://tickets.cinema-city.co.il/order/768004?lang=he,Regular,2D,,,2026-02-05,,,,139,14+,Glilot,Cinema City,219
22:30,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/768005?lang=en,https://tickets.cinema-city.co.il/order/768005?lang=he,Regular,2D,,,2026-02-05,,,,139,14+,Glilot,Cinema City,219
19:30,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/768085?lang=en,https://tickets.cinema-city.co.il/order/768085?lang=he,Regular,2D,,,2026-02-06,,,,139,14+,Glilot,Cinema City,219
22:30,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/768084?lang=en,https://tickets.cinema-city.co.il/order/768084?lang=he,Regular,2D,,,2026-02-06,,,,139,14+,Glilot,Cinema City,219
18:20,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/766368?lang=en,https://tickets.cinema-city.co.il/order/766368?lang=he,Regular,2D,,,2026-02-07,,,,139,14+,Glilot,Cinema City,219
21:20,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/766367?lang=en,https://tickets.cinema-city.co.il/order/766367?lang=he,Regular,2D,,,2026-02-07,,,,139,14+,Glilot,Cinema City,219
19:00,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/766254?lang=en,https://tickets.cinema-city.co.il/order/766254?lang=he,Regular,2D,,,2026-02-08,,,,139,14+,Glilot,Cinema City,219
21:45,NO OTHER CHOICE,אין ברירה אחרת,https://tickets.cinema-city.co.il/order/766253?lang=en,https://tickets.cinema-city.co.il/order/766253?lang=he,Regular,2D,,,2026-02-08,,,,139,14+,Glilot,Cinema City,219
