showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,The Grinch,הגרינץ' תרגום בערבית - الجرينش,,,,,,,,2018,2026-02-05,,90,,,Hot Cinema,219
,סינמה אישי הדר מרקס,ערב אישי עם הדר מרקס ואורח הכבוד בני כבודי,,,,,,,,,2026-02-05,,70,,,Hot Cinema,219
,חשבונות שמיים,חשבונות שמיים,,,,,,,,2025,2026-02-05,,87,,,Hot Cinema,219
,"Die, my love","תמות, אהובי",,,,,,,,2026,2026-02-05,,119,,,Hot Cinema,219
,Stray Kids : The dominATE Experience,Stray Kids ההופעה,,,,,,,,2026,2026-02-05,,145,,,Hot Cinema,219
,Predator,הטורף,,,,,,,,1987,2026-02-05,,106,,,Hot Cinema,219
,Return to Silent Hill,בחזרה לסיילנט היל,,,,,,,,2026,2026-02-05,,106,,,Hot Cinema,219
,DJ Ahmet,להזיז הרים,,,,,,,,2025,2026-02-05,,99,,,Hot Cinema,219
,Yes,כן! מתורגם לרוסית ДА,,,,,,,,2025,2026-02-05,,149,,,Hot Cinema,219
,The Strangers: Chapter 3,הזרים: חלק 3,,,,,,,,2026,2026-02-05,,91,,,Hot Cinema,219
,No Other Choice,אין ברירה אחרת,,,,,,,,2025,2026-02-05,,138,,,Hot Cinema,219
,הצגה הדייג ודג הזהב,הצגה הדייג ודג הזהב,,,,,,,,,2026-02-07,,60,,,Hot Cinema,219
,יובל אברמוביץ',יובל אברמוביץ' - הרשימה - חלומות שצריך לצעוק,,,,,,,,,2026-02-09,,60,,,Hot Cinema,219
,בוקר תרבות בקולנוע - אהרון פררה,בוקר תרבות בקולנוע - אהרון פררה,,,,,,,,,2026-02-11,,45,,,Hot Cinema,219
,ערב אישי עם רוני שינקמן – הרצאה לוולנטיין,ערב אישי עם רוני שינקמן – הרצאה לוולנטיין,,,,,,,,,2026-02-12,,80,,,Hot Cinema,219
,Solo Mio,להתאהב ברומא,,,,,,,,2026,2026-02-12,,100,,,Hot Cinema,219
,ADDITION,לאהוב את גרייס,,,,,,,,2024,2026-02-12,,90,,,Hot Cinema,219
,ננסי ברנדס ואוסנת שיר-וישינסקי -החיים זה לא שחור לבן,ננסי ברנדס ואוסנת שיר-וישינסקי -החיים זה לא שחור לבן,,,,,,,,,2026-02-12,,60,,,Hot Cinema,219
,סינמה אישי עם יניב קטן,סינמה אישי עם יניב קטן,,,,,,,,,2026-02-12,,,,,Hot Cinema,219
,Wuthering Heights,אנקת גבהים,,,,,,,,2026,2026-02-12,,136,,,Hot Cinema,219
,Pretty Woman,אישה יפה,,,,,,,,1990,2026-02-12,,119,,,Hot Cinema,219
,Cold Storage,הדבר הזה,,,,,,,,2026,2026-02-12,,99,,,Hot Cinema,219
,Burning Man,ברנינג מן,,,,,,,,2026,2026-02-12,,103,,,Hot Cinema,219
