showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
13:55,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15154&theaterId=1293,https://movieland.co.il/order/?eventID=15154&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,14+,Glilot,MovieLand,219
18:45,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15151&theaterId=1293,https://movieland.co.il/order/?eventID=15151&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,14+,Glilot,MovieLand,219
20:50,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15153&theaterId=1293,https://movieland.co.il/order/?eventID=15153&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,14+,Glilot,MovieLand,219
21:30,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15152&theaterId=1293,https://movieland.co.il/order/?eventID=15152&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,14+,Glilot,MovieLand,219
16:40,CHICKENHARE II,ארנגול וחבורת גנבי הזמן,https://movieland.co.il/order/?eventID=15156&theaterId=1293,https://movieland.co.il/order/?eventID=15156&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-04,,,,,All,Glilot,MovieLand,219
18:25,Shelter,המגן,https://movieland.co.il/order/?eventID=15157&theaterId=1293,https://movieland.co.il/order/?eventID=15157&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,14+,Glilot,MovieLand,219
14:10,Send Help,הצילו,https://movieland.co.il/order/?eventID=15155&theaterId=1293,https://movieland.co.il/order/?eventID=15155&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,16+,Glilot,MovieLand,219
20:00,Send Help,הצילו,https://movieland.co.il/order/?eventID=15160&theaterId=1293,https://movieland.co.il/order/?eventID=15160&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,16+,Glilot,MovieLand,219
22:30,Send Help,הצילו,https://movieland.co.il/order/?eventID=15159&theaterId=1293,https://movieland.co.il/order/?eventID=15159&theaterId=1293,Upgrade,2D,English,,2026-02-04,2026,,,,16+,Glilot,MovieLand,219
14:15,על כלבים ואנשים,על כלבים ואנשים,https://movieland.co.il/order/?eventID=15158&theaterId=1293,https://movieland.co.il/order/?eventID=15158&theaterId=1293,Upgrade,2D,Hebrew,,2026-02-04,2024,,,,All,Glilot,MovieLand,219
