showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
17:00,אווטאר: אש ואפר,אווטאר: אש ואפר,https://tickets5.rav-hen.co.il/order/198945?lang=he,https://tickets5.rav-hen.co.il/order/198945?lang=he,Regular,2D,English,,2026-02-04,2025,,,,12+,Givatayim,Rav Hen,219
17:00,ארנגול וחבורת גיבורי הזמן,ארנגול וחבורת גיבורי הזמן,https://tickets5.rav-hen.co.il/order/199019?lang=he,https://tickets5.rav-hen.co.il/order/199019?lang=he,Regular,2D,Hebrew,,2026-02-04,,,,,All,Givatayim,Rav Hen,219
22:00,הכריש מוול סטריט,הכריש מוול סטריט,https://tickets5.rav-hen.co.il/order/199000?lang=he,https://tickets5.rav-hen.co.il/order/199000?lang=he,Regular,2D,English,,2026-02-04,2024,,,,9+,Givatayim,Rav Hen,219
17:00,המגן,המגן,https://tickets5.rav-hen.co.il/order/198972?lang=he,https://tickets5.rav-hen.co.il/order/198972?lang=he,Regular,2D,English,,2026-02-04,2026,,,,14+,Givatayim,Rav Hen,219
19:30,המגן,המגן,https://tickets5.rav-hen.co.il/order/198973?lang=he,https://tickets5.rav-hen.co.il/order/198973?lang=he,Regular,2D,English,,2026-02-04,2026,,,,14+,Givatayim,Rav Hen,219
21:50,המגן,המגן,https://tickets5.rav-hen.co.il/order/198974?lang=he,https://tickets5.rav-hen.co.il/order/198974?lang=he,Regular,2D,English,,2026-02-04,2026,,,,14+,Givatayim,Rav Hen,219
17:00,המנט,המנט,https://tickets5.rav-hen.co.il/order/199009?lang=he,https://tickets5.rav-hen.co.il/order/199009?lang=he,Regular,2D,English,,2026-02-04,2026,,,,All,Givatayim,Rav Hen,219
19:30,המנט,המנט,https://tickets5.rav-hen.co.il/order/199010?lang=he,https://tickets5.rav-hen.co.il/order/199010?lang=he,Regular,2D,English,,2026-02-04,2026,,,,All,Givatayim,Rav Hen,219
19:40,הנאשם,הנאשם,https://tickets5.rav-hen.co.il/order/199302?lang=he,https://tickets5.rav-hen.co.il/order/199302?lang=he,Regular,2D,English,,2026-02-04,2026,,,,All,Givatayim,Rav Hen,219
21:50,הנאשם,הנאשם,https://tickets5.rav-hen.co.il/order/199300?lang=he,https://tickets5.rav-hen.co.il/order/199300?lang=he,Regular,2D,English,,2026-02-04,2026,,,,All,Givatayim,Rav Hen,219
17:00,הצילו,הצילו,https://tickets5.rav-hen.co.il/order/202565?lang=he,https://tickets5.rav-hen.co.il/order/202565?lang=he,Regular,2D,English,,2026-02-04,2026,,,,16+,Givatayim,Rav Hen,219
19:30,הצילו,הצילו,https://tickets5.rav-hen.co.il/order/202566?lang=he,https://tickets5.rav-hen.co.il/order/202566?lang=he,Regular,2D,English,,2026-02-04,2026,,,,16+,Givatayim,Rav Hen,219
22:00,הצילו,הצילו,https://tickets5.rav-hen.co.il/order/202567?lang=he,https://tickets5.rav-hen.co.il/order/202567?lang=he,Regular,2D,English,,2026-02-04,2026,,,,16+,Givatayim,Rav Hen,219
17:00,כריסטי,כריסטי,https://tickets5.rav-hen.co.il/order/199327?lang=he,https://tickets5.rav-hen.co.il/order/199327?lang=he,Regular,2D,English,,2026-02-04,2025,,,,14+,Givatayim,Rav Hen,219
19:10,כריסטי,כריסטי,https://tickets5.rav-hen.co.il/order/199034?lang=he,https://tickets5.rav-hen.co.il/order/199034?lang=he,Regular,2D,English,,2026-02-04,2025,,,,14+,Givatayim,Rav Hen,219
21:50,כריסטי,כריסטי,https://tickets5.rav-hen.co.il/order/199035?lang=he,https://tickets5.rav-hen.co.il/order/199035?lang=he,Regular,2D,English,,2026-02-04,2025,,,,14+,Givatayim,Rav Hen,219
20:45,מרטי סופרים,מרטי סופרים,https://tickets5.rav-hen.co.il/order/198954?lang=he,https://tickets5.rav-hen.co.il/order/198954?lang=he,Regular,2D,English,,2026-02-04,2025,,,,12+,Givatayim,Rav Hen,219
16:45,עוזרת הבית,עוזרת הבית,https://tickets5.rav-hen.co.il/order/198936?lang=he,https://tickets5.rav-hen.co.il/order/198936?lang=he,Regular,2D,English,,2026-02-04,2025,,,,14+,Givatayim,Rav Hen,219
19:20,עוזרת הבית,עוזרת הבית,https://tickets5.rav-hen.co.il/order/198937?lang=he,https://tickets5.rav-hen.co.il/order/198937?lang=he,Regular,2D,English,,2026-02-04,2025,,,,14+,Givatayim,Rav Hen,219
22:00,עוזרת הבית,עוזרת הבית,https://tickets5.rav-hen.co.il/order/198938?lang=he,https://tickets5.rav-hen.co.il/order/198938?lang=he,Regular,2D,English,,2026-02-04,2025,,,,14+,Givatayim,Rav Hen,219
