showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Cold Storage,הדבר הזה,,,,,,,,,2026-02-12,,99,,,Cinema City,220
,A Burning Man,ברנינג מן,,,,,,,,,2026-02-12,,103,All,,Cinema City,220
,Pillion,פיליון,,,,,,,,,2026-02-12,,107,16+,,Cinema City,220
,O’ Romeo,רומיאו-סרט הודי,,,,,,,,,2026-02-12,,165,,,Cinema City,220
,ADDITION,לאהוב את גרייס,,,,,,,,,2026-02-12,,91,12+,,Cinema City,220
,Wuthering Heights,אנקת גבהים,,,,,,,,,2026-02-12,,136,14+,,Cinema City,220
,Kill Bill: The Whole Bloody Affair,להרוג את ביל: סיפור הדמים המלא,,,,,,,,,2026-02-12,,275,16+,,Cinema City,220
,SOLO MIO,להתאהב ברומא,,,,,,,,,2026-02-12,,100,All,,Cinema City,220
,A Burning Man,ברנינג מן-הקרנה ושיחה עם שי אביבי,,,,,,,,,2026-02-12,,160,All,,Cinema City,220
,הצגת ילדים- זהבה ושלושת הדובים - בכיכובה,הצגת ילדים- זהבה ושלושת הדובים - בכיכובה,,,,,,,,,2026-02-16,,75,All,,Cinema City,220
,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",,,,,,,,,2026-02-19,,134,,,Cinema City,220
,Follemente,השיגעון שלנו,,,,,,,,,2026-02-19,,97,14+,,Cinema City,220
,Crime 101,פשע 101,,,,,,,,,2026-02-19,,135,,,Cinema City,220
,הולה צ'או,הולה צ'או,,,,,,,,,2026-02-19,,85,9+,,Cinema City,220
,Queen Mom,המלכה האם,,,,,,,,,2026-02-19,,94,All,,Cinema City,220
,Is This Thing On?,זה עובד?,,,,,,,,,2026-02-26,,121,,,Cinema City,220
,The Soundman,רדיו בריסל,,,,,,,,,2026-02-26,,120,All,,Cinema City,220
,Stand Your Ground,השורד אחרון 2,,,,,,,,,2026-02-26,,99,,,Cinema City,220
,EPiC: Elvis Presley in Concert,Epic: אלביס פרסלי בהופעה,,,,,,,,,2026-02-26,,100,,,Cinema City,220
,Goat,להעז בגדול,,,,,,,,,2026-02-26,,100,All,,Cinema City,220
,Scarlet,Scarlet,,,,,,,,,2026-02-26,,111,,,Cinema City,220
,7 Scream,צעקה 7,,,,,,,,,2026-02-26,,130,,,Cinema City,220
,אסי ויעל,אסי ויעל,,,,,,,,,2026-02-26,,60,16+,,Cinema City,220
,DAVID,דויד,,,,,,,,,2026-02-26,,109,,,Cinema City,220
,Hoppers,קופצים בראש,,,,,,,,,2026-03-05,,120,,,Cinema City,220
,הסתברות לאהבה,הסתברות לאהבה,,,,,,,,,2026-03-05,,94,,,Cinema City,220
,The Bride!,הכלה!,,,,,,,,,2026-03-05,,126,,,Cinema City,220
,TWO WOMEN,בגידות קטנות,,,,,,,,,2026-03-05,,100,,,Cinema City,220
,הצגת ילדים - פילים בכל הצבעים,הצגת ילדים - פילים בכל הצבעים,,,,,,,,,2026-03-07,,60,All,,Cinema City,220
,Cuz You're Ugly,כי את מכוערת,,,,,,,,,2026-03-12,,83,,,Cinema City,220
,SINNERS,חוטאים,,,,,,,,,2026-03-12,,137,14+,,Cinema City,220
,Whistle,השריקה,,,,,,,,,2026-03-12,,97,,,Cinema City,220
,Reminders Of Him,מזכרת ממנו,,,,,,,,,2026-03-12,,130,,,Cinema City,220
,Project Hail Mary,פרוייקט הייל מרי,,,,,,,,,2026-03-19,,130,,,Cinema City,220
,שמיים וארץ,שמיים וארץ,,,,,,,,,2026-03-19,,106,,,Cinema City,220
,Ready or Not: Here I Come,"מי שעומד מאחורי 2,1...",,,,,,,,,2026-03-26,,130,,,Cinema City,220
,How To Make a Killing,עשיר רצח,,,,,,,,,2026-03-26,,105,,,Cinema City,220
,Not Without Hope,הישרדות ללא תקווה,,,,,,,,,2026-04-02,,121,,,Cinema City,220
,Super Mario Galaxy,סופר מריו גלקסי הסרט,,,,,,,,,2026-04-02,,120,,,Cinema City,220
,June and John,ג'ון וג'ון,,,,,,,,,2026-04-02,,92,,,Cinema City,220
,SHELL,שקר היופי,,,,,,,,,2026-04-02,,100,16+,,Cinema City,220
,הצגת ילדים - הלב-מרקו,הצגת ילדים - הלב-מרקו,,,,,,,,,2026-04-04,,90,All,,Cinema City,220
,Giant,ענק,,,,,,,,,2026-04-09,,120,,,Cinema City,220
,You Me & Tuscany,"אני, אתה וטוסקנה",,,,,,,,,2026-04-09,,130,,,Cinema City,220
,"IN THE HELL OF KABUL: 13 DAYS, 13 NIGHTS",הבריחה מקאבול,,,,,,,,,2026-04-16,,112,All,,Cinema City,220
,MARIANA’S ROOM,חדרה של מריאנה,,,,,,,,,2026-04-16,,131,14+,,Cinema City,220
,MIchael,מייקל,,,,,,,,,2026-04-23,,130,,,Cinema City,220
,דור ההשקעות | Investment Generation – בה,דור ההשקעות | Investment Generation – בה,,,,,,,,,2026-04-30,,240,All,,Cinema City,220
