showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,GOAT,להעז בגדול,,,,,English,,,2026,2026-02-26,,100,,,Yes Planet,220
,TWENTY ONE PILOTS: MORE THAN WE EVER IMAGINED,TWENTY ONE PILOTS: MORE THAN WE EVER IMA,,,,,English,,,2025,2026-02-26,,119,,,Yes Planet,220
,99 Nights in Forest: Survival,99 לילות עם גל כהן,,,,,Hebrew,,,,2026-03-03,,75,All,,Yes Planet,220
,Dress to Impress,Dress to Impress,,,,,Hebrew,,,,2026-03-03,,75,All,,Yes Planet,220
,Crime 101,פשע 101,,,,,English,,,2026,2026-02-19,Bart Layton,140,,,Yes Planet,220
,"GOOD LUCK, HAVE FUN, DON'T DIE","בהצלחה, תהנו, אל תמותו",,,,,English,,,2025,2026-02-19,Gore Verbinski,134,,,Yes Planet,220
,Hola!.. Ciao,הולה צ'או,,,,,Hebrew,,,2025,2026-02-19,פבלו רוזנברג,85,,,Yes Planet,220
,Queen Mom,המלכה האם,,,,,French,,,2025,2026-02-19,Manele Labidi,94,,,Yes Planet,220
,David,דויד הסרט,,,,,English,,,2025,2026-02-26,,110,,,Yes Planet,220
,EPiC: Elvis Presley in Concert,EPiC אלביס פרסלי בהופעה,,,,,English,,,2025,2026-02-26,Baz Luhrmann,100,,,Yes Planet,220
,Fleak,עולם המשאלות,,,,,Hebrew,,,2025,2026-02-26,,83,,,Yes Planet,220
,Is This Thing On?,זה עובד?,,,,,English,,,2025,2026-02-26,Bradley Cooper,120,,,Yes Planet,220
,SCARLET,סקרלט,,,,,Japanese,,,2025,2026-02-26,Mamoru Hosoda,111,,,Yes Planet,220
,STAND YOUR GROUND,השורד האחרון 2,,,,,English,,,2025,2026-02-26,Fansu Njie,99,,,Yes Planet,220
,Scream 7,צעקה 7,,,,,English,,,2026,2026-02-26,Kevin Williamson,120,,,Yes Planet,220
,The Soundman,רדיו בריסל,,,,,NL,,,2025,2026-02-26,Frank Van Passel,120,,,Yes Planet,220
,Hoppers,קופצים בראש,,,,,English,,,2026,2026-03-05,,120,,,Yes Planet,220
,The Bride!,הכלה!,,,,,English,,,2026,2026-03-05,Maggie Gyllenhaal,126,,,Yes Planet,220
,Cuz You’re Ugly,כי את מכוערת,,,,,Hebrew,,,2025,2026-03-12,שרון אנגלהרט,83,,,Yes Planet,220
,June and John,ג'ון וג'ון,,,,,English,,,2025,2026-04-02,Luc Besson,92,,,Yes Planet,220
,SHELL,שקר היופי,,,,,English,,,2024,2026-04-02,מקס מינגלה,100,,,Yes Planet,220
,Super Mario Galaxy,סופר מריו גלקסי,,,,,English,,,2026,2026-04-02,,120,,,Yes Planet,220
,Michael,מייקל,,,,,English,,,2026,2026-04-23,Antoine Fuqua,120,,,Yes Planet,220
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,David Frankel,120,,,Yes Planet,220
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-07,Simon McQuoid,120,,,Yes Planet,220
,no signal,איך שגעתי ת'שודדים,,,,,Hebrew,,,2025,2026-05-07,,80,,,Yes Planet,220
,Star Wars: The Mandalorian and Grogu,מלחמת הכוכבים: המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,Jon Favreau,120,,,Yes Planet,220
,Toy Story 5,צעצוע של סיפור 5,,,,,Hebrew,,,2026,2026-06-18,,120,,,Yes Planet,220
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,קרייג גילספי,120,,,Yes Planet,220
,Moana,מואנה,,,,,English,,,2026,2026-07-09,,120,,,Yes Planet,220
,The Odyssey,האודיסאה,,,,,English,,,2026,2026-07-16,Christopher Nolan,120,,,Yes Planet,220
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-05,,120,All,,Yes Planet,220
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,Yes Planet,220
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,Yes Planet,220
