showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Queen Mom,המלכה האם,,,,,,,,,2026-02-19,,94,All,,Cinema City,227
,ЧЕБУРАШКА 2,צ'בוראשקה 2-סרט רוסי,,,,,,,,,2026-02-19,,103,9+,,Cinema City,227
,Rebuilding,לבנות מחדש,,,,,,,,,2026-02-19,,95,All,,Cinema City,227
,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",,,,,,,,,2026-02-19,,134,14+,,Cinema City,227
,Follemente,השיגעון שלנו,,,,,,,,,2026-02-19,,97,14+,,Cinema City,227
,הולה צ'או,הולה צ'או,,,,,,,,,2026-02-19,,85,9+,,Cinema City,227
,Crime 101,פשע 101,,,,,,,,,2026-02-19,,140,12+,,Cinema City,227
,חיות במה - מופע פראי לחודש האישה 2026,חיות במה - מופע פראי לחודש האישה 2026,,,,,,,,,2026-02-21,,60,16+,,Cinema City,227
,Is This Thing On?,זה עובד?,,,,,,,,,2026-02-26,,121,,,Cinema City,227
,The Soundman,רדיו בריסל,,,,,,,,,2026-02-26,,120,All,,Cinema City,227
,Stand Your Ground,השורד אחרון 2,,,,,,,,,2026-02-26,,99,14+,,Cinema City,227
,EPiC: Elvis Presley in Concert,Epic: אלביס פרסלי בהופעה,,,,,,,,,2026-02-26,,100,,,Cinema City,227
,Scarlet,Scarlet,,,,,,,,,2026-02-26,,111,,,Cinema City,227
,7 Scream,צעקה 7,,,,,,,,,2026-02-26,,114,,,Cinema City,227
,אסי ויעל,אסי ויעל,,,,,,,,,2026-02-26,,60,16+,,Cinema City,227
,DAVID,דויד,,,,,,,,,2026-02-26,,109,All,,Cinema City,227
,Reminders Of Him,מזכרת ממנו,,,,,,,,,2026-03-12,,130,,,Cinema City,227
,My Friend Eva,הכל אודות אווה,,,,,,,,,2026-03-12,,100,12+,,Cinema City,227
,ריקוד החירות - סרט,ריקוד החירות - סרט,,,,,,,,,2026-03-13,,73,All,,Cinema City,227
,ריקוד החירות - סדנא,ריקוד החירות - סדנא,,,,,,,,,2026-03-13,,90,All,,Cinema City,227
,שמיים וארץ,שמיים וארץ,,,,,,,,,2026-03-19,,106,,,Cinema City,227
,Project Hail Mary,פרוייקט הייל מרי,,,,,,,,,2026-03-19,,156,,,Cinema City,227
,Ready or Not: Here I Come,"מי שעומד מאחורי 2,1...",,,,,,,,,2026-03-26,,130,,,Cinema City,227
,How To Make a Killing,עשיר רצח,,,,,,,,,2026-03-26,,105,,,Cinema City,227
,Not Without Hope,הישרדות ללא תקווה,,,,,,,,,2026-04-02,,121,,,Cinema City,227
,Super Mario Galaxy,סופר מריו גלקסי הסרט,,,,,,,,,2026-04-02,,120,,,Cinema City,227
,June and John,ג'ון וג'ון,,,,,,,,,2026-04-02,,92,,,Cinema City,227
,SHELL,שקר היופי,,,,,,,,,2026-04-02,,100,16+,,Cinema City,227
,הצגת ילדים - הלב-מרקו,הצגת ילדים - הלב-מרקו,,,,,,,,,2026-04-04,,90,All,,Cinema City,227
,Giant,ענק,,,,,,,,,2026-04-09,,120,,,Cinema City,227
,You Me & Tuscany,"אני, אתה וטוסקנה",,,,,,,,,2026-04-09,,130,,,Cinema City,227
,"IN THE HELL OF KABUL: 13 DAYS, 13 NIGHTS",הבריחה מקאבול,,,,,,,,,2026-04-16,,112,All,,Cinema City,227
,MARIANA’S ROOM,חדרה של מריאנה,,,,,,,,,2026-04-16,,131,14+,,Cinema City,227
,MIchael,מייקל,,,,,,,,,2026-04-23,,130,,,Cinema City,227
,הצגת ילדים-פיטר פן,הצגת ילדים - פיטר פן,,,,,,,,,2026-04-28,,90,All,,Cinema City,227
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,,,,,2026-04-30,,130,,,Cinema City,227
,דור ההשקעות | Investment Generation – בה,דור ההשקעות | Investment Generation – בה,,,,,,,,,2026-04-30,,240,All,,Cinema City,227
,יובל המבולבל - המסע אל הכוכב,יובל המבולבל - המסע אל הכוכב,,,,,,,,,2026-05-12,,90,All,,Cinema City,227
,Mortal Kombat II,מורטל קומבט II,,,,,,,,,2026-05-14,,130,,,Cinema City,227
,The Mandalorian & Grogu,המנדלוריאן וגרוגו,,,,,,,,,2026-05-21,,130,,,Cinema City,227
,Toy Story 5,צעצוע של סיפור 5,,,,,,,,,2026-06-18,,120,,,Cinema City,227
,Supergirl,סופרגירל,,,,,,,,,2026-06-25,,130,,,Cinema City,227
,THE ODYSSEY,האודיסאה,,,,,,,,,2026-07-16,,130,,,Cinema City,227
,נתי הגעתי - היפיפייה הנרדמת - הפקת ענק ח,נתי הגעתי - היפיפייה הנרדמת - הפקת ענק ח,,,,,,,,,2026-08-24,,90,All,,Cinema City,227
,The Cat In The Hat,חתול תעלול,,,,,,,,,2026-11-05,,130,,,Cinema City,227
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,,,,,2026-11-19,,130,,,Cinema City,227
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,,,,,2026-12-17,,130,,,Cinema City,227
