showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,David,דויד הסרט,,,,,English,,,2025,2026-02-26,,110,,,Yes Planet,227
,Fleak,עולם המשאלות,,,,,Hebrew,,,2025,2026-02-26,,83,,,Yes Planet,227
,Is This Thing On?,זה עובד?,,,,,English,,,2025,2026-02-26,Bradley Cooper,120,,,Yes Planet,227
,STAND YOUR GROUND,השורד האחרון 2,,,,,English,,,2025,2026-02-26,Fansu Njie,99,,,Yes Planet,227
,The Soundman,רדיו בריסל,,,,,NL,,,2025,2026-02-26,Frank Van Passel,120,,,Yes Planet,227
,Hoppers,קופצים בראש,,,,,English,,,2026,2026-03-05,,120,,,Yes Planet,227
,The Bride!,הכלה!,,,,,English,,,2026,2026-03-05,Maggie Gyllenhaal,126,,,Yes Planet,227
,Cuz You’re Ugly,כי את מכוערת,,,,,Hebrew,,,2025,2026-03-12,שרון אנגלהרט,83,,,Yes Planet,227
,June and John,ג'ון וג'ון,,,,,English,,,2025,2026-04-02,Luc Besson,92,,,Yes Planet,227
,SHELL,שקר היופי,,,,,English,,,2024,2026-04-02,מקס מינגלה,100,,,Yes Planet,227
,Super Mario Galaxy,סופר מריו גלקסי,,,,,English,,,2026,2026-04-02,,120,,,Yes Planet,227
,Michael,מייקל,,,,,English,,,2026,2026-04-23,Antoine Fuqua,120,,,Yes Planet,227
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,David Frankel,120,,,Yes Planet,227
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-07,Simon McQuoid,120,,,Yes Planet,227
,no signal,איך שגעתי ת'שודדים,,,,,Hebrew,,,2025,2026-05-07,,80,,,Yes Planet,227
,Star Wars: The Mandalorian and Grogu,מלחמת הכוכבים: המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,Jon Favreau,120,,,Yes Planet,227
,Toy Story 5,צעצוע של סיפור 5,,,,,Hebrew,,,2026,2026-06-18,,120,,,Yes Planet,227
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,קרייג גילספי,120,,,Yes Planet,227
,Moana,מואנה,,,,,English,,,2026,2026-07-09,,120,,,Yes Planet,227
,The Odyssey,האודיסאה,,,,,English,,,2026,2026-07-16,Christopher Nolan,120,,,Yes Planet,227
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-05,,120,All,,Yes Planet,227
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,Yes Planet,227
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,Yes Planet,227
