showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
18:15,Burning Man,ברנינג מן,https://tickets5.planetcinema.co.il/order/208904?lang=en,https://tickets5.planetcinema.co.il/order/208904?lang=he,Regular,2D,Hebrew,,2026-02-17,2025,,איל חלפון,103,All,Ayalon,Yes Planet,227
20:20,Burning Man,ברנינג מן,https://tickets5.planetcinema.co.il/order/208905?lang=en,https://tickets5.planetcinema.co.il/order/208905?lang=he,Regular,2D,Hebrew,,2026-02-17,2025,,איל חלפון,103,All,Ayalon,Yes Planet,227
22:30,Burning Man,ברנינג מן,https://tickets5.planetcinema.co.il/order/208906?lang=en,https://tickets5.planetcinema.co.il/order/208906?lang=he,Regular,2D,Hebrew,,2026-02-17,2025,,איל חלפון,103,All,Ayalon,Yes Planet,227
19:20,Cold Storage,הדבר הזה,https://tickets5.planetcinema.co.il/order/208495?lang=en,https://tickets5.planetcinema.co.il/order/208495?lang=he,Regular,2D,English,,2026-02-17,2026,,Jonny Campbell,100,14+,Ayalon,Yes Planet,227
21:30,Cold Storage,הדבר הזה,https://tickets5.planetcinema.co.il/order/208497?lang=en,https://tickets5.planetcinema.co.il/order/208497?lang=he,Regular,2D,English,,2026-02-17,2026,,Jonny Campbell,100,14+,Ayalon,Yes Planet,227
18:00,Wuthering Heights,אנקת גבהים,https://tickets5.planetcinema.co.il/order/207705?lang=en,https://tickets5.planetcinema.co.il/order/207705?lang=he,Regular,2D,English,,2026-02-17,2026,,Emerald Fennell,135,14+,Ayalon,Yes Planet,227
20:45,Wuthering Heights,אנקת גבהים,https://tickets5.planetcinema.co.il/order/207706?lang=en,https://tickets5.planetcinema.co.il/order/207706?lang=he,Regular,2D,English,,2026-02-17,2026,,Emerald Fennell,135,14+,Ayalon,Yes Planet,227
18:30,ADDITION,לאהוב את גרייס,https://tickets5.planetcinema.co.il/order/207462?lang=en,https://tickets5.planetcinema.co.il/order/207462?lang=he,Regular,2D,English,,2026-02-17,2024,,Marcelle Lunam,90,12+,Ayalon,Yes Planet,227
20:30,ADDITION,לאהוב את גרייס,https://tickets5.planetcinema.co.il/order/207464?lang=en,https://tickets5.planetcinema.co.il/order/207464?lang=he,Regular,2D,English,,2026-02-17,2024,,Marcelle Lunam,90,12+,Ayalon,Yes Planet,227
22:30,ADDITION,לאהוב את גרייס,https://tickets5.planetcinema.co.il/order/207465?lang=en,https://tickets5.planetcinema.co.il/order/207465?lang=he,Regular,2D,English,,2026-02-17,2024,,Marcelle Lunam,90,12+,Ayalon,Yes Planet,227
22:15,Alpha,אלפא,https://tickets5.planetcinema.co.il/order/208096?lang=en,https://tickets5.planetcinema.co.il/order/208096?lang=he,Regular,2D,French,,2026-02-17,2025,,Julia Ducournau,128,14+,Ayalon,Yes Planet,227
19:30,DJ Ahmet,להזיז הרים,https://tickets5.planetcinema.co.il/order/207067?lang=en,https://tickets5.planetcinema.co.il/order/207067?lang=he,Regular,2D,Hebrew,,2026-02-17,2025,,Georgi M. Unkovski,99,,Ayalon,Yes Planet,227
19:00,Kill Bill: The Whole Bloody Affair,להרוג את ביל: סיפור הדמים המלא,https://tickets5.planetcinema.co.il/order/208934?lang=en,https://tickets5.planetcinema.co.il/order/208934?lang=he,Regular,2D,English,,2026-02-17,,,קוונטין טרנטינו,275,16+,Ayalon,Yes Planet,227
21:45,Marty Supreme,מרטי סופרים,https://tickets5.planetcinema.co.il/order/207983?lang=en,https://tickets5.planetcinema.co.il/order/207983?lang=he,Regular,2D,English,,2026-02-17,2025,,Josh Safdie,149,12+,Ayalon,Yes Planet,227
17:45,Pillion,פיליון,https://tickets5.planetcinema.co.il/order/207169?lang=en,https://tickets5.planetcinema.co.il/order/207169?lang=he,Regular,2D,English,,2026-02-17,2025,,Harry Lighton,107,16+,Ayalon,Yes Planet,227
20:00,Pillion,פיליון,https://tickets5.planetcinema.co.il/order/207171?lang=en,https://tickets5.planetcinema.co.il/order/207171?lang=he,Regular,2D,English,,2026-02-17,2025,,Harry Lighton,107,16+,Ayalon,Yes Planet,227
22:15,Pillion,פיליון,https://tickets5.planetcinema.co.il/order/207173?lang=en,https://tickets5.planetcinema.co.il/order/207173?lang=he,Regular,2D,English,,2026-02-17,2025,,Harry Lighton,107,16+,Ayalon,Yes Planet,227
18:20,Ruth,חשבונות שמיים,https://tickets5.planetcinema.co.il/order/208111?lang=en,https://tickets5.planetcinema.co.il/order/208111?lang=he,Regular,2D,Hebrew,,2026-02-17,2025,,אסתי ביטון שושן,87,All,Ayalon,Yes Planet,227
20:20,Ruth,חשבונות שמיים,https://tickets5.planetcinema.co.il/order/208112?lang=en,https://tickets5.planetcinema.co.il/order/208112?lang=he,Regular,2D,Hebrew,,2026-02-17,2025,,אסתי ביטון שושן,87,All,Ayalon,Yes Planet,227
21:45,Send Help,הצילו,https://tickets5.planetcinema.co.il/order/207061?lang=en,https://tickets5.planetcinema.co.il/order/207061?lang=he,Regular,2D,English,,2026-02-17,2026,,Sam Raimi,120,16+,Ayalon,Yes Planet,227
19:45,Shelter,המגן,https://tickets5.planetcinema.co.il/order/208827?lang=en,https://tickets5.planetcinema.co.il/order/208827?lang=he,Regular,2D,English,,2026-02-17,2026,,Ric Roman Waugh,107,14+,Ayalon,Yes Planet,227
22:00,Shelter,המגן,https://tickets5.planetcinema.co.il/order/208828?lang=en,https://tickets5.planetcinema.co.il/order/208828?lang=he,Regular,2D,English,,2026-02-17,2026,,Ric Roman Waugh,107,14+,Ayalon,Yes Planet,227
18:00,SOLO MIO,להתאהב ברומא,https://tickets5.planetcinema.co.il/order/207363?lang=en,https://tickets5.planetcinema.co.il/order/207363?lang=he,Regular,2D,English,,2026-02-17,2026,,"Charles Kinnane, Daniel Kinnane",97,All,Ayalon,Yes Planet,227
20:10,SOLO MIO,להתאהב ברומא,https://tickets5.planetcinema.co.il/order/207365?lang=en,https://tickets5.planetcinema.co.il/order/207365?lang=he,Regular,2D,English,,2026-02-17,2026,,"Charles Kinnane, Daniel Kinnane",97,All,Ayalon,Yes Planet,227
22:20,SOLO MIO,להתאהב ברומא,https://tickets5.planetcinema.co.il/order/207366?lang=en,https://tickets5.planetcinema.co.il/order/207366?lang=he,Regular,2D,English,,2026-02-17,2026,,"Charles Kinnane, Daniel Kinnane",97,All,Ayalon,Yes Planet,227
18:30,The Housemaid,עוזרת הבית,https://tickets5.planetcinema.co.il/order/208728?lang=en,https://tickets5.planetcinema.co.il/order/208728?lang=he,Regular,2D,English,,2026-02-17,2025,,Paul Feig,131,14+,Ayalon,Yes Planet,227
20:50,The Housemaid,עוזרת הבית,https://tickets5.planetcinema.co.il/order/207833?lang=en,https://tickets5.planetcinema.co.il/order/207833?lang=he,Regular,2D,English,,2026-02-17,2025,,Paul Feig,131,14+,Ayalon,Yes Planet,227
21:15,The Housemaid,עוזרת הבית,https://tickets5.planetcinema.co.il/order/208730?lang=en,https://tickets5.planetcinema.co.il/order/208730?lang=he,Regular,2D,English,,2026-02-17,2025,,Paul Feig,131,14+,Ayalon,Yes Planet,227
22:15,The Housemaid,עוזרת הבית,https://tickets5.planetcinema.co.il/order/208328?lang=en,https://tickets5.planetcinema.co.il/order/208328?lang=he,Regular,2D,English,,2026-02-17,2025,,Paul Feig,131,14+,Ayalon,Yes Planet,227
20:20,The Strangers: Chapter 3,הזרים: חלק 3,https://tickets5.planetcinema.co.il/order/208321?lang=en,https://tickets5.planetcinema.co.il/order/208321?lang=he,Regular,2D,English,,2026-02-17,2026,,Renny Harlin,90,14+,Ayalon,Yes Planet,227
22:30,The Strangers: Chapter 3,הזרים: חלק 3,https://tickets5.planetcinema.co.il/order/208429?lang=en,https://tickets5.planetcinema.co.il/order/208429?lang=he,Regular,2D,English,,2026-02-17,2026,,Renny Harlin,90,14+,Ayalon,Yes Planet,227
19:45,Wuthering Heights,אנקת גבהים,https://tickets5.planetcinema.co.il/order/208420?lang=en,https://tickets5.planetcinema.co.il/order/208420?lang=he,Regular,2D,English,,2026-02-17,2026,,Emerald Fennell,135,14+,Ayalon,Yes Planet,227
18:00,Burning Man,ברנינג מן,https://tickets5.planetcinema.co.il/order/208908?lang=en,https://tickets5.planetcinema.co.il/order/208908?lang=he,Regular,2D,Hebrew,,2026-02-18,2025,,איל חלפון,103,All,Ayalon,Yes Planet,227
20:10,Burning Man,ברנינג מן,https://tickets5.planetcinema.co.il/order/208909?lang=en,https://tickets5.planetcinema.co.il/order/208909?lang=he,Regular,2D,Hebrew,,2026-02-18,2025,,איל חלפון,103,All,Ayalon,Yes Planet,227
22:20,Burning Man,ברנינג מן,https://tickets5.planetcinema.co.il/order/208910?lang=en,https://tickets5.planetcinema.co.il/order/208910?lang=he,Regular,2D,Hebrew,,2026-02-18,2025,,איל חלפון,103,All,Ayalon,Yes Planet,227
14:45,Cold Storage,הדבר הזה,https://tickets5.planetcinema.co.il/order/208502?lang=en,https://tickets5.planetcinema.co.il/order/208502?lang=he,Regular,2D,English,,2026-02-18,2026,,Jonny Campbell,100,14+,Ayalon,Yes Planet,227
17:00,Cold Storage,הדבר הזה,https://tickets5.planetcinema.co.il/order/208503?lang=en,https://tickets5.planetcinema.co.il/order/208503?lang=he,Regular,2D,English,,2026-02-18,2026,,Jonny Campbell,100,14+,Ayalon,Yes Planet,227
19:15,Cold Storage,הדבר הזה,https://tickets5.planetcinema.co.il/order/208504?lang=en,https://tickets5.planetcinema.co.il/order/208504?lang=he,Regular,2D,English,,2026-02-18,2026,,Jonny Campbell,100,14+,Ayalon,Yes Planet,227
21:30,Cold Storage,הדבר הזה,https://tickets5.planetcinema.co.il/order/208506?lang=en,https://tickets5.planetcinema.co.il/order/208506?lang=he,Regular,2D,English,,2026-02-18,2026,,Jonny Campbell,100,14+,Ayalon,Yes Planet,227
15:45,Wuthering Heights,אנקת גבהים,https://tickets5.planetcinema.co.il/order/207975?lang=en,https://tickets5.planetcinema.co.il/order/207975?lang=he,Regular,2D,English,,2026-02-18,2026,,Emerald Fennell,135,14+,Ayalon,Yes Planet,227
