showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,"Two Seasons, Two Strangers","שתי עונות, שני זרים",,,,,Japanese,,,2025,2026-02-19,,89,All,,Lev Cinema,228
,Queen Mom,המלכה האם,,,,,French,,,2025,2026-02-19,,94,All,,Lev Cinema,228
,Follemente,השגעון שלנו,,,,,Italian,,,2025,2026-02-19,,97,14+,,Lev Cinema,228
,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",,,,,English,,,2025,2026-02-19,,134,14+,,Lev Cinema,228
,The Soundman,רדיו בריסל,,,,,Dutch,,,2025,2026-02-26,,120,All,,Lev Cinema,228
,Goat,להעז בגדול,,,,,English,,,2026,2026-02-26,,100,All,,Lev Cinema,228
,La Grazia,החסד,,,,,Italian,,,2025,2026-03-05,,133,,,Lev Cinema,228
,Five Seconds,חמש שניות,,,,,Italian,,,2025,2026-03-12,,105,All,,Lev Cinema,228
,My Friend Eva,הכל אודות אווה,,,,,Spanish,,,2025,2026-03-19,,100,All,,Lev Cinema,228
,The Thing With Feathers,הדבר עם הנוצות,,,,,English,,,2025,2026-03-26,,98,,,Lev Cinema,228
,Colours of Time,צבעי הזמן,,,,,French,,,2025,2026-04-02,,124,,,Lev Cinema,228
,Three Men and Vilma,"שלג, גברים וצרות אחרות",,,,,Norwegian,,,2025,2026-04-02,,92,All,,Lev Cinema,228
,The Choral,המקהלה,,,,,English,,,2025,2026-04-09,,113,,,Lev Cinema,228
,I Swear,מילה שלי,,,,,English,,,2025,2026-05-21,,120,,,Lev Cinema,228
,Primavera,פרימוורה,,,,,Italian,,,2025,2026-06-04,,110,,,Lev Cinema,228
