showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
19:25,Wuthering Heights,אנקת גבהים,https://movieland.co.il/order/?eventID=15603&theaterId=1293,https://movieland.co.il/order/?eventID=15603&theaterId=1293,Upgrade,2D,English,,2026-02-18,2026,,,,14+,Glilot,MovieLand,228
18:00,ברנינג מן,ברנינג מן,https://movieland.co.il/order/?eventID=15605&theaterId=1293,https://movieland.co.il/order/?eventID=15605&theaterId=1293,Upgrade,2D,Hebrew,,2026-02-18,2025,,,,All,Glilot,MovieLand,228
19:05,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15613&theaterId=1293,https://movieland.co.il/order/?eventID=15613&theaterId=1293,Upgrade,2D,English,,2026-02-18,2026,,,,14+,Glilot,MovieLand,228
21:50,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15612&theaterId=1293,https://movieland.co.il/order/?eventID=15612&theaterId=1293,Upgrade,2D,English,,2026-02-18,2026,,,,14+,Glilot,MovieLand,228
17:20,CHICKENHARE II,ארנגול וחבורת גנבי הזמן,https://movieland.co.il/order/?eventID=15604&theaterId=1293,https://movieland.co.il/order/?eventID=15604&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-18,,,,,All,Glilot,MovieLand,228
22:15,Send Help,הצילו,https://movieland.co.il/order/?eventID=15610&theaterId=1293,https://movieland.co.il/order/?eventID=15610&theaterId=1293,Upgrade,2D,English,,2026-02-18,2026,,,,16+,Glilot,MovieLand,228
17:05,The Proud Princess,לשבור את הכישוף,https://movieland.co.il/order/?eventID=15611&theaterId=1293,https://movieland.co.il/order/?eventID=15611&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-18,2024,,,,All,Glilot,MovieLand,228
19:30,MovieRetro- ג'רי מגווייר,MovieRetro- ג'רי מגווייר,https://movieland.co.il/order/?eventID=15416&theaterId=1293,https://movieland.co.il/order/?eventID=15416&theaterId=1293,Upgrade,2D,English,,2026-02-19,1996,,,,,Glilot,MovieLand,228
14:20,Crime 101,פשע 101,https://movieland.co.il/order/?eventID=15889&theaterId=1293,https://movieland.co.il/order/?eventID=15889&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,12+,Glilot,MovieLand,228
22:15,Crime 101,פשע 101,https://movieland.co.il/order/?eventID=15883&theaterId=1293,https://movieland.co.il/order/?eventID=15883&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,12+,Glilot,MovieLand,228
14:40,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",https://movieland.co.il/order/?eventID=15888&theaterId=1293,https://movieland.co.il/order/?eventID=15888&theaterId=1293,Upgrade,2D,English,,2026-02-19,2025,,,,14+,Glilot,MovieLand,228
20:00,FolleMente,השגעון שלנו,https://movieland.co.il/order/?eventID=15892&theaterId=1293,https://movieland.co.il/order/?eventID=15892&theaterId=1293,Upgrade,2D,איטלקית,,2026-02-19,2025,,,,14+,Glilot,MovieLand,228
13:20,Wuthering Heights,אנקת גבהים,https://movieland.co.il/order/?eventID=15890&theaterId=1293,https://movieland.co.il/order/?eventID=15890&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,14+,Glilot,MovieLand,228
21:20,Wuthering Heights,אנקת גבהים,https://movieland.co.il/order/?eventID=15881&theaterId=1293,https://movieland.co.il/order/?eventID=15881&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,14+,Glilot,MovieLand,228
18:30,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15887&theaterId=1293,https://movieland.co.il/order/?eventID=15887&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,14+,Glilot,MovieLand,228
22:25,The Housemaid,עוזרת הבית,https://movieland.co.il/order/?eventID=15882&theaterId=1293,https://movieland.co.il/order/?eventID=15882&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,14+,Glilot,MovieLand,228
16:15,CHICKENHARE II,ארנגול וחבורת גנבי הזמן,https://movieland.co.il/order/?eventID=15884&theaterId=1293,https://movieland.co.il/order/?eventID=15884&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-19,,,,,All,Glilot,MovieLand,228
00:10,Shelter,המגן,https://movieland.co.il/order/?eventID=15885&theaterId=1293,https://movieland.co.il/order/?eventID=15885&theaterId=1293,Upgrade,2D,English,,2026-02-19,2026,,,,14+,Glilot,MovieLand,228
17:20,The SpongeBob Movie: Search for SquarePants,בובספוג הסרט: מחפשים את מכנסמרובע,https://movieland.co.il/order/?eventID=15886&theaterId=1293,https://movieland.co.il/order/?eventID=15886&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-19,2025,,,,All,Glilot,MovieLand,228
11:55,Goat,להעז בגדול,https://movieland.co.il/order/?eventID=15832&theaterId=1293,https://movieland.co.il/order/?eventID=15832&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-20,2026,,,,All,Glilot,MovieLand,228
14:15,Goat,להעז בגדול,https://movieland.co.il/order/?eventID=15833&theaterId=1293,https://movieland.co.il/order/?eventID=15833&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-20,2026,,,,All,Glilot,MovieLand,228
16:30,Goat,להעז בגדול,https://movieland.co.il/order/?eventID=15834&theaterId=1293,https://movieland.co.il/order/?eventID=15834&theaterId=1293,Upgrade,2D,English,Hebrew,2026-02-20,2026,,,,All,Glilot,MovieLand,228
11:15,Crime 101,פשע 101,https://movieland.co.il/order/?eventID=15845&theaterId=1293,https://movieland.co.il/order/?eventID=15845&theaterId=1293,Upgrade,2D,English,,2026-02-20,2026,,,,12+,Glilot,MovieLand,228
21:25,Crime 101,פשע 101,https://movieland.co.il/order/?eventID=15839&theaterId=1293,https://movieland.co.il/order/?eventID=15839&theaterId=1293,Upgrade,2D,English,,2026-02-20,2026,,,,12+,Glilot,MovieLand,228
11:00,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",https://movieland.co.il/order/?eventID=15846&theaterId=1293,https://movieland.co.il/order/?eventID=15846&theaterId=1293,Upgrade,2D,English,,2026-02-20,2025,,,,14+,Glilot,MovieLand,228
00:25,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",https://movieland.co.il/order/?eventID=15843&theaterId=1293,https://movieland.co.il/order/?eventID=15843&theaterId=1293,Upgrade,2D,English,,2026-02-20,2025,,,,14+,Glilot,MovieLand,228
19:10,FolleMente,השגעון שלנו,https://movieland.co.il/order/?eventID=15844&theaterId=1293,https://movieland.co.il/order/?eventID=15844&theaterId=1293,Upgrade,2D,איטלקית,,2026-02-20,2025,,,,14+,Glilot,MovieLand,228
