showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
16:10,Scarlet,Scarlet,https://tickets.cinema-city.co.il/order/777787?lang=en,https://tickets.cinema-city.co.il/order/777787?lang=he,Regular,2D,,,2026-03-04,,,,111,9+,Glilot,Cinema City,242
18:45,Scarlet,Scarlet,https://tickets.cinema-city.co.il/order/777761?lang=en,https://tickets.cinema-city.co.il/order/777761?lang=he,Regular,2D,,,2026-03-04,,,,111,9+,Glilot,Cinema City,242
21:20,Scarlet,Scarlet,https://tickets.cinema-city.co.il/order/777750?lang=en,https://tickets.cinema-city.co.il/order/777750?lang=he,Regular,2D,,,2026-03-04,,,,111,9+,Glilot,Cinema City,242
14:00,Wuthering Heights,אנקת גבהים,https://tickets.cinema-city.co.il/order/777812?lang=en,https://tickets.cinema-city.co.il/order/777812?lang=he,Regular,2D,,,2026-03-04,,,,136,14+,Glilot,Cinema City,242
18:20,Wuthering Heights,אנקת גבהים,https://tickets.cinema-city.co.il/order/777837?lang=en,https://tickets.cinema-city.co.il/order/777837?lang=he,Regular,2D,,,2026-03-04,,,,136,14+,Glilot,Cinema City,242
20:20,Wuthering Heights,אנקת גבהים,https://tickets.cinema-city.co.il/order/777749?lang=en,https://tickets.cinema-city.co.il/order/777749?lang=he,Regular,2D,,,2026-03-04,,,,136,14+,Glilot,Cinema City,242
21:30,Wuthering Heights,אנקת גבהים,https://tickets.cinema-city.co.il/order/777838?lang=en,https://tickets.cinema-city.co.il/order/777838?lang=he,Regular,2D,,,2026-03-04,,,,136,14+,Glilot,Cinema City,242
21:00,Hurlevent,אנקת גבהים,https://tickets.cinema-city.co.il/order/777897?lang=en,https://tickets.cinema-city.co.il/order/777897?lang=he,Regular,2D,,French,2026-03-08,,,,136,14+,Glilot,Cinema City,242
13:40,CHICKENHARE II,ארנגול וחבורת גנבי הזמן,https://tickets.cinema-city.co.il/order/777832?lang=en,https://tickets.cinema-city.co.il/order/777832?lang=he,Regular,2D,,Hebrew,2026-03-04,,,,88,,Glilot,Cinema City,242
14:45,CHICKENHARE II,ארנגול וחבורת גנבי הזמן,https://tickets.cinema-city.co.il/order/777756?lang=en,https://tickets.cinema-city.co.il/order/777756?lang=he,Regular,2D,,Hebrew,2026-03-04,,,,88,,Glilot,Cinema City,242
17:00,CHICKENHARE II,ארנגול וחבורת גנבי הזמן,https://tickets.cinema-city.co.il/order/777753?lang=en,https://tickets.cinema-city.co.il/order/777753?lang=he,Regular,2D,,Hebrew,2026-03-04,,,,88,,Glilot,Cinema City,242
