showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
11:00,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593378?lang=en,https://ticket.lev.co.il/order/593378?lang=he,Regular,2D,Dutch,,2026-03-02,2025,,,120,All,Tel Aviv,Lev Cinema,242
13:50,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593377?lang=en,https://ticket.lev.co.il/order/593377?lang=he,Regular,2D,Dutch,,2026-03-02,2025,,,120,All,Tel Aviv,Lev Cinema,242
18:50,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593376?lang=en,https://ticket.lev.co.il/order/593376?lang=he,Regular,2D,Dutch,,2026-03-02,2025,,,120,All,Tel Aviv,Lev Cinema,242
21:00,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593375?lang=en,https://ticket.lev.co.il/order/593375?lang=he,Regular,2D,Dutch,,2026-03-02,2025,,,120,All,Tel Aviv,Lev Cinema,242
10:40,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593672?lang=en,https://ticket.lev.co.il/order/593672?lang=he,Regular,2D,Dutch,,2026-03-03,2025,,,120,All,Tel Aviv,Lev Cinema,242
13:10,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593673?lang=en,https://ticket.lev.co.il/order/593673?lang=he,Regular,2D,Dutch,,2026-03-03,2025,,,120,All,Tel Aviv,Lev Cinema,242
15:50,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593695?lang=en,https://ticket.lev.co.il/order/593695?lang=he,Regular,2D,Dutch,,2026-03-03,2025,,,120,All,Tel Aviv,Lev Cinema,242
19:15,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593674?lang=en,https://ticket.lev.co.il/order/593674?lang=he,Regular,2D,Dutch,,2026-03-03,2025,,,120,All,Tel Aviv,Lev Cinema,242
21:30,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593675?lang=en,https://ticket.lev.co.il/order/593675?lang=he,Regular,2D,Dutch,,2026-03-03,2025,,,120,All,Tel Aviv,Lev Cinema,242
10:40,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593405?lang=en,https://ticket.lev.co.il/order/593405?lang=he,Regular,2D,Dutch,,2026-03-04,2025,,,120,All,Tel Aviv,Lev Cinema,242
19:20,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593407?lang=en,https://ticket.lev.co.il/order/593407?lang=he,Regular,2D,Dutch,,2026-03-04,2025,,,120,All,Tel Aviv,Lev Cinema,242
21:30,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593408?lang=en,https://ticket.lev.co.il/order/593408?lang=he,Regular,2D,Dutch,,2026-03-04,2025,,,120,All,Tel Aviv,Lev Cinema,242
16:30,The Soundman,רדיו בריסל,https://ticket.lev.co.il/order/593486?lang=en,https://ticket.lev.co.il/order/593486?lang=he,Regular,2D,Dutch,,2026-03-02,2025,,,120,All,Raanana,Lev Cinema,242
