showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,The Grinch,הגרינץ' תרגום בערבית - الجرينش,,,,,,,,2018,2026-03-19,,90,,,Hot Cinema,248
,How To Train Your Dragon: The Hidden World,הדרקון הראשון שלי: העולם הנסתר מדובב לערבית - تنيني الأول: العالم الخفي,,,,,,,,2019,2026-03-19,,104,,,Hot Cinema,248
,The SpongeBob Movie: Search for SquarePants,فيلم سبونج بوب: البحث عن سكوير بانتس,,,,,,,,2025,2026-03-19,,96,,,Hot Cinema,248
,Looper,לופר,,,,,,,,2012,2026-03-19,,118,,,Hot Cinema,248
,The Adventures of Tintin: Secret of the Unicorn,הרפתקאות טינטין מדובב לערבית - مغامرات تان تان,,,,,,,,2011,2026-03-19,,107,,,Hot Cinema,248
,Pirates Of The Caribbean: The Curse Of The Black P,שודדי הקאריביים: קללת הפנינה השחורה - כתוביות בערבית قراصنة الكاريبي: لعنة القراصنة السود,,,,,,,,2001,2026-03-19,,143,,,Hot Cinema,248
,The Whale,לוויתן - סרט ומפגש יוצרים,,,,,,,,2025,2026-03-23,,52,,,Hot Cinema,248
,לחשוב כמו ילד עם אסף כץ,לחשוב כמו ילד עם אסף כץ,,,,,,,,,2026-03-25,,70,,,Hot Cinema,248
,GRACIE and PEDRO: PETS TO THE RESCUE,פדרו וגרייסי: חיות מחמד בפעולה מדובב,,,,,,,,,2026-03-26,,87,,,Hot Cinema,248
,Cramel,כראמל בקולנוע - פרקי הסיום של העונה החדשה,,,,,,,,2025,2026-03-26,,60,,,Hot Cinema,248
,מופע אלאדין,מופע אלאדין,,,,,,,,,2026-03-26,,60,,,Hot Cinema,248
,How To Make a Killing,עשיר רצח,,,,,,,,2026,2026-03-26,,98,,,Hot Cinema,248
,They Will Kill You,הם ירצחו אותך,,,,,,,,2026,2026-03-26,,94,,,Hot Cinema,248
,יציאת מצרים,יציאת מצרים,,,,,,,,,2026-03-30,,60,,,Hot Cinema,248
,The Drama,הדרמה,,,,,,,,2026,2026-04-02,,106,,,Hot Cinema,248
,NOT WITHOUT HOPE,הישרדות ללא תקווה,,,,,,,,2025,2026-04-02,,120,,,Hot Cinema,248
,Colours of Time,צבעי הזמן,,,,,,,,2026,2026-04-02,,124,,,Hot Cinema,248
,סיפור ההגדה – דנה בנדנה,סיפור ההגדה – דנה בנדנה,,,,,,,,,2026-04-07,,60,,,Hot Cinema,248
,Giant,ענק,,,,,,,,2025,2026-04-09,,120,,,Hot Cinema,248
,Ready or not 2: here I come,מי שעומד מאחוריי 2,,,,,,,,2026,2026-04-09,,108,,,Hot Cinema,248
,"You, Me & Tuscany","אני, אתה וטוסקנה",,,,,,,,2026,2026-04-09,,0,,,Hot Cinema,248
,Shell,שקר היופי,,,,,,,,2024,2026-04-09,,100,,,Hot Cinema,248
,איילת מטיילת,איילת מטיילת,,,,,,,,,2026-04-11,,,,,Hot Cinema,248
,בוקר תרבות - טניה וינוקור והכינור,בוקר תרבות - טניה וינוקור והכינור,,,,,,,,,2026-04-15,,60,,,Hot Cinema,248
,אודליה יקיר - סינמה אישי,אודליה יקיר - סינמה אישי,,,,,,,,,2026-04-16,,60,,,Hot Cinema,248
,La La Land,לה לה לנד,,,,,,,,2016,2026-04-16,,128,,,Hot Cinema,248
,מירית גליצקי מוגזמת,מירית גליצקי מוגזמת,,,,,,,,,2026-04-16,,70,,,Hot Cinema,248
,Valley of Shadows,טרום בכורה - בחזרה מההימלאיה,,,,,,,,2024,2026-04-19,,120,,,Hot Cinema,248
,נועם כהן - סינמה אישי,נועם כהן - סינמה אישי,,,,,,,,,2026-04-19,,105,,,Hot Cinema,248
,Michael,מייקל,,,,,,,,2026,2026-04-23,,0,,,Hot Cinema,248
,Pirates Of The Caribbean: The Curse Of The Black P,שודדי הקאריביים: קללת הפנינה השחורה,,,,,,,,2003,2026-04-23,,143,,,Hot Cinema,248
,הצגה יהושוע פרוע,הצגה יהושוע פרוע,,,,,,,,,2026-04-25,,60,,,Hot Cinema,248
