showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
22:10,Anaconda,אנקונדה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124179&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124179&languageid=he_IL,Regular,2D,,,2026-03-31,2025,,,0,הגבלת גיל: הותר מגיל 9,Kfar Saba,Hot Cinema,331
18:55,Wuthering Heights,אנקת גבהים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124172&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124172&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,136,14+,Kfar Saba,Hot Cinema,331
20:00,Wuthering Heights,אנקת גבהים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124174&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124174&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,136,14+,Kfar Saba,Hot Cinema,331
21:50,Wuthering Heights,אנקת גבהים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124173&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124173&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,136,14+,Kfar Saba,Hot Cinema,331
21:40,Shelter,המגן,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124197&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124197&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,107,14+,Kfar Saba,Hot Cinema,331
19:15,Maigret and the dead lover,המפקח מגרה: כולם חשודים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124218&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124218&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,80,All,Kfar Saba,Hot Cinema,331
21:15,Mercy,הנאשם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124182&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124182&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,0,All,Kfar Saba,Hot Cinema,331
22:10,Send Help,הצילו,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124185&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124185&languageid=he_IL,Regular,2D,,,2026-03-31,2025,,,113,16+,Kfar Saba,Hot Cinema,331
21:30,Stand Your Ground,השורד האחרון 2,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124203&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124203&languageid=he_IL,Regular,2D,,,2026-03-31,2025,,,99,14+,Kfar Saba,Hot Cinema,331
19:30,Follemente,השיגעון שלנו,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124222&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124222&languageid=he_IL,Regular,2D,,,2026-03-31,2025,,,97,14+,Kfar Saba,Hot Cinema,331
18:45,The sun rises on us all,השמש זורחת על כולם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124223&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124223&languageid=he_IL,Regular,2D,,,2026-03-31,2025,,,131,12+,Kfar Saba,Hot Cinema,331
18:30,GOAT,להעז בגדול,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124171&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124171&languageid=he_IL,Premium,2D,,Hebrew,2026-03-31,2026,,,100,All,Kfar Saba,Hot Cinema,331
18:10,Solo Mio,להתאהב ברומא,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124219&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124219&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,100,All,Kfar Saba,Hot Cinema,331
20:30,Solo Mio,להתאהב ברומא,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124198&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124198&languageid=he_IL,Regular,2D,,,2026-03-31,2026,,,100,All,Kfar Saba,Hot Cinema,331
18:50,Grease,סינמה נוסטלגיה - גריז,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124230&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124230&languageid=he_IL,Regular,2D,,,2026-03-31,1978,,,110,14+,Kfar Saba,Hot Cinema,331
21:15,Grease,סינמה נוסטלגיה - גריז,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124147&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124147&languageid=he_IL,Regular,2D,,,2026-03-31,1978,,,110,14+,Kfar Saba,Hot Cinema,331
18:50,Beauty And The Beast,סינמה נוסטלגיה - היפה והחיה 1991,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124228&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124228&languageid=he_IL,Regular,2D,,Hebrew,2026-03-31,1991,,,91,All,Kfar Saba,Hot Cinema,331
19:10,Mamma Mia!,סינמה נוסטלגיה - מאמה מיה!,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124148&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124148&languageid=he_IL,Regular,2D,,,2026-03-31,2008,,,108,12+,Kfar Saba,Hot Cinema,331
21:30,Mamma Mia!,סינמה נוסטלגיה - מאמה מיה!,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124149&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-124149&languageid=he_IL,Regular,2D,,,2026-03-31,2008,,,108,12+,Kfar Saba,Hot Cinema,331
