showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
12:00,צעקה 7,צעקה 7,https://tickets5.rav-hen.co.il/order/219720?lang=he,https://tickets5.rav-hen.co.il/order/219720?lang=he,Regular,2D,English,Hebrew,2026-04-03,2026,,,,16+,Givatayim,Rav Hen,332
14:20,צעקה 7,צעקה 7,https://tickets5.rav-hen.co.il/order/219774?lang=he,https://tickets5.rav-hen.co.il/order/219774?lang=he,Regular,2D,English,Hebrew,2026-04-03,2026,,,,16+,Givatayim,Rav Hen,332
19:00,צעקה 7,צעקה 7,https://tickets5.rav-hen.co.il/order/219780?lang=he,https://tickets5.rav-hen.co.il/order/219780?lang=he,Regular,2D,English,Hebrew,2026-04-03,2026,,,,16+,Givatayim,Rav Hen,332
16:40,צעקה 7,צעקה 7,https://tickets5.rav-hen.co.il/order/219729?lang=he,https://tickets5.rav-hen.co.il/order/219729?lang=he,Regular,2D,English,Hebrew,2026-04-03,2026,,,,16+,Givatayim,Rav Hen,332
10:15,להעז בגדול,להעז בגדול,https://tickets5.rav-hen.co.il/order/218687?lang=he,https://tickets5.rav-hen.co.il/order/218687?lang=he,Regular,2D,English,,2026-04-03,2026,,,,All,Givatayim,Rav Hen,332
12:20,להעז בגדול,להעז בגדול,https://tickets5.rav-hen.co.il/order/218693?lang=he,https://tickets5.rav-hen.co.il/order/218693?lang=he,Regular,2D,English,,2026-04-03,2026,,,,All,Givatayim,Rav Hen,332
14:30,להעז בגדול,להעז בגדול,https://tickets5.rav-hen.co.il/order/218695?lang=he,https://tickets5.rav-hen.co.il/order/218695?lang=he,Regular,2D,English,,2026-04-03,2026,,,,All,Givatayim,Rav Hen,332
16:40,להעז בגדול,להעז בגדול,https://tickets5.rav-hen.co.il/order/218988?lang=he,https://tickets5.rav-hen.co.il/order/218988?lang=he,Regular,2D,English,,2026-04-03,2026,,,,All,Givatayim,Rav Hen,332
18:45,להעז בגדול,להעז בגדול,https://tickets5.rav-hen.co.il/order/219001?lang=he,https://tickets5.rav-hen.co.il/order/219001?lang=he,Regular,2D,English,,2026-04-03,2026,,,,All,Givatayim,Rav Hen,332
10:00,איך שגעתי ת'שודדים,איך שגעתי ת'שודדים,https://tickets5.rav-hen.co.il/order/219496?lang=he,https://tickets5.rav-hen.co.il/order/219496?lang=he,Regular,2D,Hebrew,,2026-04-03,2025,,,,,Givatayim,Rav Hen,332
11:45,איך שגעתי ת'שודדים,איך שגעתי ת'שודדים,https://tickets5.rav-hen.co.il/order/219504?lang=he,https://tickets5.rav-hen.co.il/order/219504?lang=he,Regular,2D,Hebrew,,2026-04-03,2025,,,,,Givatayim,Rav Hen,332
