showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
15:50,EPiC: Elvis Presley in Concert,Epic: אלביס פרסלי בהופעה,https://tickets.cinema-city.co.il/order/779240?lang=en,https://tickets.cinema-city.co.il/order/779240?lang=he,Regular,2D,,,2026-04-07,,,,100,All,Glilot,Cinema City,337
18:30,EPiC: Elvis Presley in Concert,Epic: אלביס פרסלי בהופעה,https://tickets.cinema-city.co.il/order/779241?lang=en,https://tickets.cinema-city.co.il/order/779241?lang=he,Regular,2D,,,2026-04-07,,,,100,All,Glilot,Cinema City,337
18:20,Avatar: Fire and Ash,אווטאר: אש ואפר,https://tickets.cinema-city.co.il/order/779133?lang=en,https://tickets.cinema-city.co.il/order/779133?lang=he,Regular,2D,,,2026-04-05,,,,192,12+,Glilot,Cinema City,337
17:30,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779088?lang=en,https://tickets.cinema-city.co.il/order/779088?lang=he,Regular,2D,,Hebrew,2026-04-05,,,,90,All,Glilot,Cinema City,337
10:00,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779154?lang=en,https://tickets.cinema-city.co.il/order/779154?lang=he,Regular,2D,,Hebrew,2026-04-06,,,,90,All,Glilot,Cinema City,337
12:30,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779185?lang=en,https://tickets.cinema-city.co.il/order/779185?lang=he,Regular,2D,,Hebrew,2026-04-06,,,,90,All,Glilot,Cinema City,337
15:00,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779156?lang=en,https://tickets.cinema-city.co.il/order/779156?lang=he,Regular,2D,,Hebrew,2026-04-06,,,,90,All,Glilot,Cinema City,337
17:30,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779143?lang=en,https://tickets.cinema-city.co.il/order/779143?lang=he,Regular,2D,,Hebrew,2026-04-06,,,,90,All,Glilot,Cinema City,337
10:00,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779209?lang=en,https://tickets.cinema-city.co.il/order/779209?lang=he,Regular,2D,,Hebrew,2026-04-07,,,,90,All,Glilot,Cinema City,337
12:30,איך שגעתי ת'שודדים-מדובב,איך שגעתי ת'שודדים,https://tickets.cinema-city.co.il/order/779239?lang=en,https://tickets.cinema-city.co.il/order/779239?lang=he,Regular,2D,,Hebrew,2026-04-07,,,,90,All,Glilot,Cinema City,337
