showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
20:30,Wuthering Heights,אנקת גבהים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125928&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125928&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,136,14+,Kfar Saba,Hot Cinema,340
21:40,David,דויד הסרט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125912&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125912&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,109,All,Kfar Saba,Hot Cinema,340
18:30,David,דויד הסרט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125889&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125889&languageid=he_IL,Premium,2D,,Hebrew,2026-04-07,2026,,,109,All,Kfar Saba,Hot Cinema,340
20:00,David,דויד הסרט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125907&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125907&languageid=he_IL,Regular,2D,,Hebrew,2026-04-07,2026,,,109,All,Kfar Saba,Hot Cinema,340
21:00,The Bride,הכלה!,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125899&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125899&languageid=he_IL,Premium,2D,,,2026-04-07,2026,,,126,14+,Kfar Saba,Hot Cinema,340
22:40,The Bride,הכלה!,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125908&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125908&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,126,14+,Kfar Saba,Hot Cinema,340
19:50,Maigret and the dead lover,המפקח מגרה: כולם חשודים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125933&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125933&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,80,All,Kfar Saba,Hot Cinema,340
22:15,Mercy,הנאשם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125919&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125919&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,0,All,Kfar Saba,Hot Cinema,340
21:50,Send Help,הצילו,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125892&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125892&languageid=he_IL,Regular,2D,,,2026-04-07,2025,,,113,16+,Kfar Saba,Hot Cinema,340
19:00,Follemente,השיגעון שלנו,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125929&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125929&languageid=he_IL,Regular,2D,,,2026-04-07,2025,,,97,14+,Kfar Saba,Hot Cinema,340
19:30,The sun rises on us all,השמש זורחת על כולם,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125931&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125931&languageid=he_IL,Regular,2D,,,2026-04-07,2025,,,131,12+,Kfar Saba,Hot Cinema,340
19:30,הסתברות לאהבה,טרום בכורה - הסתברות לאהבה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125935&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125935&languageid=he_IL,Regular,2D,,,2026-04-07,2025,,,94,All,Kfar Saba,Hot Cinema,340
19:00,Solo Mio,להתאהב ברומא,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125932&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125932&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,100,All,Kfar Saba,Hot Cinema,340
21:15,Grease,סינמה נוסטלגיה - גריז,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125930&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125930&languageid=he_IL,Regular,2D,,,2026-04-07,1978,,,110,14+,Kfar Saba,Hot Cinema,340
19:00,Mamma Mia!,סינמה נוסטלגיה - מאמה מיה!,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125888&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125888&languageid=he_IL,Regular,2D,,,2026-04-07,2008,,,108,12+,Kfar Saba,Hot Cinema,340
18:50,Pirates Of The Caribbean: The Curse Of The Black P,סינמה נוסטלגיה - שודדי הקאריביים: קללת הפנינה השחורה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125885&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125885&languageid=he_IL,Regular,2D,,,2026-04-07,2003,,,143,12+,Kfar Saba,Hot Cinema,340
21:45,Pirates Of The Caribbean: The Curse Of The Black P,סינמה נוסטלגיה - שודדי הקאריביים: קללת הפנינה השחורה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125886&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125886&languageid=he_IL,Regular,2D,,,2026-04-07,2003,,,143,12+,Kfar Saba,Hot Cinema,340
19:25,HOUSEMAID,עוזרת הבית,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125883&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125883&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,131,14+,Kfar Saba,Hot Cinema,340
22:10,HOUSEMAID,עוזרת הבית,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125884&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125884&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,131,14+,Kfar Saba,Hot Cinema,340
19:10,Project Hail Mary,פרויקט הייל מרי,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126482&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126482&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,156,All,Kfar Saba,Hot Cinema,340
21:30,Project Hail Mary,פרויקט הייל מרי,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126484&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126484&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,156,All,Kfar Saba,Hot Cinema,340
22:30,Project Hail Mary,פרויקט הייל מרי,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126483&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126483&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,156,All,Kfar Saba,Hot Cinema,340
22:15,Crime 101,פשע 101,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125882&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125882&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,135,12+,Kfar Saba,Hot Cinema,340
19:50,7 Scream,צעקה 7,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125880&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125880&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,0,16+,Kfar Saba,Hot Cinema,340
21:20,7 Scream,צעקה 7,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125918&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125918&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,0,16+,Kfar Saba,Hot Cinema,340
22:20,7 Scream,צעקה 7,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125881&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-125881&languageid=he_IL,Regular,2D,,,2026-04-07,2026,,,0,16+,Kfar Saba,Hot Cinema,340
17:50,Hoppers,קופצים בראש,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126481&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126481&languageid=he_IL,Regular,2D,,Hebrew,2026-04-07,2026,,,105,All,Kfar Saba,Hot Cinema,340
19:10,Hoppers,קופצים בראש,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126480&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126480&languageid=he_IL,Regular,2D,,Hebrew,2026-04-07,2026,,,105,All,Kfar Saba,Hot Cinema,340
21:30,Anaconda,אנקונדה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126371&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126371&languageid=he_IL,Regular,2D,,,2026-04-08,2025,,,0,הגבלת גיל: הותר מגיל 9,Kfar Saba,Hot Cinema,340
18:45,Wuthering Heights,אנקת גבהים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126346&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126346&languageid=he_IL,Regular,2D,,,2026-04-08,2026,,,136,14+,Kfar Saba,Hot Cinema,340
20:30,Wuthering Heights,אנקת גבהים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126381&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-126381&languageid=he_IL,Regular,2D,,,2026-04-08,2026,,,136,14+,Kfar Saba,Hot Cinema,340
