showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Super Mario Galaxy,סופר מריו גלקסי הסרט,,,,,,,,2026,2026-04-15,,0,All,,Hot Cinema,352
,The Drama,הדרמה,,,,,,,,2026,2026-04-15,,106,,,Hot Cinema,352
,Super Mario Galaxy,סופר מריו גלקסי הסרט אנגלית תלת מימד,,,,,,,,2026,2026-04-15,,100,All,,Hot Cinema,352
,Super Mario Galaxy,סופר מריו גלקסי הסרט מדובב לערבית - سوبر ماريو جالاكسي,,,,,,,,2026,2026-04-15,,100,All,,Hot Cinema,352
,Tenement,הדיירת,,,,,,,,2024,2026-04-16,,88,12+,,Hot Cinema,352
,The Mummy,מומיה,,,,,,,,2026,2026-04-16,,133,16+,,Hot Cinema,352
,אודליה יקיר - סינמה אישי,אודליה יקיר - סינמה אישי,,,,,,,,,2026-04-16,,60,,,Hot Cinema,352
,TWO WOMEN,בגידות קטנות,,,,,,,,2025,2026-04-16,,100,16+,,Hot Cinema,352
,Giant,ענק,,,,,,,,2025,2026-04-16,,120,,,Hot Cinema,352
,מירית גליצקי מוגזמת,מירית גליצקי מוגזמת,,,,,,,,,2026-04-16,,70,,,Hot Cinema,352
,נועם כהן - סינמה אישי,נועם כהן - סינמה אישי,,,,,,,,,2026-04-19,,105,,,Hot Cinema,352
,Michael,מייקל,,,,,,,,2026,2026-04-22,,127,All,,Hot Cinema,352
,Pirates Of The Caribbean: The Curse Of The Black P,שודדי הקאריביים: קללת הפנינה השחורה,,,,,,,,2003,2026-04-23,,143,12+,,Hot Cinema,352
,Normal,עסקים כרגיל,,,,,,,,2025,2026-04-23,,90,,,Hot Cinema,352
,הצגה יהושוע פרוע,הצגה יהושוע פרוע,,,,,,,,,2026-04-25,,60,All,,Hot Cinema,352
