showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Giant,ענק,,,,,English,,,2024,2026-04-16,,120,,,MovieLand,352
,The Mummy,מומיה,,,,,English,,,2026,2026-04-16,,134,16+,,MovieLand,352
,TWO WOMEN,בגידות קטנות,,,,,French,,,2025,2026-04-16,,100,16+,,MovieLand,352
,Super Mario Galaxy Movie,סופר מריו גלקסי הסרט ערבית,,,,,English,,,2026,2026-04-16,,98,All,,MovieLand,352
,Michael,מייקל,,,,,English,,,2026,2026-04-23,,114,All,,MovieLand,352
,Leave one day,לעזוב יום אחד,,,,,French,,,2025,2026-04-23,,96,All,,MovieLand,352
,הסתברות לאהבה,הסתברות לאהבה,,,,,Hebrew,,,2025,2026-04-30,,94,All,,MovieLand,352
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,,120,,,MovieLand,352
,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,,,,,Japanese,,,2026,2026-04-30,,120,,,MovieLand,352
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,352
,שמיים וארץ,שמיים וארץ,,,,,Hebrew,,,2026,2026-05-07,,106,,,MovieLand,352
,Billie Eilish – Hit Me Hard and Soft The Tour (Liv,בילי אייליש סיבוב ההופעות HIT ME HARD ב-,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,352
,THE SHEEP DETECTIVES,בלשי צמרת,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,352
,Normal,עסקים כרגיל,,,,,English,,,2026,2026-05-07,,90,,,MovieLand,352
,"מועדון סרטי איכות Classic- ""וולפגנג"" בטרום בכורה","מועדון סרטי איכות Classic- ""וולפגנג"" בטרום בכורה",,,,,ספרדית,,,2025,2026-05-08,,185,,,MovieLand,352
,Mother Mary,Mother Mary,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,352
