showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
10:40,The Drama,הדרמה,https://ticket.lev.co.il/order/594558?lang=en,https://ticket.lev.co.il/order/594558?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Tel Aviv,Lev Cinema,360
17:00,The Drama,הדרמה,https://ticket.lev.co.il/order/594572?lang=en,https://ticket.lev.co.il/order/594572?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Tel Aviv,Lev Cinema,360
19:55,The Drama,הדרמה,https://ticket.lev.co.il/order/594559?lang=en,https://ticket.lev.co.il/order/594559?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Tel Aviv,Lev Cinema,360
22:10,The Drama,הדרמה,https://ticket.lev.co.il/order/594560?lang=en,https://ticket.lev.co.il/order/594560?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Tel Aviv,Lev Cinema,360
13:00,The Drama,הדרמה,https://ticket.lev.co.il/order/594691?lang=en,https://ticket.lev.co.il/order/594691?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Raanana,Lev Cinema,360
16:30,The Drama,הדרמה,https://ticket.lev.co.il/order/594706?lang=en,https://ticket.lev.co.il/order/594706?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Raanana,Lev Cinema,360
19:30,The Drama,הדרמה,https://ticket.lev.co.il/order/594696?lang=en,https://ticket.lev.co.il/order/594696?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Raanana,Lev Cinema,360
21:40,The Drama,הדרמה,https://ticket.lev.co.il/order/594705?lang=en,https://ticket.lev.co.il/order/594705?lang=he,Regular,2D,English,,2026-04-22,2026,,,106,12+,Raanana,Lev Cinema,360
11:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594561?lang=en,https://ticket.lev.co.il/order/594561?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Tel Aviv,Lev Cinema,360
15:20,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594564?lang=en,https://ticket.lev.co.il/order/594564?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Tel Aviv,Lev Cinema,360
18:30,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594562?lang=en,https://ticket.lev.co.il/order/594562?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Tel Aviv,Lev Cinema,360
15:30,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594761?lang=en,https://ticket.lev.co.il/order/594761?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Even Yehuda,Lev Cinema,360
18:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594755?lang=en,https://ticket.lev.co.il/order/594755?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Even Yehuda,Lev Cinema,360
18:20,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594827?lang=en,https://ticket.lev.co.il/order/594827?lang=he,Regular,2D,Italian,,2026-04-23,2025,,,105,All,Even Yehuda,Lev Cinema,360
18:50,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594833?lang=en,https://ticket.lev.co.il/order/594833?lang=he,Regular,2D,Italian,,2026-04-24,2025,,,105,All,Even Yehuda,Lev Cinema,360
21:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594837?lang=en,https://ticket.lev.co.il/order/594837?lang=he,Regular,2D,Italian,,2026-04-24,2025,,,105,All,Even Yehuda,Lev Cinema,360
11:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594847?lang=en,https://ticket.lev.co.il/order/594847?lang=he,Regular,2D,Italian,,2026-04-25,2025,,,105,All,Even Yehuda,Lev Cinema,360
12:50,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594849?lang=en,https://ticket.lev.co.il/order/594849?lang=he,Regular,2D,Italian,,2026-04-25,2025,,,105,All,Even Yehuda,Lev Cinema,360
17:30,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594854?lang=en,https://ticket.lev.co.il/order/594854?lang=he,Regular,2D,Italian,,2026-04-25,2025,,,105,All,Even Yehuda,Lev Cinema,360
19:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594839?lang=en,https://ticket.lev.co.il/order/594839?lang=he,Regular,2D,Italian,,2026-04-25,2025,,,105,All,Even Yehuda,Lev Cinema,360
20:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594855?lang=en,https://ticket.lev.co.il/order/594855?lang=he,Regular,2D,Italian,,2026-04-26,2025,,,105,All,Even Yehuda,Lev Cinema,360
20:40,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594857?lang=en,https://ticket.lev.co.il/order/594857?lang=he,Regular,2D,Italian,,2026-04-27,2025,,,105,All,Even Yehuda,Lev Cinema,360
11:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594868?lang=en,https://ticket.lev.co.il/order/594868?lang=he,Regular,2D,Italian,,2026-04-28,2025,,,105,All,Even Yehuda,Lev Cinema,360
13:10,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594870?lang=en,https://ticket.lev.co.il/order/594870?lang=he,Regular,2D,Italian,,2026-04-28,2025,,,105,All,Even Yehuda,Lev Cinema,360
17:30,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594875?lang=en,https://ticket.lev.co.il/order/594875?lang=he,Regular,2D,Italian,,2026-04-28,2025,,,105,All,Even Yehuda,Lev Cinema,360
20:15,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594863?lang=en,https://ticket.lev.co.il/order/594863?lang=he,Regular,2D,Italian,,2026-04-28,2025,,,105,All,Even Yehuda,Lev Cinema,360
18:20,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594878?lang=en,https://ticket.lev.co.il/order/594878?lang=he,Regular,2D,Italian,,2026-04-29,2025,,,105,All,Even Yehuda,Lev Cinema,360
16:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594596?lang=en,https://ticket.lev.co.il/order/594596?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Omer,Lev Cinema,360
16:00,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594793?lang=en,https://ticket.lev.co.il/order/594793?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Herziliya,Lev Cinema,360
16:10,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594690?lang=en,https://ticket.lev.co.il/order/594690?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Raanana,Lev Cinema,360
19:20,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594704?lang=en,https://ticket.lev.co.il/order/594704?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Raanana,Lev Cinema,360
16:40,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594780?lang=en,https://ticket.lev.co.il/order/594780?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Jerusalem,Lev Cinema,360
20:10,Five Seconds,חמש שניות,https://ticket.lev.co.il/order/594719?lang=en,https://ticket.lev.co.il/order/594719?lang=he,Regular,2D,Italian,,2026-04-22,2025,,,105,All,Ramat Hasharon,Lev Cinema,360
19:00,The Choral,טרום בכורה – המקהלה,https://ticket.lev.co.il/order/594800?lang=en,https://ticket.lev.co.il/order/594800?lang=he,Regular,2D,English,,2026-05-03,2025,,,113,,Ramat Hasharon,Lev Cinema,360
19:00,The Choral,טרום בכורה – המקהלה,https://ticket.lev.co.il/order/594801?lang=en,https://ticket.lev.co.il/order/594801?lang=he,Regular,2D,English,,2026-05-04,2025,,,113,,Tel Aviv,Lev Cinema,360
19:00,The Choral,טרום בכורה – המקהלה,https://ticket.lev.co.il/order/594802?lang=en,https://ticket.lev.co.il/order/594802?lang=he,Regular,2D,English,,2026-05-05,2025,,,113,,Jerusalem,Lev Cinema,360
19:00,The Choral,טרום בכורה – המקהלה,https://ticket.lev.co.il/order/594803?lang=en,https://ticket.lev.co.il/order/594803?lang=he,Regular,2D,English,,2026-05-06,2025,,,113,,Raanana,Lev Cinema,360
