showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
11:45,David,דויד הסרט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127734&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127734&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,2026,,,109,All,Kfar Saba,Hot Cinema,362
14:30,David,דויד הסרט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127735&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127735&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,2026,,,109,All,Kfar Saba,Hot Cinema,362
17:00,David,דויד הסרט,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127733&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127733&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,2026,,,109,All,Kfar Saba,Hot Cinema,362
19:45,Tenement,הדיירת,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127780&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127780&languageid=he_IL,Regular,2D,,,2026-04-22,2024,,,88,12+,Kfar Saba,Hot Cinema,362
21:45,Tenement,הדיירת,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127781&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127781&languageid=he_IL,Regular,2D,,,2026-04-22,2024,,,88,12+,Kfar Saba,Hot Cinema,362
19:30,The Drama,הדרמה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127764&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127764&languageid=he_IL,Regular,2D,,,2026-04-22,2026,,,106,12+,Kfar Saba,Hot Cinema,362
22:00,The Drama,הדרמה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127765&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127765&languageid=he_IL,Regular,2D,,,2026-04-22,2026,,,106,12+,Kfar Saba,Hot Cinema,362
22:45,The Drama,הדרמה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127766&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127766&languageid=he_IL,Regular,2D,,,2026-04-22,2026,,,106,12+,Kfar Saba,Hot Cinema,362
22:45,WHISTLE,השריקה,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127762&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127762&languageid=he_IL,Regular,2D,,,2026-04-22,2025,,,97,14+,Kfar Saba,Hot Cinema,362
10:10,ZOOTOPIA 2,זוטרופוליס 2,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127792&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127792&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,2025,,,108,All,Kfar Saba,Hot Cinema,362
13:10,ZOOTOPIA 2,זוטרופוליס 2,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127721&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127721&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,2025,,,108,All,Kfar Saba,Hot Cinema,362
11:00,NO SIGNAL,טרום בכורה - איך שגעתי ת'שודדים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127755&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127755&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,,,,90,All,Kfar Saba,Hot Cinema,362
15:35,NO SIGNAL,טרום בכורה - איך שגעתי ת'שודדים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127757&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127757&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,,,,90,All,Kfar Saba,Hot Cinema,362
17:40,NO SIGNAL,טרום בכורה - איך שגעתי ת'שודדים,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127756&languageid=en_gb,https://tickets.hotcinema.co.il/site/1197/tickets?code=1197-127756&languageid=he_IL,Regular,2D,,Hebrew,2026-04-22,,,,90,All,Kfar Saba,Hot Cinema,362
