showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
20:10,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785363?lang=en,https://tickets.cinema-city.co.il/order/785363?lang=he,Regular,2D,,,2026-04-23,,,,90,12+,Glilot,Cinema City,363
22:20,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785362?lang=en,https://tickets.cinema-city.co.il/order/785362?lang=he,Regular,2D,,,2026-04-23,,,,90,12+,Glilot,Cinema City,363
23:40,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785340?lang=en,https://tickets.cinema-city.co.il/order/785340?lang=he,Regular,2D,,,2026-04-23,,,,90,12+,Glilot,Cinema City,363
20:00,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785423?lang=en,https://tickets.cinema-city.co.il/order/785423?lang=he,Regular,2D,,,2026-04-24,,,,90,12+,Glilot,Cinema City,363
22:20,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785424?lang=en,https://tickets.cinema-city.co.il/order/785424?lang=he,Regular,2D,,,2026-04-24,,,,90,12+,Glilot,Cinema City,363
23:00,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785458?lang=en,https://tickets.cinema-city.co.il/order/785458?lang=he,Regular,2D,,,2026-04-24,,,,90,12+,Glilot,Cinema City,363
19:40,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785544?lang=en,https://tickets.cinema-city.co.il/order/785544?lang=he,Regular,2D,,,2026-04-25,,,,90,12+,Glilot,Cinema City,363
21:50,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785545?lang=en,https://tickets.cinema-city.co.il/order/785545?lang=he,Regular,2D,,,2026-04-25,,,,90,12+,Glilot,Cinema City,363
19:30,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785589?lang=en,https://tickets.cinema-city.co.il/order/785589?lang=he,Regular,2D,,,2026-04-26,,,,90,12+,Glilot,Cinema City,363
21:45,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785590?lang=en,https://tickets.cinema-city.co.il/order/785590?lang=he,Regular,2D,,,2026-04-26,,,,90,12+,Glilot,Cinema City,363
19:30,THE ASTRONAUT,איום מסוכן,https://tickets.cinema-city.co.il/order/785670?lang=en,https://tickets.cinema-city.co.il/order/785670?lang=he,Regular,2D,,,2026-04-27,,,,90,12+,Glilot,Cinema City,363
