showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Late shift,משמרת מאוחרת,,,,,German,,,2025,2026-05-14,Petra Biondina Volpe,92,,,Yes Planet,385
,Mother Mary,Mother Mary,,,,,English,,,2026,2026-05-14,David Lowery,110,,,Yes Planet,385
,SHELL,שקר היופי,,,,,English,,,2024,2026-05-14,מקס מינגלה,100,,,Yes Planet,385
,The Sheep Detectives,בלשי צמרת,,,,,Hebrew,,,2026,2026-05-14,,110,,,Yes Planet,385
,Top Gun 1986,אהבה בשחקים (1986),,,,,English,,,1986,2026-05-14,Tony Scott,110,,,Yes Planet,385
,Top Gun Double Feature,אהבה בשחקים + אהבה בשחקים מאווריק (דאבל,,,,,English,,,,2026-05-14,Joseph Kosinski,240,,,Yes Planet,385
,Top Gun: Maverick,אהבה בשחקים מאווריק (2022),,,,,English,,,2022,2026-05-14,Joseph Kosinski,130,,,Yes Planet,385
,Fantasy Life,חיים פנטסטיים,,,,,English,,,2025,2026-05-21,Matthew Shear,91,,,Yes Planet,385
,In The Grey,שטח אפור,,,,,English,,,2026,2026-05-21,Guy Ritchie,98,,,Yes Planet,385
,Star Wars: The Mandalorian and Grogu,מלחמת הכוכבים: המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,Jon Favreau,120,,,Yes Planet,385
,Masters Of The Universe,שליטי היקום,,,,,English,,,2026,2026-06-04,Travis Knight,120,,,Yes Planet,385
,Disclosure Day,התגלית,,,,,English,,,2026,2026-06-11,Steven Spielberg,120,,,Yes Planet,385
,Heaven and Earth,שמיים וארץ,,,,,Hebrew,,,,2026-06-11,"ארז תדמור, רינת טנג'י לוי",106,,,Yes Planet,385
,Toy Story 5,צעצוע של סיפור 5,,,,,Hebrew,,,2026,2026-06-18,,120,,,Yes Planet,385
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,קרייג גילספי,120,,,Yes Planet,385
,Minions & Monsters,מיניונים ומפלצות,,,,,English,,,2026,2026-07-02,,120,,,Yes Planet,385
,Moana,מואנה,,,,,English,,,2026,2026-07-09,,120,,,Yes Planet,385
,The Odyssey,האודיסאה,,,,,English,,,2026,2026-07-16,Christopher Nolan,120,,,Yes Planet,385
,Spider-Man: Brand New Day,ספיידרמן: יום חדש,,,,,English,,,2026,2026-07-30,Destin Daniel Cretton,120,,,Yes Planet,385
