- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 453
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T15:52:05.607715+00:00
Finished (UTC): 2026-05-26T15:59:11.762439+00:00
Duration Seconds: 426.1547
Generated At (UTC): 2026-05-26T15:59:11.762659+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 101
- merged: 80

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 80
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 61
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=michael | status=mapped | reason=title_first_match | rep_title=michael | rows=1246 | parsed_year=2026 | candidates=20 | chosen_tmdb=936075 | path=title_first_match
- key=passanger | status=mapped | reason=fallback_first_candidate | rep_title=passanger | rows=146 | parsed_year=2026 | candidates=1 | chosen_tmdb=1637792 | path=fallback_first_candidate
- key=xxx return of xander cage | status=mapped | reason=title_first_match | rep_title=xxx return of xander cage | rows=20 | parsed_year=2017 | candidates=1 | chosen_tmdb=47971 | path=title_first_match
- key=super mario galaxy | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy | rows=658 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=429 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=684 | parsed_year=2026 | candidates=10 | chosen_tmdb=1083381 | path=title_first_match
- key=nino | status=mapped | reason=title_first_match | rep_title=nino | rows=33 | parsed_year=2025 | candidates=24 | chosen_tmdb=1313229 | path=title_first_match
- key=how to train your dragon the hidden world | status=mapped | reason=title_first_match | rep_title=how to train your dragon the hidden world | rows=32 | parsed_year=2019 | candidates=1 | chosen_tmdb=166428 | path=title_first_match
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=the bear clow camp | rows=359 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=in the grey | status=mapped | reason=title_first_match | rep_title=in the grey | rows=638 | parsed_year=2026 | candidates=20 | chosen_tmdb=1122573 | path=title_first_match
- key=devil wears prada 2 | status=mapped | reason=tmdb_fix_override | rep_title=the devil wears prada 2 | rows=1174 | parsed_year=2026 | candidates=0 | chosen_tmdb=1314481 | path=tmdb_fix_override
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=49 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=973 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=solo mio | status=mapped | reason=title_first_match | rep_title=solo mio | rows=6 | parsed_year=2026 | candidates=3 | chosen_tmdb=1291335 | path=title_first_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=434 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=obsession | status=mapped | reason=tmdb_fix_override | rep_title=obsession | rows=643 | parsed_year=2026 | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=62 | parsed_year=2025 | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
