- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 461
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-02T01:26:12.120151+00:00
Finished (UTC): 2026-06-02T01:26:31.787229+00:00
Duration Seconds: 19.6671
Generated At (UTC): 2026-06-02T01:26:31.788659+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 11
- merged: 3
- skipped: 142

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 3
- enrich|mapped|enriched: 3
- row_filter|skipped|already_added: 79
- row_filter|skipped|past_release_date: 62
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

COMING SOONS DETAILS
- [mapped] write | title= | key=allSoons | reason=marked_added | tmdb=
- [mapped] write | title= | key=finalSoons | reason=upserted | tmdb=
- [skipped] row_filter | title=2026 | key=d0b3c989-e6e1-4676-a508-bfa22f4e3bda | reason=skip_token | tmdb=
- [dropped] tmdb_search | title=2planet quoter | key=44bbb86b-f90f-4525-8489-1b29317bc42c | reason=no_candidates | tmdb=
- [dropped] tmdb_search | title=2planet semi | key=c0fe9fc1-7c05-46a7-86b0-11bbcef765a4 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=40 | key=171b0a72-4314-496f-95e5-c7c8ab2a3eaf | reason=past_release_date | tmdb=
- [skipped] row_filter | title=a brief affair | key=1f71f64a-6424-4a0a-906e-63ed7bad0080 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=a nice indian boy | key=a248163b-6d30-44b8-af29-ecfe652074a5 | reason=already_added | tmdb=
- [skipped] row_filter | title=abba | key=165dddd1-1bad-409c-9eaa-75c51170e5b5 | reason=already_added | tmdb=
- [skipped] row_filter | title=adhd | key=780d28ff-6bca-4491-84af-763bb50d3642 | reason=past_release_date | tmdb=
- [merged] dedupe | title=american hina | key=eac85508-3ecc-4d19-9801-ef3e71b3da7b | reason=deduped_into_tmdb | tmdb=1683714
- [mapped] enrich | title=American Hina | key=eac85508-3ecc-4d19-9801-ef3e71b3da7b | reason=enriched | tmdb=1683714
- [mapped] tmdb_choice | title=american hina | key=eac85508-3ecc-4d19-9801-ef3e71b3da7b | reason=fallback_first_candidate | tmdb=1683714 x2
- [dropped] tmdb_search | title=animel farm | key=ed8d64a0-be32-41d8-b2dc-49ee589c716c | reason=no_candidates | tmdb=
- [skipped] row_filter | title=avengers doomsday | key=dcbf0477-5c20-4b09-a9ad-f59069fad274 | reason=already_added | tmdb=
- [skipped] row_filter | title=backrooms | key=63b1c10d-0b87-49c2-adb4-2252a75feac7 | reason=already_added | tmdb=
- [skipped] row_filter | title=bambi the reckoning | key=02424884-6beb-4541-aa40-556aa657fc5f | reason=already_added | tmdb=
- [skipped] row_filter | title=band together | key=a07aee0b-3b9d-4447-bdb5-299293090407 | reason=already_added | tmdb=
- [skipped] row_filter | title=bear clow camp | key=9525a0a7-9fbd-49ff-b112-10826c254f74 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=billie eilish 3d live tour hit me hard | key=2d856f86-0484-4d94-b126-c2a037156a3c | reason=past_release_date | tmdb=
- [skipped] row_filter | title=billie eilish hit me hard and soft the tour 3d | key=41bc27fb-ffd4-4061-91c3-fbf51502b4f4 | reason=past_release_date | tmdb=
