showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
21:40,Scary Movie,מת לצעוק,https://movieland.co.il/order/?eventID=19279&theaterId=1293,https://movieland.co.il/order/?eventID=19279&theaterId=1293,Upgrade,2D,English,,2026-06-09,2026,,,,16+,Glilot,MovieLand,472
21:55,BACKROOMS,באקרומס,https://movieland.co.il/order/?eventID=19283&theaterId=1293,https://movieland.co.il/order/?eventID=19283&theaterId=1293,Upgrade,2D,English,,2026-06-09,2026,,,,12+,Glilot,MovieLand,472
22:05,Obsession,אובססיה,https://movieland.co.il/order/?eventID=19282&theaterId=1293,https://movieland.co.il/order/?eventID=19282&theaterId=1293,Upgrade,2D,English,,2026-06-09,2026,,,,14+,Glilot,MovieLand,472
18:50,Masters Of The Universe,שליטי היקום,https://movieland.co.il/order/?eventID=19280&theaterId=1293,https://movieland.co.il/order/?eventID=19280&theaterId=1293,Upgrade,2D,English,,2026-06-09,2026,,,,9+,Glilot,MovieLand,472
19:20,Michael,מייקל,https://movieland.co.il/order/?eventID=19281&theaterId=1293,https://movieland.co.il/order/?eventID=19281&theaterId=1293,Upgrade,2D,English,,2026-06-09,2026,,,,All,Glilot,MovieLand,472
19:30,שמיים וארץ,שמיים וארץ,https://movieland.co.il/order/?eventID=19287&theaterId=1293,https://movieland.co.il/order/?eventID=19287&theaterId=1293,Upgrade,2D,Hebrew,,2026-06-09,2026,,,,All,Glilot,MovieLand,472
15:05,Disclosure Day,התגלית,https://movieland.co.il/order/?eventID=19325&theaterId=1293,https://movieland.co.il/order/?eventID=19325&theaterId=1293,Upgrade,2D,English,,2026-06-10,2026,,,,All,Glilot,MovieLand,472
19:00,Disclosure Day,התגלית,https://movieland.co.il/order/?eventID=19114&theaterId=1293,https://movieland.co.il/order/?eventID=19114&theaterId=1293,Upgrade,2D,English,,2026-06-10,2026,,,,All,Glilot,MovieLand,472
22:00,Disclosure Day,התגלית,https://movieland.co.il/order/?eventID=19115&theaterId=1293,https://movieland.co.il/order/?eventID=19115&theaterId=1293,Upgrade,2D,English,,2026-06-10,2026,,,,All,Glilot,MovieLand,472
21:40,Scary Movie,מת לצעוק,https://movieland.co.il/order/?eventID=19321&theaterId=1293,https://movieland.co.il/order/?eventID=19321&theaterId=1293,Upgrade,2D,English,,2026-06-10,2026,,,,16+,Glilot,MovieLand,472
