- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 489
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-15T01:29:58.112231+00:00
Finished (UTC): 2026-06-15T01:36:23.964649+00:00
Duration Seconds: 385.8524
Generated At (UTC): 2026-06-15T01:36:23.964918+00:00

SUMMARY COUNTS
- dropped: 13
- mapped: 100
- merged: 78

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 78
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 2
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 60
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=151 | parsed_year=2026 | candidates=12 | chosen_tmdb=1083381 | path=title_first_match
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=385 | parsed_year=2026 | candidates=3 | chosen_tmdb=1275779 | path=title_first_match
- key=2 | status=dropped | reason=skip_token | rep_title= | rows=128 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=super mario galaxy | status=mapped | reason=runtime_match | rep_title=super mario galaxy | rows=66 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=runtime_match
- key=12 | status=mapped | reason=tmdb_fix_override | rep_title=12 | rows=13 | parsed_year= | candidates=0 | chosen_tmdb=1566665 | path=tmdb_fix_override
- key=obsession | status=mapped | reason=tmdb_fix_override | rep_title=obsession | rows=339 | parsed_year=2025 | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=not without hope | status=mapped | reason=title_first_match | rep_title=not without hope | rows=46 | parsed_year=2025 | candidates=1 | chosen_tmdb=339849 | path=title_first_match
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=37 | parsed_year=2026 | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=burning man | status=mapped | reason=fallback_first_candidate | rep_title=burning man | rows=46 | parsed_year=2025 | candidates=20 | chosen_tmdb=1518185 | path=fallback_first_candidate
- key=devil wears prada 2 | status=mapped | reason=tmdb_fix_override | rep_title=the devil wears prada 2 | rows=145 | parsed_year=2026 | candidates=0 | chosen_tmdb=1314481 | path=tmdb_fix_override
- key=michael | status=mapped | reason=title_first_match | rep_title=michael | rows=175 | parsed_year=2026 | candidates=20 | chosen_tmdb=936075 | path=title_first_match
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=134 | parsed_year=2026 | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=cuz youre ugly | status=mapped | reason=title_first_match | rep_title=cuz youre ugly | rows=59 | parsed_year= | candidates=1 | chosen_tmdb=1177748 | path=title_first_match
- key=ilanot | status=mapped | reason=runtime_match | rep_title=ilanot | rows=75 | parsed_year=2026 | candidates=1 | chosen_tmdb=1663161 | path=runtime_match
- key=stolen girl | status=mapped | reason=title_first_match | rep_title=stolen girl | rows=42 | parsed_year=2025 | candidates=2 | chosen_tmdb=1280450 | path=title_first_match
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=50 | parsed_year=2026 | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=great lillian hall | status=mapped | reason=director_match | rep_title=the great lillian hall | rows=100 | parsed_year=2025 | candidates=1 | chosen_tmdb=800513 | path=director_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=112 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=the bear clow camp | rows=33 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=in the grey | status=mapped | reason=title_first_match | rep_title=in the grey | rows=70 | parsed_year=2026 | candidates=20 | chosen_tmdb=1122573 | path=title_first_match
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=26 | parsed_year=2025 | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=tasters | status=mapped | reason=title_first_match | rep_title=the tasters | rows=67 | parsed_year=2025 | candidates=2 | chosen_tmdb=1291712 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=10 | parsed_year= | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=solo mio | status=mapped | reason=title_first_match | rep_title=solo mio | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=1291335 | path=title_first_match
- key=nino | status=mapped | reason=title_first_match | rep_title=nino | rows=3 | parsed_year=2025 | candidates=24 | chosen_tmdb=1313229 | path=title_first_match
- key=last whale singer | status=mapped | reason=fallback_first_candidate | rep_title=the last whale singer | rows=28 | parsed_year=2025 | candidates=2 | chosen_tmdb=677558 | path=fallback_first_candidate
- key=freuds last session | status=mapped | reason=title_first_match | rep_title=freuds last session | rows=4 | parsed_year=2023 | candidates=1 | chosen_tmdb=1025491 | path=title_first_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=50 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=kidnapped | status=mapped | reason=title_first_match | rep_title=kidnapped | rows=9 | parsed_year= | candidates=20 | chosen_tmdb=801112 | path=title_first_match
- key=normal | status=mapped | reason=title_first_match | rep_title=normal | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=1242332 | path=title_first_match
- key=subservience | status=mapped | reason=title_first_match | rep_title=subservience | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1064028 | path=title_first_match
- key=david | status=mapped | reason=fallback_first_candidate | rep_title=david | rows=11 | parsed_year=2026 | candidates=20 | chosen_tmdb=1649887 | path=fallback_first_candidate
- key=two women | status=mapped | reason=title_first_match | rep_title=two women | rows=4 | parsed_year=2025 | candidates=20 | chosen_tmdb=1073588 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=12 | parsed_year=2025 | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=marianas room | status=mapped | reason=title_first_match | rep_title=marianas room | rows=25 | parsed_year=2025 | candidates=1 | chosen_tmdb=1000828 | path=title_first_match
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=22 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=shelter | status=mapped | reason=title_first_match | rep_title=shelter | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=1290821 | path=title_first_match
- key=four letters of love | status=mapped | reason=title_first_match | rep_title=four letters of love | rows=18 | parsed_year=2025 | candidates=1 | chosen_tmdb=1293244 | path=title_first_match
- key=masters of the universe | status=mapped | reason=title_first_match | rep_title=masters of the universe | rows=125 | parsed_year=2026 | candidates=11 | chosen_tmdb=454639 | path=title_first_match
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=17 | parsed_year=2026 | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=my friend eva | status=mapped | reason=title_first_match | rep_title=my friend eva | rows=12 | parsed_year=2025 | candidates=1 | chosen_tmdb=1297953 | path=title_first_match
- key=kpop demon hunters sing along | status=mapped | reason=runtime_match | rep_title=kpop demon hunters sing along | rows=12 | parsed_year= | candidates=1 | chosen_tmdb=803796 | path=runtime_match
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=13 | parsed_year=2026 | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=mandalorian grogu | status=mapped | reason=runtime_match | rep_title=the mandalorian grogu | rows=6 | parsed_year= | candidates=1 | chosen_tmdb=1228710 | path=runtime_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=19 | parsed_year=2026 | candidates=1 | chosen_tmdb=687163 | path=title_first_match
- key=drama | status=mapped | reason=title_first_match | rep_title=the drama | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=1325734 | path=title_first_match
- key=reminders of him | status=mapped | reason=title_first_match | rep_title=reminders of him | rows=15 | parsed_year=2026 | candidates=1 | chosen_tmdb=1367642 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=51 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=38 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
- key=eden | status=mapped | reason=tmdb_fix_id_match | rep_title=eden | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1042834 | path=tmdb_fix_id_match
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=502 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=22 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=63 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
