- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 506
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-28T01:28:15.430534+00:00
Finished (UTC): 2026-06-28T01:33:38.065069+00:00
Duration Seconds: 322.6345
Generated At (UTC): 2026-06-28T01:33:38.065273+00:00

SUMMARY COUNTS
- dropped: 8
- mapped: 76
- merged: 60

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 60
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 44
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 8
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=154 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=26 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=447 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=just an illusion | status=mapped | reason=title_first_match | rep_title=just an illusion | rows=12 | parsed_year=2026 | candidates=3 | chosen_tmdb=1404684 | path=title_first_match
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=126 | parsed_year=2026 | candidates=3 | chosen_tmdb=1275779 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=60 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=1 | parsed_year=2026 | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=572 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=supergirl | status=mapped | reason=title_first_match | rep_title=supergirl | rows=523 | parsed_year=2026 | candidates=15 | chosen_tmdb=1081003 | path=title_first_match
- key=minions monsters english | status=dropped | reason=no_candidates | rep_title=minions monsters english | rows=7 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=9 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=three men and vilma | status=mapped | reason=director_match | rep_title=three men and vilma | rows=57 | parsed_year=2025 | candidates=1 | chosen_tmdb=1340922 | path=director_match
- key=rental family | status=mapped | reason=title_first_match | rep_title=rental family | rows=1 | parsed_year=2025 | candidates=4 | chosen_tmdb=1208348 | path=title_first_match
- key=minions monsters | status=mapped | reason=title_first_match | rep_title=minions monsters | rows=442 | parsed_year=2026 | candidates=3 | chosen_tmdb=1315772 | path=title_first_match
- key=12th fail | status=mapped | reason=title_first_match | rep_title=12th fail | rows=1 | parsed_year=2023 | candidates=1 | chosen_tmdb=1163258 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=director_match | rep_title=per amore di una donna | rows=82 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=director_match
