showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Minions & Monsters,מיניונים ומפלצות,,,,,,,,,2026-07-01,,90,All,,Cinema City,508
,קטנטנות-הסרט,קטנטנות-הסרט,,,,,,,,,2026-07-01,,100,All,,Cinema City,508
,Power Ballad,פזמון חוזר,,,,,,,,,2026-07-02,,98,12+,,Cinema City,508
,מכולת,מכולת,,,,,,,,,2026-07-02,,86,,,Cinema City,508
,The Get Out,לצאת מהמשחק,,,,,,,,,2026-07-02,,101,14+,,Cinema City,508
,הקוסם מארץ עוץ בכיכובם של הבאגיס,הקוסם מארץ עוץ בכיכובם של הבאגיס,,,,,,,,,2026-07-07,,60,All,,Cinema City,508
,Moana (Live Action),מואנה (לייב אקשן),,,,,,,,,2026-07-08,,115,,,Cinema City,508
,חינה אמריקאית,חינה אמריקאית,,,,,,,,,2026-07-09,,89,All,,Cinema City,508
,מאמא,מאמא,,,,,,,,,2026-07-09,,93,12+,,Cinema City,508
,EVIL DEAD BURN,מוות אכזרי אש,,,,,,,,,2026-07-09,,130,,,Cinema City,508
,Driver's Ed,נהג חדש,,,,,,,,,2026-07-09,,98,,,Cinema City,508
,How To Make a Killing,עשיר רצח,,,,,,,,,2026-07-09,,105,,,Cinema City,508
,Jackass: Best and Last,ג'קאס: גומרים בשיא,,,,,,,,,2026-07-09,,92,,,Cinema City,508
,The Invite.,ההזמנה.,,,,,,,,,2026-07-09,,107,,,Cinema City,508
,THE ODYSSEY,האודיסאה,,,,,,,,,2026-07-16,,172,,,Cinema City,508
,Cuz You're Ugly,כי את מכוערת,,,,,,,,,2026-07-23,,83,12+,,Cinema City,508
,Just an Illusion,אשליות מתוקות,,,,,,,,,2026-07-23,,116,All,,Cinema City,508
