showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
21:30,backrooms,באקרומס,https://tickets5.planetcinema.co.il/order/270172?lang=en,https://tickets5.planetcinema.co.il/order/270172?lang=he,Regular,2D,English,,2026-06-30,2026,,Kane Parsons,110,12+,Ayalon,Yes Planet,508
10:15,BLACK BOX,מה קרה לטיסה 298?,https://tickets5.planetcinema.co.il/order/269974?lang=en,https://tickets5.planetcinema.co.il/order/269974?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Quale,85,14+,Ayalon,Yes Planet,508
12:20,BLACK BOX,מה קרה לטיסה 298?,https://tickets5.planetcinema.co.il/order/270020?lang=en,https://tickets5.planetcinema.co.il/order/270020?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Quale,85,14+,Ayalon,Yes Planet,508
16:45,BLACK BOX,מה קרה לטיסה 298?,https://tickets5.planetcinema.co.il/order/269973?lang=en,https://tickets5.planetcinema.co.il/order/269973?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Quale,85,14+,Ayalon,Yes Planet,508
18:45,BLACK BOX,מה קרה לטיסה 298?,https://tickets5.planetcinema.co.il/order/269972?lang=en,https://tickets5.planetcinema.co.il/order/269972?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Quale,85,14+,Ayalon,Yes Planet,508
20:45,BLACK BOX,מה קרה לטיסה 298?,https://tickets5.planetcinema.co.il/order/269971?lang=en,https://tickets5.planetcinema.co.il/order/269971?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Quale,85,14+,Ayalon,Yes Planet,508
22:40,BLACK BOX,מה קרה לטיסה 298?,https://tickets5.planetcinema.co.il/order/269970?lang=en,https://tickets5.planetcinema.co.il/order/269970?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Quale,85,14+,Ayalon,Yes Planet,508
11:45,Colours of Time,צבעי הזמן,https://tickets5.planetcinema.co.il/order/269537?lang=en,https://tickets5.planetcinema.co.il/order/269537?lang=he,Regular,2D,French,,2026-06-30,2025,,סדריק קלאפיש,124,All,Ayalon,Yes Planet,508
14:30,Colours of Time,צבעי הזמן,https://tickets5.planetcinema.co.il/order/269535?lang=en,https://tickets5.planetcinema.co.il/order/269535?lang=he,Regular,2D,French,,2026-06-30,2025,,סדריק קלאפיש,124,All,Ayalon,Yes Planet,508
14:00,Disclosure Day,התגלית,https://tickets5.planetcinema.co.il/order/269880?lang=en,https://tickets5.planetcinema.co.il/order/269880?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Spielberg,145,All,Ayalon,Yes Planet,508
19:30,Disclosure Day,התגלית,https://tickets5.planetcinema.co.il/order/269879?lang=en,https://tickets5.planetcinema.co.il/order/269879?lang=he,Regular,2D,English,,2026-06-30,2026,,Steven Spielberg,145,All,Ayalon,Yes Planet,508
10:45,Heaven and Earth,שמיים וארץ,https://tickets5.planetcinema.co.il/order/270548?lang=en,https://tickets5.planetcinema.co.il/order/270548?lang=he,Regular,2D,Hebrew,,2026-06-30,,,"ארז תדמור, רינת טנג'י לוי",106,All,Ayalon,Yes Planet,508
13:00,Heaven and Earth,שמיים וארץ,https://tickets5.planetcinema.co.il/order/270549?lang=en,https://tickets5.planetcinema.co.il/order/270549?lang=he,Regular,2D,Hebrew,,2026-06-30,,,"ארז תדמור, רינת טנג'י לוי",106,All,Ayalon,Yes Planet,508
15:15,Heaven and Earth,שמיים וארץ,https://tickets5.planetcinema.co.il/order/270550?lang=en,https://tickets5.planetcinema.co.il/order/270550?lang=he,Regular,2D,Hebrew,,2026-06-30,,,"ארז תדמור, רינת טנג'י לוי",106,All,Ayalon,Yes Planet,508
17:30,Heaven and Earth,שמיים וארץ,https://tickets5.planetcinema.co.il/order/270551?lang=en,https://tickets5.planetcinema.co.il/order/270551?lang=he,Regular,2D,Hebrew,,2026-06-30,,,"ארז תדמור, רינת טנג'י לוי",106,All,Ayalon,Yes Planet,508
19:45,Heaven and Earth,שמיים וארץ,https://tickets5.planetcinema.co.il/order/270552?lang=en,https://tickets5.planetcinema.co.il/order/270552?lang=he,Regular,2D,Hebrew,,2026-06-30,,,"ארז תדמור, רינת טנג'י לוי",106,All,Ayalon,Yes Planet,508
22:00,Heaven and Earth,שמיים וארץ,https://tickets5.planetcinema.co.il/order/270553?lang=en,https://tickets5.planetcinema.co.il/order/270553?lang=he,Regular,2D,Hebrew,,2026-06-30,,,"ארז תדמור, רינת טנג'י לוי",106,All,Ayalon,Yes Planet,508
11:20,I Swear,מילה שלי,https://tickets5.planetcinema.co.il/order/269926?lang=en,https://tickets5.planetcinema.co.il/order/269926?lang=he,Regular,2D,English,,2026-06-30,2025,,Kirk Jones,120,12+,Ayalon,Yes Planet,508
15:50,I Swear,מילה שלי,https://tickets5.planetcinema.co.il/order/269927?lang=en,https://tickets5.planetcinema.co.il/order/269927?lang=he,Regular,2D,English,,2026-06-30,2025,,Kirk Jones,120,12+,Ayalon,Yes Planet,508
18:15,I Swear,מילה שלי,https://tickets5.planetcinema.co.il/order/269928?lang=en,https://tickets5.planetcinema.co.il/order/269928?lang=he,Regular,2D,English,,2026-06-30,2025,,Kirk Jones,120,12+,Ayalon,Yes Planet,508
20:45,I Swear,מילה שלי,https://tickets5.planetcinema.co.il/order/269929?lang=en,https://tickets5.planetcinema.co.il/order/269929?lang=he,Regular,2D,English,,2026-06-30,2025,,Kirk Jones,120,12+,Ayalon,Yes Planet,508
10:20,KOLN 75,קלן 75,https://tickets5.planetcinema.co.il/order/270146?lang=en,https://tickets5.planetcinema.co.il/order/270146?lang=he,Regular,2D,"GER, EN",,2026-06-30,,,Ido Fluk,112,12+,Ayalon,Yes Planet,508
12:40,KOLN 75,קלן 75,https://tickets5.planetcinema.co.il/order/270145?lang=en,https://tickets5.planetcinema.co.il/order/270145?lang=he,Regular,2D,"GER, EN",,2026-06-30,,,Ido Fluk,112,12+,Ayalon,Yes Planet,508
18:15,KOLN 75,קלן 75,https://tickets5.planetcinema.co.il/order/269810?lang=en,https://tickets5.planetcinema.co.il/order/269810?lang=he,Regular,2D,"GER, EN",,2026-06-30,,,Ido Fluk,112,12+,Ayalon,Yes Planet,508
10:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269098?lang=en,https://tickets5.planetcinema.co.il/order/269098?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
11:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/268783?lang=en,https://tickets5.planetcinema.co.il/order/268783?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
12:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269099?lang=en,https://tickets5.planetcinema.co.il/order/269099?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
13:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/268786?lang=en,https://tickets5.planetcinema.co.il/order/268786?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
14:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269100?lang=en,https://tickets5.planetcinema.co.il/order/269100?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
14:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269801?lang=en,https://tickets5.planetcinema.co.il/order/269801?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
15:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/268789?lang=en,https://tickets5.planetcinema.co.il/order/268789?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
16:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269101?lang=en,https://tickets5.planetcinema.co.il/order/269101?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
17:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/268791?lang=en,https://tickets5.planetcinema.co.il/order/268791?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
18:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269102?lang=en,https://tickets5.planetcinema.co.il/order/269102?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
19:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/268795?lang=en,https://tickets5.planetcinema.co.il/order/268795?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
20:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269103?lang=en,https://tickets5.planetcinema.co.il/order/269103?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
21:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/268797?lang=en,https://tickets5.planetcinema.co.il/order/268797?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
22:00,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269104?lang=en,https://tickets5.planetcinema.co.il/order/269104?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
22:20,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269890?lang=en,https://tickets5.planetcinema.co.il/order/269890?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
22:30,KUPA RASHIT,קופה ראשית,https://tickets5.planetcinema.co.il/order/269546?lang=en,https://tickets5.planetcinema.co.il/order/269546?lang=he,Regular,2D,Hebrew,,2026-06-30,2026,,,91,All,Ayalon,Yes Planet,508
17:20,Obsession,אובססיה,https://tickets5.planetcinema.co.il/order/270147?lang=en,https://tickets5.planetcinema.co.il/order/270147?lang=he,Regular,2D,English,,2026-06-30,2025,,Curry Barker,110,14+,Ayalon,Yes Planet,508
19:40,Obsession,אובססיה,https://tickets5.planetcinema.co.il/order/270148?lang=en,https://tickets5.planetcinema.co.il/order/270148?lang=he,Regular,2D,English,,2026-06-30,2025,,Curry Barker,110,14+,Ayalon,Yes Planet,508
22:00,Obsession,אובססיה,https://tickets5.planetcinema.co.il/order/270149?lang=en,https://tickets5.planetcinema.co.il/order/270149?lang=he,Regular,2D,English,,2026-06-30,2025,,Curry Barker,110,14+,Ayalon,Yes Planet,508
11:30,Per amore di una donna,כימים אחדים,https://tickets5.planetcinema.co.il/order/267797?lang=en,https://tickets5.planetcinema.co.il/order/267797?lang=he,Regular,2D,Hebrew,,2026-06-30,2025,,Guido Chiesa,117,9+,Ayalon,Yes Planet,508
14:15,Per amore di una donna,כימים אחדים,https://tickets5.planetcinema.co.il/order/267796?lang=en,https://tickets5.planetcinema.co.il/order/267796?lang=he,Regular,2D,Hebrew,,2026-06-30,2025,,Guido Chiesa,117,9+,Ayalon,Yes Planet,508
17:00,Per amore di una donna,כימים אחדים,https://tickets5.planetcinema.co.il/order/267795?lang=en,https://tickets5.planetcinema.co.il/order/267795?lang=he,Regular,2D,Hebrew,,2026-06-30,2025,,Guido Chiesa,117,9+,Ayalon,Yes Planet,508
19:20,Per amore di una donna,כימים אחדים,https://tickets5.planetcinema.co.il/order/267222?lang=en,https://tickets5.planetcinema.co.il/order/267222?lang=he,Regular,2D,Hebrew,,2026-06-30,2025,,Guido Chiesa,117,9+,Ayalon,Yes Planet,508
21:45,Per amore di una donna,כימים אחדים,https://tickets5.planetcinema.co.il/order/267220?lang=en,https://tickets5.planetcinema.co.il/order/267220?lang=he,Regular,2D,Hebrew,,2026-06-30,2025,,Guido Chiesa,117,9+,Ayalon,Yes Planet,508
10:40,Project Hail Mary,פרוייקט הייל מרי,https://tickets5.planetcinema.co.il/order/270196?lang=en,https://tickets5.planetcinema.co.il/order/270196?lang=he,Regular,2D,English,,2026-06-30,2026,,"Phil Lord, Christopher Miller",156,All,Ayalon,Yes Planet,508
14:00,Project Hail Mary,פרוייקט הייל מרי,https://tickets5.planetcinema.co.il/order/270195?lang=en,https://tickets5.planetcinema.co.il/order/270195?lang=he,Regular,2D,English,,2026-06-30,2026,,"Phil Lord, Christopher Miller",156,All,Ayalon,Yes Planet,508
11:40,Sentimental Value,ערך סנטימנטלי,https://tickets5.planetcinema.co.il/order/268293?lang=en,https://tickets5.planetcinema.co.il/order/268293?lang=he,Regular,2D,NO,,2026-06-30,2025,,יואכים טרייר,133,All,Ayalon,Yes Planet,508
14:45,Sentimental Value,ערך סנטימנטלי,https://tickets5.planetcinema.co.il/order/268296?lang=en,https://tickets5.planetcinema.co.il/order/268296?lang=he,Regular,2D,NO,,2026-06-30,2025,,יואכים טרייר,133,All,Ayalon,Yes Planet,508
17:00,Sentimental Value,ערך סנטימנטלי,https://tickets5.planetcinema.co.il/order/269521?lang=en,https://tickets5.planetcinema.co.il/order/269521?lang=he,Regular,2D,NO,,2026-06-30,2025,,יואכים טרייר,133,All,Ayalon,Yes Planet,508
