- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 513
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-04T01:40:53.982076+00:00
Finished (UTC): 2026-07-04T01:45:54.276358+00:00
Duration Seconds: 300.2943
Generated At (UTC): 2026-07-04T01:45:54.276631+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 67
- merged: 51

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 51
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 5
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 36
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=284 | parsed_year=2026 | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=647 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=minions monsters | status=mapped | reason=title_first_match | rep_title=minions monsters | rows=1848 | parsed_year=2026 | candidates=3 | chosen_tmdb=1315772 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=873 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=11 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=159 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=minions monsters english | status=dropped | reason=no_candidates | rep_title=minions monsters english | rows=50 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=60 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=98 | parsed_year=2026 | candidates=3 | chosen_tmdb=1275779 | path=title_first_match
- key=three men and vilma | status=mapped | reason=director_match | rep_title=three men and vilma | rows=45 | parsed_year=2025 | candidates=1 | chosen_tmdb=1340922 | path=director_match
- key=supergirl | status=mapped | reason=title_first_match | rep_title=supergirl | rows=325 | parsed_year=2026 | candidates=15 | chosen_tmdb=1081003 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=16 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=just an illusion | status=mapped | reason=title_first_match | rep_title=just an illusion | rows=3 | parsed_year=2026 | candidates=3 | chosen_tmdb=1404684 | path=title_first_match
- key=rental family | status=mapped | reason=title_first_match | rep_title=rental family | rows=1 | parsed_year=2025 | candidates=4 | chosen_tmdb=1208348 | path=title_first_match
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=30 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=125 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=sarah bernhardt la divine | status=mapped | reason=director_match | rep_title=sarah bernhardt la divine | rows=84 | parsed_year=2024 | candidates=1 | chosen_tmdb=1228322 | path=director_match
- key=per amore di una donna | status=mapped | reason=director_match | rep_title=per amore di una donna | rows=47 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=director_match
- key=youthful grace | status=mapped | reason=director_match | rep_title=youthful grace | rows=90 | parsed_year=2025 | candidates=1 | chosen_tmdb=1319168 | path=director_match
- key=get out aka bear country | status=dropped | reason=no_candidates | rep_title=the get out aka bear country | rows=92 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=39 | parsed_year=2025 | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
