- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 516
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-07T01:36:41.336574+00:00
Finished (UTC): 2026-07-07T01:41:53.444709+00:00
Duration Seconds: 312.1081
Generated At (UTC): 2026-07-07T01:41:53.444913+00:00

SUMMARY COUNTS
- dropped: 10
- mapped: 76
- merged: 59

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 59
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 43
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 10
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=925 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=minions monsters | status=mapped | reason=title_first_match | rep_title=minions monsters | rows=1325 | parsed_year=2026 | candidates=3 | chosen_tmdb=1315772 | path=title_first_match
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=143 | parsed_year=2026 | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=35 | parsed_year=2026 | candidates=14 | chosen_tmdb=1083381 | path=title_first_match
- key=mama | status=mapped | reason=title_first_match | rep_title=mama | rows=124 | parsed_year=2025 | candidates=24 | chosen_tmdb=1483616 | path=title_first_match
- key=how to make a killing | status=mapped | reason=title_first_match | rep_title=how to make a killing | rows=204 | parsed_year=2026 | candidates=3 | chosen_tmdb=467905 | path=title_first_match
- key=american hina | status=dropped | reason=no_candidates | rep_title=american hina | rows=351 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=super mario galaxy | status=mapped | reason=runtime_match | rep_title=super mario galaxy | rows=41 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=runtime_match
- key=per amore di una donna | status=mapped | reason=director_match | rep_title=per amore di una donna | rows=53 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=director_match
- key=supergirl | status=mapped | reason=title_first_match | rep_title=supergirl | rows=182 | parsed_year=2026 | candidates=15 | chosen_tmdb=1081003 | path=title_first_match
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=89 | parsed_year=2026 | candidates=3 | chosen_tmdb=1275779 | path=title_first_match
- key=youthful grace | status=mapped | reason=director_match | rep_title=youthful grace | rows=73 | parsed_year=2025 | candidates=1 | chosen_tmdb=1319168 | path=director_match
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=14 | parsed_year=2026 | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=ties that bind us | status=mapped | reason=director_match | rep_title=the ties that bind us | rows=76 | parsed_year=2024 | candidates=2 | chosen_tmdb=1096642 | path=director_match
- key=jackass best and last | status=mapped | reason=title_first_match | rep_title=jackass best and last | rows=150 | parsed_year=2026 | candidates=1 | chosen_tmdb=1612018 | path=title_first_match
- key=evil dead burn | status=mapped | reason=title_first_match | rep_title=evil dead burn | rows=236 | parsed_year=2026 | candidates=1 | chosen_tmdb=1212763 | path=title_first_match
- key=saltiz | status=mapped | reason=fallback_first_candidate | rep_title=saltiz | rows=70 | parsed_year= | candidates=1 | chosen_tmdb=1696940 | path=fallback_first_candidate
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=849 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=231 | parsed_year=2026 | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=drivers ed | status=mapped | reason=title_first_match | rep_title=drivers ed | rows=114 | parsed_year=2025 | candidates=10 | chosen_tmdb=1398050 | path=title_first_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=get out aka bear country | status=dropped | reason=no_candidates | rep_title=the get out aka bear country | rows=80 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=black box | status=mapped | reason=director_match | rep_title=black box | rows=40 | parsed_year=2026 | candidates=20 | chosen_tmdb=1321008 | path=director_match
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=30 | parsed_year=2026 | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=150 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=78 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=15 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=planet semi final | status=dropped | reason=no_candidates | rep_title=planet semi final | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=sarah bernhardt la divine | status=mapped | reason=director_match | rep_title=sarah bernhardt la divine | rows=68 | parsed_year=2024 | candidates=1 | chosen_tmdb=1228322 | path=director_match
- key=tuner | status=mapped | reason=tmdb_fix_id_match | rep_title=tuner | rows=121 | parsed_year=2025 | candidates=17 | chosen_tmdb=1340206 | path=tmdb_fix_id_match
- key=heaven and earth | status=mapped | reason=title_first_match | rep_title=heaven and earth | rows=49 | parsed_year= | candidates=20 | chosen_tmdb=41845 | path=title_first_match
- key=michael | status=mapped | reason=title_first_match | rep_title=michael | rows=64 | parsed_year=2026 | candidates=20 | chosen_tmdb=936075 | path=title_first_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=15 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=11 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=planet final | status=mapped | reason=fallback_first_candidate | rep_title=planet final | rows=6 | parsed_year= | candidates=5 | chosen_tmdb=16067 | path=fallback_first_candidate
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=155 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=david | status=mapped | reason=title_first_match | rep_title=david | rows=2 | parsed_year=2025 | candidates=24 | chosen_tmdb=1167307 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=35 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=spongebob movie search for squarepants | status=mapped | reason=title_first_match | rep_title=the spongebob movie search for squarepants | rows=6 | parsed_year=2025 | candidates=1 | chosen_tmdb=991494 | path=title_first_match
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=41 | parsed_year=2025 | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=687163 | path=title_first_match
