- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 522
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-10T01:47:45.300820+00:00
Finished (UTC): 2026-07-10T01:54:03.562648+00:00
Duration Seconds: 378.2618
Generated At (UTC): 2026-07-10T01:54:03.562916+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 78
- merged: 59

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 59
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 8
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 41
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 18
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=american hina | status=dropped | reason=no_candidates | rep_title=american hina | rows=483 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=saltiz | status=mapped | reason=fallback_first_candidate | rep_title=saltiz | rows=400 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=fallback_first_candidate
- key=minions monsters | status=mapped | reason=title_first_match | rep_title=minions monsters | rows=1577 | parsed_year=2026 | candidates=2 | chosen_tmdb=1315772 | path=title_first_match
- key=kupa rashit | status=dropped | reason=no_candidates | rep_title=kupa rashit | rows=580 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=sarah bernhardt la divine | status=mapped | reason=director_match | rep_title=sarah bernhardt la divine | rows=35 | parsed_year=2024 | candidates=1 | chosen_tmdb=1228322 | path=director_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=1061 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=how to make a killing | status=mapped | reason=title_first_match | rep_title=how to make a killing | rows=518 | parsed_year=2026 | candidates=3 | chosen_tmdb=467905 | path=title_first_match
- key=jackass best and last | status=mapped | reason=title_first_match | rep_title=jackass best and last | rows=397 | parsed_year=2026 | candidates=1 | chosen_tmdb=1612018 | path=title_first_match
- key=heaven and earth | status=mapped | reason=title_first_match | rep_title=heaven and earth | rows=27 | parsed_year= | candidates=20 | chosen_tmdb=41845 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=136 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=evil dead burn | status=mapped | reason=title_first_match | rep_title=evil dead burn | rows=393 | parsed_year=2026 | candidates=1 | chosen_tmdb=1212763 | path=title_first_match
- key=mama | status=mapped | reason=title_first_match | rep_title=mama | rows=102 | parsed_year=2025 | candidates=24 | chosen_tmdb=1483616 | path=title_first_match
- key=drivers ed | status=mapped | reason=title_first_match | rep_title=drivers ed | rows=275 | parsed_year=2025 | candidates=10 | chosen_tmdb=1398050 | path=title_first_match
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=6 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=tuner | status=mapped | reason=tmdb_fix_id_match | rep_title=tuner | rows=111 | parsed_year=2025 | candidates=17 | chosen_tmdb=1340206 | path=tmdb_fix_id_match
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=25 | parsed_year=2025 | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=director_match | rep_title=per amore di una donna | rows=31 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=director_match
