showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
10:30,Moana (Live Action),מואנה,https://movieland.co.il/order/?eventID=20514&theaterId=1293,https://movieland.co.il/order/?eventID=20514&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
13:00,Moana (Live Action),מואנה,https://movieland.co.il/order/?eventID=20515&theaterId=1293,https://movieland.co.il/order/?eventID=20515&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
15:30,Moana (Live Action),מואנה,https://movieland.co.il/order/?eventID=20516&theaterId=1293,https://movieland.co.il/order/?eventID=20516&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
19:40,HOW TO MAKE A KILLING,עשיר רצח,https://movieland.co.il/order/?eventID=20759&theaterId=1293,https://movieland.co.il/order/?eventID=20759&theaterId=1293,Upgrade,2D,English,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
22:05,HOW TO MAKE A KILLING,עשיר רצח,https://movieland.co.il/order/?eventID=20760&theaterId=1293,https://movieland.co.il/order/?eventID=20760&theaterId=1293,Upgrade,2D,English,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
00:30,HOW TO MAKE A KILLING,עשיר רצח,https://movieland.co.il/order/?eventID=20772&theaterId=1293,https://movieland.co.il/order/?eventID=20772&theaterId=1293,Upgrade,2D,English,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
19:55,חינה אמריקאית,חינה אמריקאית,https://movieland.co.il/order/?eventID=20769&theaterId=1293,https://movieland.co.il/order/?eventID=20769&theaterId=1293,Upgrade,2D,Hebrew,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
22:00,Jackass: Best and Last,ג'קאס: גומרים בשיא,https://movieland.co.il/order/?eventID=20764&theaterId=1293,https://movieland.co.il/order/?eventID=20764&theaterId=1293,Upgrade,2D,English,,2026-07-10,2026,,,,16+,Glilot,MovieLand,523
00:05,Jackass: Best and Last,ג'קאס: גומרים בשיא,https://movieland.co.il/order/?eventID=20771&theaterId=1293,https://movieland.co.il/order/?eventID=20771&theaterId=1293,Upgrade,2D,English,,2026-07-10,2026,,,,16+,Glilot,MovieLand,523
11:30,Minions & Monsters,מיניונים ומפלצות,https://movieland.co.il/order/?eventID=20761&theaterId=1293,https://movieland.co.il/order/?eventID=20761&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
13:35,Minions & Monsters,מיניונים ומפלצות,https://movieland.co.il/order/?eventID=20762&theaterId=1293,https://movieland.co.il/order/?eventID=20762&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
15:45,Minions & Monsters,מיניונים ומפלצות,https://movieland.co.il/order/?eventID=20763&theaterId=1293,https://movieland.co.il/order/?eventID=20763&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
17:50,Minions & Monsters,מיניונים ומפלצות,https://movieland.co.il/order/?eventID=20770&theaterId=1293,https://movieland.co.il/order/?eventID=20770&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
13:05,קופה ראשית: הסרט,קופה ראשית: הסרט,https://movieland.co.il/order/?eventID=20766&theaterId=1293,https://movieland.co.il/order/?eventID=20766&theaterId=1293,Upgrade,2D,Hebrew,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
17:30,קופה ראשית: הסרט,קופה ראשית: הסרט,https://movieland.co.il/order/?eventID=20765&theaterId=1293,https://movieland.co.il/order/?eventID=20765&theaterId=1293,Upgrade,2D,Hebrew,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
21:00,קופה ראשית: הסרט,קופה ראשית: הסרט,https://movieland.co.il/order/?eventID=20767&theaterId=1293,https://movieland.co.il/order/?eventID=20767&theaterId=1293,Upgrade,2D,Hebrew,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
23:15,קופה ראשית: הסרט,קופה ראשית: הסרט,https://movieland.co.il/order/?eventID=20768&theaterId=1293,https://movieland.co.il/order/?eventID=20768&theaterId=1293,Upgrade,2D,Hebrew,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
18:00,Moana (Live Action),מואנה,https://movieland.co.il/order/?eventID=20517&theaterId=1293,https://movieland.co.il/order/?eventID=20517&theaterId=1293,Upgrade,2D,English,,2026-07-10,2026,,,,All,Glilot,MovieLand,523
10:50,Toy Story 5,צעצוע של סיפור 5,https://movieland.co.il/order/?eventID=20758&theaterId=1293,https://movieland.co.il/order/?eventID=20758&theaterId=1293,Upgrade,2D,English,Hebrew,2026-07-10,2026,,,,All,Glilot,MovieLand,523
