- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 525
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-10T07:01:55.092790+00:00
Finished (UTC): 2026-07-10T07:05:39.722064+00:00
Duration Seconds: 224.6293
Generated At (UTC): 2026-07-10T07:05:39.722245+00:00

SUMMARY COUNTS
- dropped: 19
- mapped: 69
- merged: 64

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 64
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|fallback_first_candidate: 15
- tmdb_choice|mapped|title_first_match: 44
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 18
- write|mapped|upserted: 2

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=evil dead burn | status=mapped | reason=title_first_match | rep_title=evil dead burn | rows=322 | parsed_year= | candidates=1 | chosen_tmdb=1212763 | path=title_first_match
- key=american hina | status=dropped | reason=no_candidates | rep_title=american hina | rows=521 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=saltiz | status=mapped | reason=fallback_first_candidate | rep_title=saltiz | rows=479 | parsed_year= | candidates=1 | chosen_tmdb=1696940 | path=fallback_first_candidate
- key=jackass best and last | status=mapped | reason=title_first_match | rep_title=jackass best and last | rows=239 | parsed_year= | candidates=1 | chosen_tmdb=1612018 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=850 | parsed_year= | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=minions monsters | status=mapped | reason=title_first_match | rep_title=minions monsters | rows=1207 | parsed_year= | candidates=2 | chosen_tmdb=1315772 | path=title_first_match
- key=how to make a killing | status=mapped | reason=title_first_match | rep_title=how to make a killing | rows=318 | parsed_year= | candidates=3 | chosen_tmdb=467905 | path=title_first_match
- key=pirate water park | status=dropped | reason=no_candidates | rep_title=pirate water park | rows=110 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=michael | status=mapped | reason=title_first_match | rep_title=michael | rows=41 | parsed_year= | candidates=20 | chosen_tmdb=936075 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=54 | parsed_year= | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=77 | parsed_year= | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=tmdb_fix:1568027 | status=mapped | reason=tmdb_fix_override | rep_title=kupa rashit | rows=66 | parsed_year= | candidates=0 | chosen_tmdb=1568027 | path=tmdb_fix_override
- key=mama | status=mapped | reason=title_first_match | rep_title=mama | rows=102 | parsed_year= | candidates=20 | chosen_tmdb=132232 | path=title_first_match
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=303 | parsed_year= | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=321 | parsed_year= | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=planet semi final | status=dropped | reason=no_candidates | rep_title=planet semi final | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tangled | status=mapped | reason=title_first_match | rep_title=tangled | rows=30 | parsed_year= | candidates=20 | chosen_tmdb=38757 | path=title_first_match
- key=sarah bernhardt la divine | status=mapped | reason=fallback_first_candidate | rep_title=sarah bernhardt la divine | rows=35 | parsed_year= | candidates=1 | chosen_tmdb=1228322 | path=fallback_first_candidate
- key=supergirl | status=mapped | reason=title_first_match | rep_title=supergirl | rows=77 | parsed_year= | candidates=15 | chosen_tmdb=1081003 | path=title_first_match
- key=tmdb_fix:1108427 | status=mapped | reason=tmdb_fix_override | rep_title=moana live action | rows=150 | parsed_year= | candidates=0 | chosen_tmdb=1108427 | path=tmdb_fix_override
- key=welcome to the jungle | status=mapped | reason=title_first_match | rep_title=welcome to the jungle | rows=16 | parsed_year= | candidates=9 | chosen_tmdb=1169516 | path=title_first_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=11 | parsed_year= | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=heaven and earth | status=mapped | reason=title_first_match | rep_title=heaven and earth | rows=27 | parsed_year= | candidates=20 | chosen_tmdb=41845 | path=title_first_match
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=56 | parsed_year= | candidates=3 | chosen_tmdb=1275779 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=20 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=17 | parsed_year= | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tuner | status=mapped | reason=tmdb_fix_id_match | rep_title=tuner | rows=58 | parsed_year= | candidates=17 | chosen_tmdb=1340206 | path=tmdb_fix_id_match
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=30 | parsed_year= | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=22 | parsed_year= | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=114 | parsed_year= | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=black box | status=mapped | reason=fallback_first_candidate | rep_title=black box | rows=9 | parsed_year= | candidates=20 | chosen_tmdb=1321008 | path=fallback_first_candidate
- key=get out | status=mapped | reason=title_first_match | rep_title=the get out | rows=28 | parsed_year= | candidates=20 | chosen_tmdb=1279493 | path=title_first_match
- key=get out aka bear country | status=dropped | reason=no_candidates | rep_title=the get out aka bear country | rows=40 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=the odyssey | rows=52 | parsed_year= | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=2planet semi | status=dropped | reason=no_candidates | rep_title=2planet semi | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=ties that bind us | status=mapped | reason=title_first_match | rep_title=the ties that bind us | rows=58 | parsed_year= | candidates=2 | chosen_tmdb=1460982 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=fallback_first_candidate | rep_title=per amore di una donna | rows=31 | parsed_year= | candidates=1 | chosen_tmdb=1143204 | path=fallback_first_candidate
- key=shmulikipod | status=dropped | reason=no_candidates | rep_title=shmulikipod | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=drivers ed | status=mapped | reason=title_first_match | rep_title=drivers ed | rows=149 | parsed_year= | candidates=10 | chosen_tmdb=1398050 | path=title_first_match
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=38 | parsed_year= | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=26 | parsed_year= | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=super mario galaxy | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy | rows=36 | parsed_year= | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=three men and vilma | status=mapped | reason=fallback_first_candidate | rep_title=three men and vilma | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1340922 | path=fallback_first_candidate
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=6 | parsed_year= | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=moana | status=mapped | reason=tmdb_fix_id_match | rep_title=moana | rows=7 | parsed_year= | candidates=20 | chosen_tmdb=1108427 | path=tmdb_fix_id_match
- key=planet spa bel | status=dropped | reason=no_candidates | rep_title=planet spa bel | rows=6 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=7 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=31 | parsed_year= | candidates=16 | chosen_tmdb=1083381 | path=title_first_match
