showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
10:00,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262270?lang=en,https://tickets5.planetcinema.co.il/order/262270?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
11:00,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262286?lang=en,https://tickets5.planetcinema.co.il/order/262286?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
13:30,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262272?lang=en,https://tickets5.planetcinema.co.il/order/262272?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
14:30,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262287?lang=en,https://tickets5.planetcinema.co.il/order/262287?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
17:00,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262273?lang=en,https://tickets5.planetcinema.co.il/order/262273?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
18:00,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262293?lang=en,https://tickets5.planetcinema.co.il/order/262293?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
20:30,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262274?lang=en,https://tickets5.planetcinema.co.il/order/262274?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
21:00,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/285704?lang=en,https://tickets5.planetcinema.co.il/order/285704?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
21:30,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262294?lang=en,https://tickets5.planetcinema.co.il/order/262294?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
23:45,The Odyssey,האודיסאה,https://tickets5.planetcinema.co.il/order/262275?lang=en,https://tickets5.planetcinema.co.il/order/262275?lang=he,Regular,2D,English,,2026-07-16,2026,,Christopher Nolan,172,14+,Ayalon,Yes Planet,543
