showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,כי את מכוערת,כי את מכוערת,,,,,,,,2025,2026-07-23,,83,,,Hot Cinema,570
,GRACIE and PEDRO: PETS TO THE RESCUE,פדרו וגרייסי: חיות מחמד בפעולה מדובב,,,,,,,,,2026-07-23,,87,All,,Hot Cinema,570
,Just an Illusion,אשליות מתוקות,,,,,,,,2026,2026-07-23,,116,All,,Hot Cinema,570
,batman,באטמן 1989,,,,,,,,1989,2026-07-23,,126,12+,,Hot Cinema,570
,Dream High,תיכון מגשימים,,,,,,,,2026,2026-07-23,,100,12+,,Hot Cinema,570
,Tafiti: Across the Desert,טפיטי: הרפתקה במדבר,,,,,,,,,2026-07-23,,81,הגבלת גיל: עד גיל 8 בליווי מבוגר,,Hot Cinema,570
,מופע הקיץ של משפחת ספיר,מופע הקיץ של משפחת ספיר,,,,,,,,,2026-07-25,,70,All,,Hot Cinema,570
,Saltiz,סולטיז הסרט - וולוג ה-100,,,,,,,,2026,2026-07-26,,100,All,,Hot Cinema,570
,One night only,לגמור את הלילה,,,,,,,,2026,2026-07-28,,102,14+,,Hot Cinema,570
,Hollywood to Broadway,מופע - Hollywood to Broadway,,,,,,,,,2026-07-28,,90,All,,Hot Cinema,570
,Spider-Man: Brand new day,ספיידרמן: יום חדש,,,,,,,,2026,2026-07-29,,145,,,Hot Cinema,570
,סרט כחול לבן,סרט כחול לבן,,,,,,,,2026,2026-07-30,,86,14+,,Hot Cinema,570
,Edward Scissorhands,המספריים של אדוארד,,,,,,,,1990,2026-07-30,,105,All,,Hot Cinema,570
,Motor City,מוטור סיטי,,,,,,,,2025,2026-07-30,,103,,,Hot Cinema,570
,THE MAGICAL FARAWAY TREE,המסע המופלא לעץ הקסמים,,,,,,,,2026,2026-07-30,,110,,,Hot Cinema,570
,I Want Your Sex,בוסית בהפרעה,,,,,,,,2026,2026-07-30,,90,,,Hot Cinema,570
,שעת סיפור: כספיון,שעת סיפור: כספיון,,,,,,,,,2026-08-01,,60,All,,Hot Cinema,570
