- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 589
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-04T01:48:37.263263+00:00
Finished (UTC): 2026-08-04T02:00:24.430569+00:00
Duration Seconds: 707.1673
Generated At (UTC): 2026-08-04T02:00:24.430746+00:00

SUMMARY COUNTS
- dropped: 15
- mapped: 238
- merged: 226

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 226
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 10
- tmdb_choice|mapped|fallback_first_candidate: 21
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 184
- tmdb_choice|mapped|tmdb_fix_id_match: 5
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=apocalypse now final cut | status=mapped | reason=director_match | rep_title=apocalypse now final cut | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=28 | path=director_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=10 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=in satmar custody | status=mapped | reason=title_first_match | rep_title=in satmar custody | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=292968 | path=title_first_match
- key=box of moonlight | status=mapped | reason=title_first_match | rep_title=box of moonlight | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=31146 | path=title_first_match
- key=la spagnola | status=mapped | reason=title_first_match | rep_title=la spagnola | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=115506 | path=title_first_match
- key=hero | status=mapped | reason=director_match | rep_title=hero | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=79 | path=director_match
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=4 | parsed_year=2026 | candidates=4 | chosen_tmdb=1275779 | path=title_first_match
- key=oppenheimer | status=mapped | reason=title_first_match | rep_title=oppenheimer | rows=4 | parsed_year=2023 | candidates=20 | chosen_tmdb=872585 | path=title_first_match
- key=school of magical animals 3 | status=mapped | reason=title_first_match | rep_title=school of magical animals 3 | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1181765 | path=title_first_match
- key=family time | status=mapped | reason=title_first_match | rep_title=family time | rows=1 | parsed_year= | candidates=18 | chosen_tmdb=925920 | path=title_first_match
- key=late shift | status=mapped | reason=title_first_match | rep_title=late shift | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=1356670 | path=title_first_match
- key=esther | status=mapped | reason=title_first_match | rep_title=esther | rows=6 | parsed_year=2026 | candidates=20 | chosen_tmdb=1685080 | path=title_first_match
- key=cuz youre ugly | status=mapped | reason=title_first_match | rep_title=cuz youre ugly | rows=16 | parsed_year=2025 | candidates=1 | chosen_tmdb=1177748 | path=title_first_match
- key=young girls of rochefort | status=mapped | reason=title_first_match | rep_title=the young girls of rochefort | rows=2 | parsed_year= | candidates=3 | chosen_tmdb=2433 | path=title_first_match
- key=amador | status=mapped | reason=title_first_match | rep_title=amador | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=56440 | path=title_first_match
- key=van gogh | status=mapped | reason=director_match | rep_title=van gogh | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=4734 | path=director_match
- key=wedding doll | status=mapped | reason=title_first_match | rep_title=wedding doll | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=356401 | path=title_first_match
- key=parasite | status=mapped | reason=title_first_match | rep_title=parasite | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=496243 | path=title_first_match
- key=we wont grow old together | status=mapped | reason=title_first_match | rep_title=we wont grow old together | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=63230 | path=title_first_match
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=3 | parsed_year=2026 | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=city of no limits | status=mapped | reason=title_first_match | rep_title=the city of no limits | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=20316 | path=title_first_match
- key=wish you were here | status=mapped | reason=title_first_match | rep_title=wish you were here | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=46976 | path=title_first_match
- key=inglourious basterds | status=mapped | reason=title_first_match | rep_title=inglourious basterds | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=16869 | path=title_first_match
- key=marketa lazarova | status=mapped | reason=title_first_match | rep_title=marketa lazarova | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=25904 | path=title_first_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=5 | parsed_year=2025 | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=magical faraway tree | status=dropped | reason=no_candidates | rep_title=the magical faraway tree | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
