showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
10:00,,,https://cintlv.pres.global/order/131578?lang=en,https://cintlv.pres.global/order/131578?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
10:00,The Witch,,https://cintlv.pres.global/order/131728?lang=en,https://cintlv.pres.global/order/131728?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
10:30,,,https://cintlv.pres.global/order/131562?lang=en,https://cintlv.pres.global/order/131562?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
10:30,Yvan's Revelation,,https://cintlv.pres.global/order/131844?lang=en,https://cintlv.pres.global/order/131844?lang=he,Regular,2D,,,2026-08-06,2025,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
11:30,,,https://cintlv.pres.global/order/131475?lang=en,https://cintlv.pres.global/order/131475?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
11:30,The 5-Second Rule,,https://cintlv.pres.global/order/131731?lang=en,https://cintlv.pres.global/order/131731?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
12:00,Arco,,https://cintlv.pres.global/order/131988?lang=en,https://cintlv.pres.global/order/131988?lang=he,Regular,2D,,,2026-08-06,2025,,,88,,Tel Aviv,Tel Aviv Cinematheque,592
13:00,,,https://cintlv.pres.global/order/131583?lang=en,https://cintlv.pres.global/order/131583?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
13:00,Dying Embers,,https://cintlv.pres.global/order/131845?lang=en,https://cintlv.pres.global/order/131845?lang=he,Regular,2D,,,2026-08-06,2025,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
13:30,,,https://cintlv.pres.global/order/131469?lang=en,https://cintlv.pres.global/order/131469?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
14:30,,,https://cintlv.pres.global/order/131577?lang=en,https://cintlv.pres.global/order/131577?lang=he,Regular,2D,,,2026-08-06,2026,,,90,,Tel Aviv,Tel Aviv Cinematheque,592
14:30,,,https://cintlv.pres.global/order/131581?lang=en,https://cintlv.pres.global/order/131581?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
14:30,Valley of Shadows,,https://cintlv.pres.global/order/132595?lang=en,https://cintlv.pres.global/order/132595?lang=he,Regular,2D,,,2026-08-06,2024,,,120,,Tel Aviv,Tel Aviv Cinematheque,592
14:30,,,https://cintlv.pres.global/order/132753?lang=en,https://cintlv.pres.global/order/132753?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
15:00,It Might Even Be Real,,https://cintlv.pres.global/order/131436?lang=en,https://cintlv.pres.global/order/131436?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
15:00,,,https://cintlv.pres.global/order/131471?lang=en,https://cintlv.pres.global/order/131471?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
15:00,Sentimental Value,,https://cintlv.pres.global/order/132527?lang=en,https://cintlv.pres.global/order/132527?lang=he,Regular,2D,,,2026-08-06,2025,,,132,,Tel Aviv,Tel Aviv Cinematheque,592
16:00,The Hive Studio,,https://cintlv.pres.global/order/131468?lang=en,https://cintlv.pres.global/order/131468?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
16:00,,,https://cintlv.pres.global/order/131476?lang=en,https://cintlv.pres.global/order/131476?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
16:15,"?Where Are You, Dear General",,https://cintlv.pres.global/order/131448?lang=en,https://cintlv.pres.global/order/131448?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
16:30,,,https://cintlv.pres.global/order/131544?lang=en,https://cintlv.pres.global/order/131544?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
16:30,,,https://cintlv.pres.global/order/131597?lang=en,https://cintlv.pres.global/order/131597?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
17:00,AI,,https://cintlv.pres.global/order/131445?lang=en,https://cintlv.pres.global/order/131445?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
17:00,Mama,,https://cintlv.pres.global/order/132559?lang=en,https://cintlv.pres.global/order/132559?lang=he,Regular,2D,,,2026-08-06,2025,,,93,,Tel Aviv,Tel Aviv Cinematheque,592
17:30,,,https://cintlv.pres.global/order/131466?lang=en,https://cintlv.pres.global/order/131466?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
17:30,,,https://cintlv.pres.global/order/131553?lang=en,https://cintlv.pres.global/order/131553?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
17:30,(WIP),,https://cintlv.pres.global/order/131724?lang=en,https://cintlv.pres.global/order/131724?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
18:00,Sentimental Value,,https://cintlv.pres.global/order/132515?lang=en,https://cintlv.pres.global/order/132515?lang=he,Regular,2D,,,2026-08-06,2025,,,132,,Tel Aviv,Tel Aviv Cinematheque,592
18:30,,,https://cintlv.pres.global/order/131598?lang=en,https://cintlv.pres.global/order/131598?lang=he,Regular,2D,,,2026-08-06,2026,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
18:30,The Crossing,,https://cintlv.pres.global/order/132191?lang=en,https://cintlv.pres.global/order/132191?lang=he,Regular,2D,,,2026-08-06,,,,84,,Tel Aviv,Tel Aviv Cinematheque,592
18:30,Esther,,https://cintlv.pres.global/order/132526?lang=en,https://cintlv.pres.global/order/132526?lang=he,Regular,2D,,,2026-08-06,2026,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
19:00,,,https://cintlv.pres.global/order/131467?lang=en,https://cintlv.pres.global/order/131467?lang=he,Regular,2D,,,2026-08-06,,,,60,,Tel Aviv,Tel Aviv Cinematheque,592
