showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
17:00,גבעה 338,גבעה 338,https://tickets5.rav-hen.co.il/order/298803?lang=he,https://tickets5.rav-hen.co.il/order/298803?lang=he,Regular,2D,Hebrew,,2026-08-08,2026,,,106,9+,Givatayim,Rav Hen,594
19:30,גבעה 338,גבעה 338,https://tickets5.rav-hen.co.il/order/298808?lang=he,https://tickets5.rav-hen.co.il/order/298808?lang=he,Regular,2D,Hebrew,,2026-08-08,2026,,,106,9+,Givatayim,Rav Hen,594
21:50,גבעה 338,גבעה 338,https://tickets5.rav-hen.co.il/order/298813?lang=he,https://tickets5.rav-hen.co.il/order/298813?lang=he,Regular,2D,Hebrew,,2026-08-08,2026,,,106,9+,Givatayim,Rav Hen,594
10:00,מפרץ ההרפתקאות: אי הדינוזאורים,מפרץ ההרפתקאות: אי הדינוזאורים,https://tickets5.rav-hen.co.il/order/298200?lang=he,https://tickets5.rav-hen.co.il/order/298200?lang=he,Regular,2D,Hebrew,Hebrew,2026-08-08,2026,,,90,All,Givatayim,Rav Hen,594
12:00,מפרץ ההרפתקאות: אי הדינוזאורים,מפרץ ההרפתקאות: אי הדינוזאורים,https://tickets5.rav-hen.co.il/order/298203?lang=he,https://tickets5.rav-hen.co.il/order/298203?lang=he,Regular,2D,Hebrew,Hebrew,2026-08-08,2026,,,90,All,Givatayim,Rav Hen,594
14:00,מפרץ ההרפתקאות: אי הדינוזאורים,מפרץ ההרפתקאות: אי הדינוזאורים,https://tickets5.rav-hen.co.il/order/298207?lang=he,https://tickets5.rav-hen.co.il/order/298207?lang=he,Regular,2D,Hebrew,Hebrew,2026-08-08,2026,,,90,All,Givatayim,Rav Hen,594
16:00,מפרץ ההרפתקאות: אי הדינוזאורים,מפרץ ההרפתקאות: אי הדינוזאורים,https://tickets5.rav-hen.co.il/order/298209?lang=he,https://tickets5.rav-hen.co.il/order/298209?lang=he,Regular,2D,Hebrew,Hebrew,2026-08-08,2026,,,90,All,Givatayim,Rav Hen,594
10:30,האודיסאה,האודיסאה,https://tickets5.rav-hen.co.il/order/298356?lang=he,https://tickets5.rav-hen.co.il/order/298356?lang=he,Regular,2D,English,,2026-08-08,2026,,,172,14+,Givatayim,Rav Hen,594
14:00,האודיסאה,האודיסאה,https://tickets5.rav-hen.co.il/order/298360?lang=he,https://tickets5.rav-hen.co.il/order/298360?lang=he,Regular,2D,English,,2026-08-08,2026,,,172,14+,Givatayim,Rav Hen,594
17:20,האודיסאה,האודיסאה,https://tickets5.rav-hen.co.il/order/298364?lang=he,https://tickets5.rav-hen.co.il/order/298364?lang=he,Regular,2D,English,,2026-08-08,2026,,,172,14+,Givatayim,Rav Hen,594
20:45,האודיסאה,האודיסאה,https://tickets5.rav-hen.co.il/order/298368?lang=he,https://tickets5.rav-hen.co.il/order/298368?lang=he,Regular,2D,English,,2026-08-08,2026,,,172,14+,Givatayim,Rav Hen,594
10:00,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298313?lang=he,https://tickets5.rav-hen.co.il/order/298313?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
13:00,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298318?lang=he,https://tickets5.rav-hen.co.il/order/298318?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
16:00,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298323?lang=he,https://tickets5.rav-hen.co.il/order/298323?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
16:30,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/299267?lang=he,https://tickets5.rav-hen.co.il/order/299267?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
18:00,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298277?lang=he,https://tickets5.rav-hen.co.il/order/298277?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
19:00,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298328?lang=he,https://tickets5.rav-hen.co.il/order/298328?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
20:45,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298282?lang=he,https://tickets5.rav-hen.co.il/order/298282?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
21:30,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298502?lang=he,https://tickets5.rav-hen.co.il/order/298502?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
21:50,ספיידרמן: יום חדש,ספיידרמן: יום חדש,https://tickets5.rav-hen.co.il/order/298333?lang=he,https://tickets5.rav-hen.co.il/order/298333?lang=he,Regular,2D,English,,2026-08-08,2026,,,140,All,Givatayim,Rav Hen,594
21:50,אובססיה,אובססיה,https://tickets5.rav-hen.co.il/order/298855?lang=he,https://tickets5.rav-hen.co.il/order/298855?lang=he,Regular,2D,English,,2026-08-08,2025,,,110,14+,Givatayim,Rav Hen,594
18:00,איש הגלידה,איש הגלידה,https://tickets5.rav-hen.co.il/order/298572?lang=he,https://tickets5.rav-hen.co.il/order/298572?lang=he,Regular,2D,English,,2026-08-08,2026,,,86,18+,Givatayim,Rav Hen,594
20:00,איש הגלידה,איש הגלידה,https://tickets5.rav-hen.co.il/order/298578?lang=he,https://tickets5.rav-hen.co.il/order/298578?lang=he,Regular,2D,English,,2026-08-08,2026,,,86,18+,Givatayim,Rav Hen,594
