showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
19:00,"The Woman Who Didn't Know How To Love - Eng,",האישה שלא ידעה לאהוב,https://jaffacinema.smarticket.co.il/en/iframe/event/3923,https://jaffacinema.smarticket.co.il/en/iframe/event/3923,Regular,2D,,,2026-08-12,2026,,2026,0,,Jaffa,Jaffa Cinema,599
20:00,Dazed and Confused,טריפ נעורים,https://jaffacinema.smarticket.co.il/en/iframe/event/3914,https://jaffacinema.smarticket.co.il/en/iframe/event/3914,Regular,2D,,,2026-08-12,1993,,,0,,Jaffa,Jaffa Cinema,599
21:30,A Short Film About Love,סיפור קצר על אהבה,https://jaffacinema.smarticket.co.il/en/iframe/event/3920,https://jaffacinema.smarticket.co.il/en/iframe/event/3920,Regular,2D,,,2026-08-12,1988,,1988,0,,Jaffa,Jaffa Cinema,599
19:00,A Summer's Tale,סיפור קיץ,https://jaffacinema.smarticket.co.il/en/iframe/event/3925,https://jaffacinema.smarticket.co.il/en/iframe/event/3925,Regular,2D,,,2026-08-13,1996,,1996,0,,Jaffa,Jaffa Cinema,599
20:00,The Shining,הניצוץ,https://jaffacinema.smarticket.co.il/en/iframe/event/3915,https://jaffacinema.smarticket.co.il/en/iframe/event/3915,Regular,2D,,,2026-08-13,1980,,1980,0,,Jaffa,Jaffa Cinema,599
21:30,The Drama,הדרמה,https://jaffacinema.smarticket.co.il/en/iframe/event/3926,https://jaffacinema.smarticket.co.il/en/iframe/event/3926,Regular,2D,,,2026-08-13,2026,,2026,0,,Jaffa,Jaffa Cinema,599
21:30,The Drama,הדרמה,https://jaffacinema.smarticket.co.il/en/iframe/event/3927,https://jaffacinema.smarticket.co.il/en/iframe/event/3927,Regular,2D,,,2026-08-19,2026,,2026,0,,Jaffa,Jaffa Cinema,599
19:00,Tangerine,טאנג׳רין,https://jaffacinema.smarticket.co.il/en/iframe/event/3919,https://jaffacinema.smarticket.co.il/en/iframe/event/3919,Regular,2D,,,2026-08-15,2015,,2015,0,,Jaffa,Jaffa Cinema,599
20:00,Lost in Translation,אבודים בטוקיו,https://jaffacinema.smarticket.co.il/en/iframe/event/3916,https://jaffacinema.smarticket.co.il/en/iframe/event/3916,Regular,2D,,,2026-08-15,2003,,,0,,Jaffa,Jaffa Cinema,599
21:30,Sentimental Value,ערך סנטימנטלי,https://jaffacinema.smarticket.co.il/en/iframe/event/3917,https://jaffacinema.smarticket.co.il/en/iframe/event/3917,Regular,2D,,,2026-08-15,2025,,2025,0,,Jaffa,Jaffa Cinema,599
20:00,Pierrot le fou,פיירו המשוגע,https://jaffacinema.smarticket.co.il/en/iframe/event/3935,https://jaffacinema.smarticket.co.il/en/iframe/event/3935,Regular,2D,,,2026-08-16,1965,,1965,0,,Jaffa,Jaffa Cinema,599
21:30,(La haine - (,השנאה (Hebrew subs),https://jaffacinema.smarticket.co.il/en/iframe/event/3939,https://jaffacinema.smarticket.co.il/en/iframe/event/3939,Regular,2D,,,2026-08-16,1995,,,0,,Jaffa,Jaffa Cinema,599
19:00,Zabriskie Point,נקודת זבריצקי,https://jaffacinema.smarticket.co.il/en/iframe/event/3945,https://jaffacinema.smarticket.co.il/en/iframe/event/3945,Regular,2D,,,2026-08-17,1970,,,0,,Jaffa,Jaffa Cinema,599
20:00,Mid90s,שנות התשעים,https://jaffacinema.smarticket.co.il/en/iframe/event/3937,https://jaffacinema.smarticket.co.il/en/iframe/event/3937,Regular,2D,,,2026-08-17,2018,,,0,,Jaffa,Jaffa Cinema,599
21:30,Bar 51,בר 51 – מחווה לאלון אבוטבול,https://jaffacinema.smarticket.co.il/en/iframe/event/3938,https://jaffacinema.smarticket.co.il/en/iframe/event/3938,Regular,2D,,,2026-08-17,1986,,,0,,Jaffa,Jaffa Cinema,599
20:00,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,ד״ר סטריינג׳לאב,https://jaffacinema.smarticket.co.il/en/iframe/event/3942,https://jaffacinema.smarticket.co.il/en/iframe/event/3942,Regular,2D,,,2026-08-18,1964,,,0,,Jaffa,Jaffa Cinema,599
19:00,Shalom - DOC AVIV 2026,׳הכל בסדר׳ + ׳שלום׳ – דוק אביב 2026,https://jaffacinema.smarticket.co.il/en/iframe/event/3907,https://jaffacinema.smarticket.co.il/en/iframe/event/3907,Regular,2D,,,2026-08-19,2026,,2026,0,,Jaffa,Jaffa Cinema,599
19:00,The Swimming Pool,הבריכה,https://jaffacinema.smarticket.co.il/en/iframe/event/3940,https://jaffacinema.smarticket.co.il/en/iframe/event/3940,Regular,2D,,,2026-08-22,1969,,,0,,Jaffa,Jaffa Cinema,599
20:00,Clueless,קלולס,https://jaffacinema.smarticket.co.il/en/iframe/event/3941,https://jaffacinema.smarticket.co.il/en/iframe/event/3941,Regular,2D,,,2026-08-22,1996,,,0,,Jaffa,Jaffa Cinema,599
