- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 601
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-14T01:39:14.314233+00:00
Finished (UTC): 2026-08-14T01:46:24.480967+00:00
Duration Seconds: 430.1667
Generated At (UTC): 2026-08-14T01:46:24.481116+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 127
- merged: 100

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 100
- group_filter|dropped|skip_token: 4
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 19
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 69
- tmdb_choice|mapped|tmdb_fix_id_match: 8
- tmdb_choice|mapped|tmdb_fix_override: 8
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 6
- write|mapped|upserted: 8

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=stich head | status=dropped | reason=no_candidates | rep_title=stich head | rows=174 | parsed_year=2023 | candidates=0 | chosen_tmdb= | path=
- key=338 | status=mapped | reason=fallback_first_candidate | rep_title=338 | rows=715 | parsed_year=2026 | candidates=5 | chosen_tmdb=1693984 | path=fallback_first_candidate
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=The Odyssey | rows=965 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=spiderman brand new day | status=mapped | reason=fallback_first_candidate | rep_title=spiderman brand new day | rows=732 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=fallback_first_candidate
- key=one night only | status=mapped | reason=title_first_match | rep_title=one night only | rows=615 | parsed_year=2026 | candidates=20 | chosen_tmdb=1433367 | path=title_first_match
- key=fuze | status=mapped | reason=director_match | rep_title=fuze | rows=368 | parsed_year=2025 | candidates=9 | chosen_tmdb=1242265 | path=director_match
- key=marsupilami | status=mapped | reason=runtime_match | rep_title=marsupilami | rows=382 | parsed_year=2025 | candidates=12 | chosen_tmdb=1145899 | path=runtime_match
- key=spa weekend | status=mapped | reason=title_first_match | rep_title=spa weekend | rows=130 | parsed_year= | candidates=3 | chosen_tmdb=1341138 | path=title_first_match
- key=end of oak street | status=mapped | reason=director_match | rep_title=end of oak street | rows=620 | parsed_year=2026 | candidates=1 | chosen_tmdb=1101383 | path=director_match
- key=ice cream man | status=mapped | reason=title_first_match | rep_title=ice cream man | rows=275 | parsed_year=2026 | candidates=8 | chosen_tmdb=1477712 | path=title_first_match
- key=bitter christmas | status=mapped | reason=title_first_match | rep_title=bitter christmas | rows=346 | parsed_year=2026 | candidates=1 | chosen_tmdb=1088548 | path=title_first_match
- key=valley of shadows | status=mapped | reason=director_match | rep_title=valley of shadows | rows=229 | parsed_year=2023 | candidates=6 | chosen_tmdb=1145857 | path=director_match
- key=minions monsters | status=mapped | reason=tmdb_fix_id_match | rep_title=minions monsters | rows=427 | parsed_year=2026 | candidates=2 | chosen_tmdb=1315772 | path=tmdb_fix_id_match
- key=damned if you do damned if you dont | status=mapped | reason=title_first_match | rep_title=damned if you do damned if you dont | rows=167 | parsed_year=2025 | candidates=1 | chosen_tmdb=1520507 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=272 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=paw patrol the dino movie | status=mapped | reason=title_first_match | rep_title=paw patrol the dino movie | rows=487 | parsed_year=2026 | candidates=1 | chosen_tmdb=1185806 | path=title_first_match
