showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
11:00,TINĀ,טינה,https://www.haifacin.co.il/BuyTickets.php?event=27696,https://www.haifacin.co.il/BuyTickets.php?event=27696,Regular,2D,,,2026-08-15,2024,,,,,Haifa,Haifa Cinematheque,602
17:00,MOSHE MIZRAHI - CLIMBING THE MOUNTAIN,משה מזרחי - לטפס על ההר,https://www.haifacin.co.il/BuyTickets.php?event=27698,https://www.haifacin.co.il/BuyTickets.php?event=27698,Regular,2D,,,2026-08-15,2026,,,,,Haifa,Haifa Cinematheque,602
19:00,HOMO SAPIENS,סיפורים קרועים,https://www.haifacin.co.il/BuyTickets.php?event=27699,https://www.haifacin.co.il/BuyTickets.php?event=27699,Regular,2D,,,2026-08-15,2025,,,,,Haifa,Haifa Cinematheque,602
18:00,JURASSIC PARK,פארק היורה,https://www.haifacin.co.il/BuyTickets.php?event=27700,https://www.haifacin.co.il/BuyTickets.php?event=27700,Regular,2D,,,2026-08-16,1993,,,,,Haifa,Haifa Cinematheque,602
20:30,BROKEN EMBRACES,חיבוקים שבורים,https://www.haifacin.co.il/BuyTickets.php?event=27756,https://www.haifacin.co.il/BuyTickets.php?event=27756,Regular,2D,,,2026-08-16,2009,,,,,Haifa,Haifa Cinematheque,602
18:15,,פיקאסו הצעיר,https://www.haifacin.co.il/BuyTickets.php?event=27701,https://www.haifacin.co.il/BuyTickets.php?event=27701,Regular,2D,,,2026-08-17,2019,,,,,Haifa,Haifa Cinematheque,602
20:00,TUNER,המכוון,https://www.haifacin.co.il/BuyTickets.php?event=27694,https://www.haifacin.co.il/BuyTickets.php?event=27694,Regular,2D,,,2026-08-17,2026,,,,,Haifa,Haifa Cinematheque,602
18:30,DO NOT DISTURB,המוטל,https://www.haifacin.co.il/BuyTickets.php?event=27702,https://www.haifacin.co.il/BuyTickets.php?event=27702,Regular,2D,,,2026-08-18,2026,,,,,Haifa,Haifa Cinematheque,602
17:30,CLOSE ENCOUNTERS OF THE THIRD KIND,מפגשים מהסוג השלישי,https://www.haifacin.co.il/BuyTickets.php?event=27703,https://www.haifacin.co.il/BuyTickets.php?event=27703,Regular,2D,,,2026-08-19,1977,,,,,Haifa,Haifa Cinematheque,602
20:00,PAIN AND GLORY,כאב ותהילה,https://www.haifacin.co.il/BuyTickets.php?event=27757,https://www.haifacin.co.il/BuyTickets.php?event=27757,Regular,2D,,,2026-08-19,2019,,,,,Haifa,Haifa Cinematheque,602
18:15,PER TE,בשבילך,https://www.haifacin.co.il/BuyTickets.php?event=27704,https://www.haifacin.co.il/BuyTickets.php?event=27704,Regular,2D,,,2026-08-20,2025,,,,,Haifa,Haifa Cinematheque,602
20:15,LADY NAZCA,ליידי נסקה,https://www.haifacin.co.il/BuyTickets.php?event=27705,https://www.haifacin.co.il/BuyTickets.php?event=27705,Regular,2D,,,2026-08-20,2025,,,,,Haifa,Haifa Cinematheque,602
17:00,NO CAKES FROM THE HOMEFRONT,תחתונים וגופיות,https://www.haifacin.co.il/BuyTickets.php?event=27706,https://www.haifacin.co.il/BuyTickets.php?event=27706,Regular,2D,,,2026-08-21,2025,,,,,Haifa,Haifa Cinematheque,602
19:00,LOVE STREAMS,נחשולי אהבה,https://www.haifacin.co.il/BuyTickets.php?event=27707,https://www.haifacin.co.il/BuyTickets.php?event=27707,Regular,2D,,,2026-08-21,1983,,,,,Haifa,Haifa Cinematheque,602
11:00,A MOSQUITO IN THE EAR,יתוש באוזן,https://www.haifacin.co.il/BuyTickets.php?event=27708,https://www.haifacin.co.il/BuyTickets.php?event=27708,Regular,2D,,,2026-08-22,2026,,,,,Haifa,Haifa Cinematheque,602
17:00,RAPHAEL REVEALED,לראות את רפאל,https://www.haifacin.co.il/BuyTickets.php?event=27710,https://www.haifacin.co.il/BuyTickets.php?event=27710,Regular,2D,,,2026-08-22,2020,,,,,Haifa,Haifa Cinematheque,602
19:00,HOW TO MAKE A KILLING,עשיר רצח,https://www.haifacin.co.il/BuyTickets.php?event=27714,https://www.haifacin.co.il/BuyTickets.php?event=27714,Regular,2D,,,2026-08-22,2026,,,,,Haifa,Haifa Cinematheque,602
18:30,DISCLOSURE DAY,התגלית,https://www.haifacin.co.il/BuyTickets.php?event=27692,https://www.haifacin.co.il/BuyTickets.php?event=27692,Regular,2D,,,2026-08-23,2026,,,,,Haifa,Haifa Cinematheque,602
18:00,TINĀ,טינה,https://www.haifacin.co.il/BuyTickets.php?event=27697,https://www.haifacin.co.il/BuyTickets.php?event=27697,Regular,2D,,,2026-08-24,2024,,,,,Haifa,Haifa Cinematheque,602
20:15,HOW TO MAKE A KILLING,עשיר רצח,https://www.haifacin.co.il/BuyTickets.php?event=27713,https://www.haifacin.co.il/BuyTickets.php?event=27713,Regular,2D,,,2026-08-24,2026,,,,,Haifa,Haifa Cinematheque,602
18:30,THE WOMAN WHO DIDN'T KNOW HOW TO LOVE,האישה שלא ידעה לאהוב,https://www.haifacin.co.il/BuyTickets.php?event=27715,https://www.haifacin.co.il/BuyTickets.php?event=27715,Regular,2D,,,2026-08-25,2026,,,,,Haifa,Haifa Cinematheque,602
18:00,SLEEPING WITH A TIGER,לישון עם נמר,https://www.haifacin.co.il/BuyTickets.php?event=27715,https://www.haifacin.co.il/BuyTickets.php?event=27715,Regular,2D,,,2026-08-26,2024,,,,,Haifa,Haifa Cinematheque,602
20:00,OPENING NIGHT,ליל בכורה,https://www.haifacin.co.il/BuyTickets.php?event=27717,https://www.haifacin.co.il/BuyTickets.php?event=27717,Regular,2D,,,2026-08-26,1977,,,,,Haifa,Haifa Cinematheque,602
18:30,A MOSQUITO IN THE EAR,יתוש באוזן,https://www.haifacin.co.il/BuyTickets.php?event=27709,https://www.haifacin.co.il/BuyTickets.php?event=27709,Regular,2D,,,2026-08-27,2026,,,,,Haifa,Haifa Cinematheque,602
