showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
17:30,The Odyssey,האודיסאה,https://jer-cin.pres.global/order/42590?lang=en,https://jer-cin.pres.global/order/42590?lang=he,Regular,2D,,,2026-08-16,,,Christopher Nolan,172,,Jerusalem,Jerusalem Cinematheque,603
18:00,Cuz You’re Ugly,כי את מכוערת,https://jer-cin.pres.global/order/42596?lang=en,https://jer-cin.pres.global/order/42596?lang=he,Regular,2D,,,2026-08-16,,,Sharon Engelhart,83,,Jerusalem,Jerusalem Cinematheque,603
18:00,The Princess Bride,הנסיכה הקסומה,https://jer-cin.pres.global/order/42465?lang=en,https://jer-cin.pres.global/order/42465?lang=he,Regular,2D,,,2026-08-16,,,Rob Reiner,101,,Jerusalem,Jerusalem Cinematheque,603
20:00,Dream High,תיכון מגשימים,https://jer-cin.pres.global/order/42610?lang=en,https://jer-cin.pres.global/order/42610?lang=he,Regular,2D,,,2026-08-16,,,Amit Ulman,100,,Jerusalem,Jerusalem Cinematheque,603
20:30,Eternal Sunshine of the Spotless Mind,שמש נצחית בראש צלול,https://jer-cin.pres.global/order/42466?lang=en,https://jer-cin.pres.global/order/42466?lang=he,Regular,2D,,,2026-08-16,,,Michel Gondry,108,,Jerusalem,Jerusalem Cinematheque,603
20:45,Sentimental Value,ערך סנטימנטלי,https://jer-cin.pres.global/order/42606?lang=en,https://jer-cin.pres.global/order/42606?lang=he,Regular,2D,,,2026-08-16,,,Joachim Trier,132,,Jerusalem,Jerusalem Cinematheque,603
17:00,Mary Poppins,מרי פופינס,https://jer-cin.pres.global/order/42601?lang=en,https://jer-cin.pres.global/order/42601?lang=he,Regular,2D,,,2026-08-17,,,Robert Stevenson,140,,Jerusalem,Jerusalem Cinematheque,603
18:00,La La Land,לה לה לנד,https://jer-cin.pres.global/order/42598?lang=en,https://jer-cin.pres.global/order/42598?lang=he,Regular,2D,,,2026-08-17,,,Damien Chazelle,128,,Jerusalem,Jerusalem Cinematheque,603
18:00,Come Drink with Me,בואו לשתות איתי,https://jer-cin.pres.global/order/42467?lang=en,https://jer-cin.pres.global/order/42467?lang=he,Regular,2D,,,2026-08-17,,,King Hu,95,,Jerusalem,Jerusalem Cinematheque,603
18:00,In Bed,כאילו אין מחר,https://jer-cin.pres.global/order/42470?lang=en,https://jer-cin.pres.global/order/42470?lang=he,Regular,2D,,,2026-08-17,,,Nitzan Gilady,85,,Jerusalem,Jerusalem Cinematheque,603
20:00,The Odyssey,האודיסאה,https://jer-cin.pres.global/order/42591?lang=en,https://jer-cin.pres.global/order/42591?lang=he,Regular,2D,,,2026-08-17,,,Christopher Nolan,172,,Jerusalem,Jerusalem Cinematheque,603
20:00,West Side Story,סיפור הפרברים,https://jer-cin.pres.global/order/42468?lang=en,https://jer-cin.pres.global/order/42468?lang=he,Regular,2D,,,2026-08-17,,,"Robert Wise, Jerome Robbins",155,,Jerusalem,Jerusalem Cinematheque,603
20:00,The City of No Limits,בעיר ללא גבולות,https://jer-cin.pres.global/order/42469?lang=en,https://jer-cin.pres.global/order/42469?lang=he,Regular,2D,,,2026-08-17,,,Antonio Hernandez,118,,Jerusalem,Jerusalem Cinematheque,603
20:30,Sentimental Value,ערך סנטימנטלי,https://jer-cin.pres.global/order/42607?lang=en,https://jer-cin.pres.global/order/42607?lang=he,Regular,2D,,,2026-08-17,,,Joachim Trier,132,,Jerusalem,Jerusalem Cinematheque,603
11:00,The Sheep Detectives,בלשי צמרת,https://jer-cin.pres.global/order/42556?lang=en,https://jer-cin.pres.global/order/42556?lang=he,Regular,2D,,,2026-08-18,,,Kyle Balda,109,,Jerusalem,Jerusalem Cinematheque,603
17:00,The Odyssey,האודיסאה,https://jer-cin.pres.global/order/42592?lang=en,https://jer-cin.pres.global/order/42592?lang=he,Regular,2D,,,2026-08-18,,,Christopher Nolan,172,,Jerusalem,Jerusalem Cinematheque,603
17:00,The Sheep Detectives,בלשי צמרת,https://jer-cin.pres.global/order/42471?lang=en,https://jer-cin.pres.global/order/42471?lang=he,Regular,2D,,,2026-08-18,,,Kyle Balda,109,,Jerusalem,Jerusalem Cinematheque,603
18:00,Singin’ in the Rain,שיר אשיר בגשם,https://jer-cin.pres.global/order/42472?lang=en,https://jer-cin.pres.global/order/42472?lang=he,Regular,2D,,,2026-08-18,,,"Gene Kelly, Stanley Donen",103,,Jerusalem,Jerusalem Cinematheque,603
20:30,La La Land,לה לה לנד,https://jer-cin.pres.global/order/42599?lang=en,https://jer-cin.pres.global/order/42599?lang=he,Regular,2D,,,2026-08-18,,,Damien Chazelle,128,,Jerusalem,Jerusalem Cinematheque,603
