- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:40:34.071448+00:00
Finished (UTC): 2026-09-04T11:50:08.770794+00:00
Duration Seconds: 574.6993
Generated At (UTC): 2026-09-04T11:50:08.771107+00:00

SUMMARY COUNTS
- dropped: 4
- mapped: 170
- merged: 162

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 162
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 5
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 143
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 2
- tmdb_search|dropped|no_candidates: 4
- write|mapped|marked_added: 3
- write|mapped|upserted: 4

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=bound | status=mapped | reason=title_first_match | rep_title=bound | rows=1 | parsed_year=1996 | candidates=20 | chosen_tmdb=9303 | path=title_first_match
- key=legally blonde | status=mapped | reason=title_first_match | rep_title=legally blonde | rows=1 | parsed_year=2001 | candidates=5 | chosen_tmdb=8835 | path=title_first_match
- key=what marielle knows | status=mapped | reason=tmdb_fix_id_match | rep_title=what marielle knows | rows=19 | parsed_year=2025 | candidates=1 | chosen_tmdb=1416893 | path=tmdb_fix_id_match
- key=weekend in the galilee | status=mapped | reason=title_first_match | rep_title=weekend in the galilee | rows=1 | parsed_year=2008 | candidates=1 | chosen_tmdb=758561 | path=title_first_match
- key=and her body was never found | status=mapped | reason=title_first_match | rep_title=and her body was never found | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1617364 | path=title_first_match
- key=mulholland drive | status=mapped | reason=title_first_match | rep_title=mulholland drive | rows=1 | parsed_year=2001 | candidates=6 | chosen_tmdb=1018 | path=title_first_match
- key=homo argentum | status=mapped | reason=title_first_match | rep_title=homo argentum | rows=6 | parsed_year=2025 | candidates=2 | chosen_tmdb=1471345 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=14 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=where to | status=mapped | reason=title_first_match | rep_title=where to | rows=2 | parsed_year=2026 | candidates=20 | chosen_tmdb=1619818 | path=title_first_match
- key=honey i shrunk the kids | status=mapped | reason=title_first_match | rep_title=honey i shrunk the kids | rows=1 | parsed_year=1989 | candidates=3 | chosen_tmdb=9354 | path=title_first_match
- key=woman in white | status=mapped | reason=title_first_match | rep_title=the woman in white | rows=4 | parsed_year=2026 | candidates=10 | chosen_tmdb=1685075 | path=title_first_match
- key=lips | status=mapped | reason=title_first_match | rep_title=lips | rows=3 | parsed_year=2026 | candidates=20 | chosen_tmdb=1685115 | path=title_first_match
- key=torso | status=mapped | reason=title_first_match | rep_title=torso | rows=1 | parsed_year=1973 | candidates=20 | chosen_tmdb=31624 | path=title_first_match
- key=missing part | status=mapped | reason=title_first_match | rep_title=a missing part | rows=6 | parsed_year=2024 | candidates=4 | chosen_tmdb=1021643 | path=title_first_match
- key=amelie | status=mapped | reason=title_first_match | rep_title=amelie | rows=2 | parsed_year=2001 | candidates=20 | chosen_tmdb=194 | path=title_first_match
- key=inception | status=mapped | reason=title_first_match | rep_title=inception | rows=2 | parsed_year=2010 | candidates=12 | chosen_tmdb=27205 | path=title_first_match
- key=valley of shadows | status=mapped | reason=title_first_match | rep_title=valley of shadows | rows=5 | parsed_year=2024 | candidates=6 | chosen_tmdb=1145857 | path=title_first_match
- key=per te | status=mapped | reason=title_first_match | rep_title=per te | rows=1 | parsed_year=2026 | candidates=20 | chosen_tmdb=1729544 | path=title_first_match
- key=damned if you do damned if you dont | status=mapped | reason=title_first_match | rep_title=damned if you do damned if you dont | rows=5 | parsed_year=2025 | candidates=1 | chosen_tmdb=1520507 | path=title_first_match
- key=searching for haifa the story of shimon holly | status=mapped | reason=fallback_first_candidate | rep_title=searching for haifa the story of shimon holly | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1685116 | path=fallback_first_candidate
- key=good morning gaza | status=mapped | reason=title_first_match | rep_title=good morning gaza | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1715484 | path=title_first_match
- key=muriels wedding | status=mapped | reason=title_first_match | rep_title=muriels wedding | rows=1 | parsed_year=1994 | candidates=1 | chosen_tmdb=236 | path=title_first_match
- key=possession | status=mapped | reason=title_first_match | rep_title=possession | rows=1 | parsed_year=1981 | candidates=20 | chosen_tmdb=21484 | path=title_first_match
- key=tootsie | status=mapped | reason=title_first_match | rep_title=tootsie | rows=1 | parsed_year=1982 | candidates=12 | chosen_tmdb=9576 | path=title_first_match
- key=petes dragon | status=mapped | reason=title_first_match | rep_title=petes dragon | rows=1 | parsed_year=1977 | candidates=2 | chosen_tmdb=11114 | path=title_first_match
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=The Odyssey | rows=4 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=cinderella | status=mapped | reason=title_first_match | rep_title=cinderella | rows=2 | parsed_year=1950 | candidates=20 | chosen_tmdb=11224 | path=title_first_match
- key=little mermaid | status=mapped | reason=title_first_match | rep_title=the little mermaid | rows=1 | parsed_year=1989 | candidates=20 | chosen_tmdb=10144 | path=title_first_match
- key=cuz youre ugly | status=mapped | reason=fallback_first_candidate | rep_title=cuz youre ugly | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1177748 | path=fallback_first_candidate
- key=shalom | status=mapped | reason=title_first_match | rep_title=shalom | rows=3 | parsed_year=2026 | candidates=20 | chosen_tmdb=1694083 | path=title_first_match
- key=robin hood | status=mapped | reason=title_first_match | rep_title=robin hood | rows=2 | parsed_year=1973 | candidates=20 | chosen_tmdb=11886 | path=title_first_match
- key=gabbeh | status=mapped | reason=title_first_match | rep_title=gabbeh | rows=2 | parsed_year=1996 | candidates=1 | chosen_tmdb=43771 | path=title_first_match
- key=waves | status=mapped | reason=title_first_match | rep_title=waves | rows=2 | parsed_year=2024 | candidates=24 | chosen_tmdb=1251621 | path=title_first_match
- key=blue velvet | status=mapped | reason=title_first_match | rep_title=blue velvet | rows=1 | parsed_year=1986 | candidates=8 | chosen_tmdb=793 | path=title_first_match
- key=mon oncle | status=mapped | reason=title_first_match | rep_title=mon oncle | rows=1 | parsed_year=1958 | candidates=20 | chosen_tmdb=427 | path=title_first_match
- key=gruffalo | status=mapped | reason=title_first_match | rep_title=the gruffalo | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=28118 | path=title_first_match
- key=find me ok | status=mapped | reason=runtime_match | rep_title=find me ok | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1715482 | path=runtime_match
- key=sunny dancer | status=mapped | reason=title_first_match | rep_title=sunny dancer | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1280015 | path=title_first_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=1 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=women | status=mapped | reason=runtime_match | rep_title=women | rows=1 | parsed_year=1996 | candidates=24 | chosen_tmdb=334418 | path=runtime_match
- key=landslide | status=mapped | reason=title_first_match | rep_title=landslide | rows=3 | parsed_year=2026 | candidates=20 | chosen_tmdb=1653391 | path=title_first_match
- key=mama | status=mapped | reason=tmdb_fix_id_match | rep_title=mama | rows=3 | parsed_year=2025 | candidates=24 | chosen_tmdb=1469464 | path=tmdb_fix_id_match
- key=eiffel | status=mapped | reason=title_first_match | rep_title=eiffel | rows=2 | parsed_year=2021 | candidates=20 | chosen_tmdb=655082 | path=title_first_match
- key=tina | status=mapped | reason=title_first_match | rep_title=tina | rows=1 | parsed_year=2025 | candidates=20 | chosen_tmdb=1262426 | path=title_first_match
- key=orphan | status=mapped | reason=title_first_match | rep_title=orphan | rows=1 | parsed_year=2025 | candidates=20 | chosen_tmdb=803208 | path=title_first_match
- key=great arch | status=mapped | reason=title_first_match | rep_title=the great arch | rows=2 | parsed_year=2025 | candidates=6 | chosen_tmdb=1290424 | path=title_first_match
- key=adventures of picasso | status=mapped | reason=title_first_match | rep_title=the adventures of picasso | rows=1 | parsed_year=1978 | candidates=1 | chosen_tmdb=45691 | path=title_first_match
- key=andrei rublev | status=mapped | reason=title_first_match | rep_title=andrei rublev | rows=1 | parsed_year=1966 | candidates=3 | chosen_tmdb=895 | path=title_first_match
- key=belly of an architect | status=mapped | reason=title_first_match | rep_title=the belly of an architect | rows=2 | parsed_year=1987 | candidates=2 | chosen_tmdb=17238 | path=title_first_match
- key=fist of fury | status=mapped | reason=title_first_match | rep_title=fist of fury | rows=1 | parsed_year=1972 | candidates=20 | chosen_tmdb=11713 | path=title_first_match
- key=i want your sex | status=mapped | reason=title_first_match | rep_title=i want your sex | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1288059 | path=title_first_match
- key=alice in wonderland | status=mapped | reason=title_first_match | rep_title=alice in wonderland | rows=1 | parsed_year=1951 | candidates=20 | chosen_tmdb=12092 | path=title_first_match
- key=house in chlouche street | status=dropped | reason=no_candidates | rep_title=the house in chlouche street | rows=1 | parsed_year=1973 | candidates=0 | chosen_tmdb= | path=
- key=no cakes from the homefront | status=mapped | reason=title_first_match | rep_title=no cakes from the homefront | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1550290 | path=title_first_match
- key=stranger than fiction | status=mapped | reason=title_first_match | rep_title=stranger than fiction | rows=1 | parsed_year=2006 | candidates=15 | chosen_tmdb=1262 | path=title_first_match
- key=bram stokers dracula | status=mapped | reason=title_first_match | rep_title=bram stokers dracula | rows=1 | parsed_year=1992 | candidates=11 | chosen_tmdb=6114 | path=title_first_match
- key=new dawn | status=mapped | reason=fallback_first_candidate | rep_title=a new dawn | rows=1 | parsed_year=2025 | candidates=19 | chosen_tmdb=1751168 | path=fallback_first_candidate
- key=36th chamber of shaolin | status=mapped | reason=title_first_match | rep_title=the 36th chamber of shaolin | rows=1 | parsed_year=1978 | candidates=3 | chosen_tmdb=11841 | path=title_first_match
- key=my great big daddy | status=mapped | reason=runtime_match | rep_title=my great big daddy | rows=2 | parsed_year=1993 | candidates=1 | chosen_tmdb=103901 | path=runtime_match
- key=woman who didnt know how to love | status=mapped | reason=title_first_match | rep_title=the woman who didnt know how to love | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1685078 | path=title_first_match
- key=groundhog day | status=mapped | reason=title_first_match | rep_title=groundhog day | rows=1 | parsed_year=1993 | candidates=9 | chosen_tmdb=137 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=3 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=jurassic park | status=mapped | reason=title_first_match | rep_title=jurassic park | rows=4 | parsed_year=1993 | candidates=20 | chosen_tmdb=329 | path=title_first_match
- key=out of love | status=mapped | reason=title_first_match | rep_title=out of love | rows=1 | parsed_year=2025 | candidates=20 | chosen_tmdb=1277882 | path=title_first_match
- key=rufus really unusual fucked up shit | status=dropped | reason=no_candidates | rep_title=rufus really unusual fucked up shit | rows=1 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=epic | status=mapped | reason=title_first_match | rep_title=epic | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=116711 | path=title_first_match
- key=coyote vs acme | status=mapped | reason=title_first_match | rep_title=coyote vs acme | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1204680 | path=title_first_match
- key=i love you rosa | status=mapped | reason=title_first_match | rep_title=i love you rosa | rows=1 | parsed_year=1972 | candidates=3 | chosen_tmdb=140423 | path=title_first_match
- key=vivre sa vie | status=mapped | reason=title_first_match | rep_title=vivre sa vie | rows=1 | parsed_year=1962 | candidates=8 | chosen_tmdb=1626 | path=title_first_match
- key=fountainhead | status=mapped | reason=title_first_match | rep_title=the fountainhead | rows=1 | parsed_year=1949 | candidates=3 | chosen_tmdb=24650 | path=title_first_match
- key=sliding doors | status=mapped | reason=title_first_match | rep_title=sliding doors | rows=1 | parsed_year=1998 | candidates=1 | chosen_tmdb=10215 | path=title_first_match
- key=holding for ground | status=dropped | reason=no_candidates | rep_title=holding for ground | rows=1 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=great beauty | status=mapped | reason=title_first_match | rep_title=the great beauty | rows=1 | parsed_year=2013 | candidates=6 | chosen_tmdb=179144 | path=title_first_match
- key=our loves | status=mapped | reason=title_first_match | rep_title=our loves | rows=1 | parsed_year=2026 | candidates=3 | chosen_tmdb=1239958 | path=title_first_match
- key=cabinet of dr caligari | status=mapped | reason=runtime_match | rep_title=the cabinet of dr caligari | rows=1 | parsed_year=1919 | candidates=3 | chosen_tmdb=234 | path=runtime_match
- key=diamonds | status=mapped | reason=title_first_match | rep_title=diamonds | rows=1 | parsed_year=2024 | candidates=20 | chosen_tmdb=1299046 | path=title_first_match
- key=brutalist | status=mapped | reason=title_first_match | rep_title=the brutalist | rows=2 | parsed_year=2024 | candidates=3 | chosen_tmdb=549509 | path=title_first_match
- key=daughters daughters | status=mapped | reason=fallback_first_candidate | rep_title=daughters daughters | rows=1 | parsed_year=1973 | candidates=20 | chosen_tmdb=1509164 | path=fallback_first_candidate
