- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:27:34.272481+00:00
Finished (UTC): 2026-09-04T11:29:12.292232+00:00
Duration Seconds: 98.0198
Generated At (UTC): 2026-09-04T11:29:12.292311+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 70
- merged: 22
- skipped: 143

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 22
- enrich|mapped|enriched: 22
- row_filter|skipped|already_added: 134
- row_filter|skipped|past_release_date: 7
- row_filter|skipped|skip_token: 2
- tmdb_choice|mapped|fallback_first_candidate: 18
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 22
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

COMING SOONS DETAILS
- [mapped] write | title= | key=allSoons | reason=marked_added | tmdb=
- [mapped] write | title= | key=finalSoons | reason=upserted | tmdb=
- [skipped] row_filter | title=10 | key=850b3af2-32ee-432c-bbdf-3ccefaa5fd6b | reason=already_added | tmdb=
- [skipped] row_filter | title=12 hours in october | key=8df37696-2648-4cf0-af20-bee24d14e829 | reason=already_added | tmdb=
- [skipped] row_filter | title=2 | key=cfde40e9-7c45-47c8-9362-dcd4e1b7df44 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=2 | key=d8094253-98c0-4999-ac0b-f96d780ec797 | reason=skip_token | tmdb=
- [skipped] row_filter | title=3 | key=5e90841f-7438-4587-b9c7-abbcdfc838be | reason=skip_token | tmdb=
- [skipped] row_filter | title=338 | key=1b2f77f8-9d98-41bd-bbf7-38bedc2dd305 | reason=already_added | tmdb=
- [skipped] row_filter | title=50 | key=81bdf4c3-b033-4742-b0de-cba68169b504 | reason=already_added | tmdb=
- [skipped] row_filter | title=a brief affair | key=1f71f64a-6424-4a0a-906e-63ed7bad0080 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=a few good men | key=2a2027d2-f8df-4d54-a7f7-7e32daa2123a | reason=already_added | tmdb=
- [merged] dedupe | title=ali g who iz i | key=8f861d12-2c76-4dcc-bc7e-bf436be93d56 | reason=deduped_into_tmdb | tmdb=1727734
- [mapped] enrich | title=Ali G: Who Iz I? | key=8f861d12-2c76-4dcc-bc7e-bf436be93d56 | reason=enriched | tmdb=1727734
- [mapped] tmdb_choice | title=ali g who iz i | key=8f861d12-2c76-4dcc-bc7e-bf436be93d56 | reason=title_first_match | tmdb=1727734 x2
- [skipped] row_filter | title=anandi gopal | key=72c10e23-993e-4e45-af56-c207f459f8c6 | reason=already_added | tmdb=
