showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
15:00,Minions & Monsters,מיניונים ומפלצות,https://hcinema.smarticket.co.il/show/2572,https://hcinema.smarticket.co.il/show/2572,Regular,2D,,Hebrew,2026-09-04,2026,,,,,Herziliya,Herziliya Cinematheque,622
16:00,What Marielle Knows,מה שמריאל יודעת,https://hcinema.smarticket.co.il/show/2717,https://hcinema.smarticket.co.il/show/2717,Regular,2D,,,2026-09-04,2025,,,,,Herziliya,Herziliya Cinematheque,622
17:00,Coyote vs. Acme,לוני טונס מציגים: קיוטי נגד אקמי,https://hcinema.smarticket.co.il/show/2683,https://hcinema.smarticket.co.il/show/2683,Regular,2D,,Hebrew,2026-09-04,2026,,,,,Herziliya,Herziliya Cinematheque,622
18:15,Homo sapiens?,סיפורים קרועים,https://hcinema.smarticket.co.il/show/2719,https://hcinema.smarticket.co.il/show/2719,Regular,2D,,,2026-09-04,2025,,,,,Herziliya,Herziliya Cinematheque,622
19:00,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-04,2026,,,,,Herziliya,Herziliya Cinematheque,622
21:00,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2723,https://hcinema.smarticket.co.il/show/2723,Regular,2D,,,2026-09-04,2026,,,,,Herziliya,Herziliya Cinematheque,622
21:15,What Marielle Knows,מה שמריאל יודעת,https://hcinema.smarticket.co.il/show/2717,https://hcinema.smarticket.co.il/show/2717,Regular,2D,,,2026-09-04,2025,,,,,Herziliya,Herziliya Cinematheque,622
11:00,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-05,2026,,,,,Herziliya,Herziliya Cinematheque,622
11:15,Toy Story 5,צעצוע של סיפור 5,https://hcinema.smarticket.co.il/show/2458,https://hcinema.smarticket.co.il/show/2458,Regular,2D,,Hebrew,2026-09-05,2026,,,,,Herziliya,Herziliya Cinematheque,622
11:30,What Marielle Knows,מה שמריאל יודעת,https://hcinema.smarticket.co.il/show/2717,https://hcinema.smarticket.co.il/show/2717,Regular,2D,,,2026-09-05,2025,,,,,Herziliya,Herziliya Cinematheque,622
14:00,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-05,2026,,,,,Herziliya,Herziliya Cinematheque,622
