showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
11:00,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
11:15,Tad and the Magic Lamp,טד החוקר ומנורת הקסמים,https://hcinema.smarticket.co.il/show/2730,https://hcinema.smarticket.co.il/show/2730,Regular,2D,,Hebrew,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
11:30,Sentimental Value,ערך סנטימנטלי,https://hcinema.smarticket.co.il/show/2460,https://hcinema.smarticket.co.il/show/2460,Regular,2D,,,2026-09-12,2025,,,,,Herziliya,Herziliya Cinematheque,624
14:00,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
14:15,Tad and the Magic Lamp,טד החוקר ומנורת הקסמים,https://hcinema.smarticket.co.il/show/2730,https://hcinema.smarticket.co.il/show/2730,Regular,2D,,Hebrew,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
14:30,Mama,מאמא,https://hcinema.smarticket.co.il/show/2593,https://hcinema.smarticket.co.il/show/2593,Regular,2D,,,2026-09-12,2025,,,,,Herziliya,Herziliya Cinematheque,624
17:00,Van Gogh,ואן גוך,https://hcinema.smarticket.co.il/show/2665,https://hcinema.smarticket.co.il/show/2665,Regular,2D,,,2026-09-12,1991,,,,,Herziliya,Herziliya Cinematheque,624
17:15,Tad and the Magic Lamp,טד החוקר ומנורת הקסמים,https://hcinema.smarticket.co.il/show/2730,https://hcinema.smarticket.co.il/show/2730,Regular,2D,,Hebrew,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
17:30,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
20:00,All That Heaven Allows,כל שהשמיים מרשים,https://hcinema.smarticket.co.il/show/2196,https://hcinema.smarticket.co.il/show/2196,Regular,2D,,,2026-09-12,1955,,,,,Herziliya,Herziliya Cinematheque,624
20:30,Tell Me Everything,עצמאות,https://hcinema.smarticket.co.il/show/2722,https://hcinema.smarticket.co.il/show/2722,Regular,2D,,,2026-09-12,2026,,,,,Herziliya,Herziliya Cinematheque,624
