- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 625
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-16T15:48:24.954376+00:00
Finished (UTC): 2026-09-16T15:56:53.460693+00:00
Duration Seconds: 508.5063
Generated At (UTC): 2026-09-16T15:56:53.460858+00:00

SUMMARY COUNTS
- dropped: 20
- mapped: 158
- merged: 137

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 137
- group_filter|dropped|skip_token: 5
- tmdb_choice|mapped|alias_remap: 1
- tmdb_choice|mapped|fallback_first_candidate: 26
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 93
- tmdb_choice|mapped|tmdb_fix_id_match: 9
- tmdb_choice|mapped|tmdb_fix_override: 13
- tmdb_search|dropped|no_candidates: 15
- write|mapped|marked_added: 3
- write|mapped|upserted: 5

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=mutiny | status=mapped | reason=title_first_match | rep_title=mutiny | rows=68 | parsed_year=2026 | candidates=20 | chosen_tmdb=1288445 | path=title_first_match
- key=tafiti across the desert | status=mapped | reason=title_first_match | rep_title=tafiti across the desert | rows=18 | parsed_year=2025 | candidates=1 | chosen_tmdb=1437198 | path=title_first_match
- key=practical magic 2 | status=mapped | reason=title_first_match | rep_title=practical magic 2 | rows=84 | parsed_year=2026 | candidates=1 | chosen_tmdb=1302904 | path=title_first_match
- key=tmdb_fix:1568027 | status=mapped | reason=tmdb_fix_override | rep_title=קופה ראשית: הסרט | rows=96 | parsed_year=2026 | candidates=0 | chosen_tmdb=1568027 | path=tmdb_fix_override
- key=ghostbusters | status=mapped | reason=title_first_match | rep_title=ghostbusters | rows=10 | parsed_year=1984 | candidates=20 | chosen_tmdb=620 | path=title_first_match
- key=tell me everything | status=mapped | reason=title_first_match | rep_title=tell me everything | rows=351 | parsed_year=2026 | candidates=5 | chosen_tmdb=1404400 | path=title_first_match
- key=resident evil | status=mapped | reason=title_first_match | rep_title=resident evil | rows=235 | parsed_year=2026 | candidates=20 | chosen_tmdb=1423191 | path=title_first_match
- key=338 | status=mapped | reason=fallback_first_candidate | rep_title=338 | rows=89 | parsed_year=2026 | candidates=5 | chosen_tmdb=1693984 | path=fallback_first_candidate
- key=matchmaking 3 | status=mapped | reason=title_first_match | rep_title=matchmaking 3 | rows=126 | parsed_year=2026 | candidates=1 | chosen_tmdb=1620123 | path=title_first_match
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=271 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=tmdb_fix:1108427 | status=mapped | reason=tmdb_fix_override | rep_title=Moana (Live Action) | rows=26 | parsed_year=2026 | candidates=0 | chosen_tmdb=1108427 | path=tmdb_fix_override
- key=coyote vs acme | status=mapped | reason=title_first_match | rep_title=coyote vs acme | rows=125 | parsed_year=2026 | candidates=1 | chosen_tmdb=1204680 | path=title_first_match
- key=runner | status=mapped | reason=fallback_first_candidate | rep_title=runner | rows=219 | parsed_year=2026 | candidates=20 | chosen_tmdb=1386315 | path=fallback_first_candidate
- key=avengers endgame encore | status=mapped | reason=fallback_first_candidate | rep_title=avengers endgame encore | rows=73 | parsed_year=2019 | candidates=1 | chosen_tmdb=299534 | path=fallback_first_candidate
- key=tadeo jones and the magic lamp | status=mapped | reason=runtime_match | rep_title=tadeo jones and the magic lamp | rows=99 | parsed_year=2026 | candidates=1 | chosen_tmdb=1187326 | path=runtime_match
- key=at work | status=mapped | reason=runtime_match | rep_title=at work | rows=53 | parsed_year=2025 | candidates=20 | chosen_tmdb=1430820 | path=runtime_match
- key=luckiest man in america | status=mapped | reason=title_first_match | rep_title=the luckiest man in america | rows=14 | parsed_year=2025 | candidates=1 | chosen_tmdb=1288070 | path=title_first_match
- key=desert child | status=mapped | reason=title_first_match | rep_title=the desert child | rows=65 | parsed_year=2026 | candidates=5 | chosen_tmdb=1266800 | path=title_first_match
- key=fall 2 | status=mapped | reason=runtime_match | rep_title=fall 2 | rows=100 | parsed_year=2026 | candidates=20 | chosen_tmdb=1101412 | path=runtime_match
- key=sunny dancer | status=mapped | reason=title_first_match | rep_title=sunny dancer | rows=22 | parsed_year=2026 | candidates=1 | chosen_tmdb=1280015 | path=title_first_match
- key=few good men | status=mapped | reason=title_first_match | rep_title=a few good men | rows=19 | parsed_year=1992 | candidates=4 | chosen_tmdb=881 | path=title_first_match
- key=ice cream man | status=mapped | reason=title_first_match | rep_title=ice cream man | rows=9 | parsed_year=2026 | candidates=8 | chosen_tmdb=1477712 | path=title_first_match
- key=mad max 2 the road warrior | status=mapped | reason=runtime_match | rep_title=mad max 2 the road warrior | rows=9 | parsed_year=1981 | candidates=1 | chosen_tmdb=8810 | path=runtime_match
- key=independence day | status=mapped | reason=title_first_match | rep_title=independence day | rows=27 | parsed_year=1996 | candidates=20 | chosen_tmdb=602 | path=title_first_match
- key=minions monsters | status=mapped | reason=tmdb_fix_id_match | rep_title=minions monsters | rows=101 | parsed_year=2026 | candidates=2 | chosen_tmdb=1315772 | path=tmdb_fix_id_match
- key=tmdb_fix:1368337 | status=mapped | reason=tmdb_fix_override | rep_title=The Odyssey | rows=187 | parsed_year=2026 | candidates=0 | chosen_tmdb=1368337 | path=tmdb_fix_override
- key=saltiz | status=mapped | reason=fallback_first_candidate | rep_title=saltiz | rows=60 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=fallback_first_candidate
- key=before we leave tuscany | status=mapped | reason=title_first_match | rep_title=before we leave tuscany | rows=72 | parsed_year=2026 | candidates=1 | chosen_tmdb=1438212 | path=title_first_match
- key=forgotten island | status=mapped | reason=title_first_match | rep_title=forgotten island | rows=96 | parsed_year=2026 | candidates=10 | chosen_tmdb=1465063 | path=title_first_match
- key=paw patrol the dino movie | status=mapped | reason=title_first_match | rep_title=paw patrol the dino movie | rows=137 | parsed_year=2026 | candidates=1 | chosen_tmdb=1185806 | path=title_first_match
- key=dog stars | status=mapped | reason=title_first_match | rep_title=the dog stars | rows=12 | parsed_year=2026 | candidates=1 | chosen_tmdb=1384216 | path=title_first_match
- key=bohemian rhapsody | status=mapped | reason=title_first_match | rep_title=bohemian rhapsody | rows=1 | parsed_year=2018 | candidates=6 | chosen_tmdb=424694 | path=title_first_match
- key=fast and the furious 25th anniversary | status=dropped | reason=no_candidates | rep_title=the fast and the furious 25th anniversary | rows=87 | parsed_year=2001 | candidates=0 | chosen_tmdb= | path=
- key=damned if you do damned if you dont | status=mapped | reason=title_first_match | rep_title=damned if you do damned if you dont | rows=15 | parsed_year=2025 | candidates=1 | chosen_tmdb=1520507 | path=title_first_match
- key=by any means | status=mapped | reason=title_first_match | rep_title=by any means | rows=12 | parsed_year=2026 | candidates=14 | chosen_tmdb=1380417 | path=title_first_match
- key=toy story 5 | status=mapped | reason=tmdb_fix_id_match | rep_title=toy story 5 | rows=45 | parsed_year=2026 | candidates=2 | chosen_tmdb=1084244 | path=tmdb_fix_id_match
- key=uprising | status=mapped | reason=title_first_match | rep_title=the uprising | rows=63 | parsed_year=2026 | candidates=20 | chosen_tmdb=977942 | path=title_first_match
- key=pout pout fish | status=mapped | reason=title_first_match | rep_title=the pout pout fish | rows=84 | parsed_year= | candidates=1 | chosen_tmdb=1146058 | path=title_first_match
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=47 | parsed_year=2026 | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=spinned | status=mapped | reason=title_first_match | rep_title=spinned | rows=70 | parsed_year=2026 | candidates=2 | chosen_tmdb=1709980 | path=title_first_match
- key=spa weekend | status=mapped | reason=title_first_match | rep_title=spa weekend | rows=5 | parsed_year=2026 | candidates=3 | chosen_tmdb=1341138 | path=title_first_match
- key=verity | status=mapped | reason=title_first_match | rep_title=verity | rows=1 | parsed_year=2026 | candidates=7 | chosen_tmdb=1283515 | path=title_first_match
- key=heart of the beast | status=mapped | reason=title_first_match | rep_title=heart of the beast | rows=58 | parsed_year=2026 | candidates=5 | chosen_tmdb=1263337 | path=title_first_match
- key=one night only | status=mapped | reason=title_first_match | rep_title=one night only | rows=25 | parsed_year=2026 | candidates=20 | chosen_tmdb=1433367 | path=title_first_match
- key=homo sapiens | status=mapped | reason=runtime_match | rep_title=homo sapiens | rows=19 | parsed_year=2025 | candidates=20 | chosen_tmdb=1471345 | path=runtime_match
