cinema,date,title,year,poster
CS,19/12/2024,Mufasa: The Lion King,2024,https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_SX300.jpg
CS,26/12/2024,The Room Next Door,2024,https://m.media-amazon.com/images/M/MV5BYzk2MjI1YTgtOTcxYS00OTUyLTgyOTAtMGE0OGYyMjc0MTc3XkEyXkFqcGc@._V1_SX300.jpg
CS,26/12/2024,Sonic the Hedgehog 3,2024,https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_SX300.jpg
CS,31/12/2024,Nosferatu,2024,https://m.media-amazon.com/images/M/MV5BNDg1OTI1M2MtMTVlMS00ZjFhLTgyMTAtYjIzOWUwZTkyZWE5XkEyXkFqcGc@._V1_SX300.jpg
CS,02/01/2025,A Real Pain,2024,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
CS,02/01/2025,Better Man,2024,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
CS,02/01/2025,The Order,2024,N/A
CS,02/01/2025,Babygirl,2024,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
CS,09/01/2025,Den of Thieves 2: Pantera,2025,https://m.media-amazon.com/images/M/MV5BNGM5NDRiY2MtNWY3Ni00MGY4LWFmMTAtOTRhNDQxYmYxMmM4XkEyXkFqcGc@._V1_SX300.jpg
CS,16/01/2025,Wolf Man,2025,https://m.media-amazon.com/images/M/MV5BYmFkYTNhMWUtMjEyNy00MWE0LWJlYTQtMWFmNDUwNmFjMzAxXkEyXkFqcGc@._V1_SX300.jpg
CS,16/01/2025,Super/Man: The Christopher Reeve Story,2024,https://m.media-amazon.com/images/M/MV5BNzhhMjRkMmEtMGJiMi00NGEzLWExYzItNzliYmM2YmI0MjVkXkEyXkFqcGc@._V1_SX300.jpg
CS,16/01/2025,Small Things Like These,2024,https://m.media-amazon.com/images/M/MV5BYzM2MmVkY2QtMTdmOS00YmNhLTg3NjktNmY1YTQ3ODQ0MTAxXkEyXkFqcGc@._V1_SX300.jpg
CS,23/01/2025,The Most Precious of Cargoes,2024,https://m.media-amazon.com/images/M/MV5BM2MxM2EyMzItNWMxYS00YzhkLTk1ZDgtMjM2Y2I1MzZlYWEzXkEyXkFqcGc@._V1_SX300.jpg
CS,30/01/2025,Conclave,2024,https://m.media-amazon.com/images/M/MV5BYjgxMDI5NmMtNTU3OS00ZDQxLTgxZmEtNzY1ZTBmMDY4NDRkXkEyXkFqcGc@._V1_SX300.jpg
CS,30/01/2025,Flow,2024,https://m.media-amazon.com/images/M/MV5BOTM5ODBlOTAtYjcwZi00YzkzLWIzODEtMTM2MTZlNDFmMWU2XkEyXkFqcGc@._V1_SX300.jpg
CS,01/02/2025,Babygirl,2024,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
CS,01/02/2025,Better Man,2024,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
CS,13/02/2025,Bridget Jones: Mad About the Boy,2025,https://m.media-amazon.com/images/M/MV5BMmM3MDc5ZGEtYzMwMi00MjQxLTgyMDAtMDAwY2UwMjdmMTIyXkEyXkFqcGc@._V1_SX300.jpg
CS,13/02/2025,Captain America: Brave New World,2025,https://m.media-amazon.com/images/M/MV5BNjI4MDRiNmItZmI2OC00MWY0LTk4NjQtODIxNzQzOGU3NTE0XkEyXkFqcGc@._V1_SX300.jpg
CS,27/02/2025,Maria,2024,N/A
CS,01/03/2025,The Teacher Who Promised the Sea,2023,https://m.media-amazon.com/images/M/MV5BNTc1NzJiOGItMGQ2Ni00ZDMxLTkzYzYtMmU2ODUwMjEzODkzXkEyXkFqcGc@._V1_SX300.jpg
CS,06/03/2025,Paddington in Peru,2024,https://m.media-amazon.com/images/M/MV5BNzMyNWZlYmYtZDgxMC00ZTU3LWFiYzctNGE0ZDc0OTlhZTRlXkEyXkFqcGc@._V1_SX300.jpg
CS,20/03/2025,Snow White,2025,https://m.media-amazon.com/images/M/MV5BZTQ1OTliZWItMzE5Zi00YzA5LTgzN2ItZjA5MjQ1ZGU3YjE2XkEyXkFqcGc@._V1_SX300.jpg
CS,03/04/2025,A Minecraft Movie,2025,https://m.media-amazon.com/images/M/MV5BYWI2ZWE1NDktYmI1MC00MDAzLWI3MGYtMTgwMjkzNmJjY2ZlXkEyXkFqcGc@._V1_SX300.jpg
CS,03/04/2025,Widow Clicquot,2024,https://m.media-amazon.com/images/M/MV5BOWYyZDg2N2YtYmU3YS00MTI0LTliM2QtZjcxNTJhMGRiNTBiXkEyXkFqcGc@._V1_SX300.jpg
CS,17/04/2025,Mickey 17,2025,https://m.media-amazon.com/images/M/MV5BOTZmY2E4YjUtNzU1OC00NGQ2LWFlMmItNDk4NDA2OTg3OGIyXkEyXkFqcGc@._V1_SX300.jpg
CS,01/05/2025,Thunderbolts,2025,https://m.media-amazon.com/images/M/MV5BYTVlNDViYWUtYmQ4Ny00Y2NhLWFjMGMtNTEyYTg5ZWNkMzhiXkEyXkFqcGc@._V1_SX300.jpg
CS,08/05/2025,Ballerina,2023,https://m.media-amazon.com/images/M/MV5BOTgxNzA0MDktYzc5ZC00MGY3LWIwYjItMDJhNzE2ZGFjYmE1XkEyXkFqcGc@._V1_SX300.jpg
CS,22/05/2025,Lilo & Stitch,2025,https://m.media-amazon.com/images/M/MV5BZTI1YWQzMTctYzM5Zi00MDIwLThjMTgtNDVjZjYwZGQyNDc0XkEyXkFqcGc@._V1_SX300.jpg
CS,22/05/2025,Mission: Impossible 8,2023,https://m.media-amazon.com/images/M/MV5BN2U4OTdmM2QtZTkxYy00ZmQyLTg2N2UtMDdmMGJmNDhlZDU1XkEyXkFqcGc@._V1_SX300.jpg
