cinema,date,time,title,year,href,poster
HFCT,23/10/2024,16:00,A Splash of Love,2022,https://www.haifacin.co.il/Event/14294/,https://m.media-amazon.com/images/M/MV5BNzAyMzBmNmQtNTk1OS00MmM2LTgzZmEtYTJlMDVjZmE4MTExXkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_SX300.jpg
HRZCT,23/10/2024,11:30,The Wild Robot,2024,https://www.hcinema.org.il/event/%d7%a8%d7%95%d7%96-%d7%94%d7%a8%d7%95%d7%91%d7%95%d7%98%d7%99%d7%aa-the-wild-robot-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%91%d7%a8%d7%99-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8/2024-10-23/,https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_SX300.jpg
HRZCT,23/10/2024,14:15,We Live In Time,2024,https://www.hcinema.org.il/event/%d7%94%d7%96%d7%9e%d7%9f-%d7%a9%d7%9c%d7%a0%d7%95-we-live-our-time-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa/2024-10-23/1/,https://m.media-amazon.com/images/M/MV5BMGJkNjAxNTUtMGU5MC00ZTUyLTlmYzctNmE0ZDUzZTk5YTY1XkEyXkFqcGc@._V1_SX300.jpg
HRZCT,23/10/2024,17:15,We Live In Time,2024,https://www.hcinema.org.il/event/%d7%94%d7%96%d7%9e%d7%9f-%d7%a9%d7%9c%d7%a0%d7%95-we-live-our-time-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa/2024-10-23/2/,https://m.media-amazon.com/images/M/MV5BMGJkNjAxNTUtMGU5MC00ZTUyLTlmYzctNmE0ZDUzZTk5YTY1XkEyXkFqcGc@._V1_SX300.jpg
HRZCT,23/10/2024,19:30,Joker: Folie à Deux,2024,https://www.hcinema.org.il/event/%d7%92%d7%95%d7%a7%d7%a8-%d7%98%d7%99%d7%a8%d7%95%d7%a3-%d7%91%d7%a9%d7%a0%d7%99%d7%99%d7%9d-joker-folie-a-deux-%d7%94%d7%a7%d7%a8%d7%a0%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa/2024-10-23/,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,23/10/2024,20:30,We Live In Time,2024,https://www.hcinema.org.il/event/%d7%94%d7%96%d7%9e%d7%9f-%d7%a9%d7%9c%d7%a0%d7%95-we-live-our-time-%d7%91%d7%aa%d7%90%d7%a8%d7%99%d7%9a-%d7%96%d7%94-%d7%91%d7%9c%d7%91%d7%93-%d7%9b%d7%a0%d7%99%d7%a1%d7%94-%d7%9c%d7%9c%d7%90/,https://m.media-amazon.com/images/M/MV5BMGJkNjAxNTUtMGU5MC00ZTUyLTlmYzctNmE0ZDUzZTk5YTY1XkEyXkFqcGc@._V1_SX300.jpg
JAFC,23/10/2024,18:00,The Laughing Policeman,1973,https://www.jaffacinema.com/calendar/5207/,https://m.media-amazon.com/images/M/MV5BYzIwNGNiYTgtNTEzNS00YjU5LWIzNTctYWRhOWIyOTM0N2Q5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
JAFC,23/10/2024,19:00,Eat Drink Man Woman,2024,https://www.jaffacinema.com/calendar/5204/,https://m.media-amazon.com/images/M/MV5BNGFhYTQ4ZTAtNzkyYi00YjgyLThlYzEtOWJlYWU2NjRiY2JjXkEyXkFqcGdeQXVyMTY4NjQ1NzMy._V1_SX300.jpg
JAFC,23/10/2024,20:30,Water Tower Murder,2024,https://www.jaffacinema.com/calendar/5216/,https://m.media-amazon.com/images/M/MV5BOWI5YTJkYTgtZDNjMS00ZmQ2LWFlYzgtNmU0NjgxMDQ2ZTFiXkEyXkFqcGc@._V1_SX300.jpg
JLMCT,23/10/2024,18:00,Beetlejuice Beetlejuice,2024,https://jer-cin.org.il/en/event/78544,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg
