title,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity,poster
9/11: I Was There,2021,yes,86,tt12922454,8.1,800,0,91.67,https://m.media-amazon.com/images/M/MV5BNzJmMmI1NzMtMWY0My00MmEyLThjMGYtODk3YTRiMjlkYWUwXkEyXkFqcGc@._V1_SX300.jpg
Anora,2024,yes,139,tt28607951,8.0,34K,96,87.54,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
Babygirl,2024,yes,114,tt30057084,6.0,1K,88,49.26,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
Better Man,2024,yes,134,tt14260836,0.0,300,88,70.7,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
Emilia Pérez,2024,yes,132,tt20221436,6.8,17K,0,43.22,https://m.media-amazon.com/images/M/MV5BNjBhMWVmYjQtYmI2NC00NjdiLTliMjQtODliYjI5OTZmMzczXkEyXkFqcGc@._V1_SX300.jpg
Gladiator II,2024,yes,148,tt9218128,6.9,113K,71,58.53,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg
Here,2024,yes,104,tt18272208,6.2,6K,37,71.85,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg
Heretic,2024,yes,111,tt28015403,7.1,50K,91,66.82,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg
Hounds of War,2024,yes,95,tt12972134,4.5,1K,0,68.29,https://m.media-amazon.com/images/M/MV5BMGM4NTYxMjktOTIxMS00NTQ0LWI1ZjAtY2JmODM1YjgyNTUzXkEyXkFqcGc@._V1_SX300.jpg
Io Capitano,2023,yes,121,tt14225838,7.6,14K,96,60.47,https://m.media-amazon.com/images/M/MV5BZGI1OTg3MGMtZTFhMy00ZjFkLTk5YmEtY2MzMDIzNTA3MzdiXkEyXkFqcGc@._V1_SX300.jpg
Kraven the Hunter,2024,yes,127,tt8790086,0.0,0,15,71.18,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg
Lee,2023,yes,117,tt5112584,6.9,14K,66,70.02,https://m.media-amazon.com/images/M/MV5BMDlhMDY0NTAtOTQwZi00ZjIxLTk2ZmYtZjU1Y2FiYWRhZDk3XkEyXkFqcGc@._V1_SX300.jpg
Matchmaking 2,2024,yes,110,tt34170136,7.9,0,0,71.09,https://m.media-amazon.com/images/M/MV5BYTQ5MDRiZjMtNzRjMi00Njk4LTliMjQtMTQxMjhlOGYxNDM5XkEyXkFqcGc@._V1_SX300.jpg
Moana 2,2024,yes,100,tt13622970,0.0,0,61,68.17,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg
Mufasa: The Lion King,2024,yes,120,tt13186482,0.0,0,0,73.66,https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_SX300.jpg
Nosferatu,2024,yes,133,tt5040012,0.0,0,94,77.76,https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg
Queer,2024,yes,135,tt24176060,5.6,1K,77,50.18,https://m.media-amazon.com/images/M/MV5BNWIyMGM0Y2QtMzIwNy00MzM1LTkxZWEtYTcwMzM1MzNiMmNjXkEyXkFqcGc@._V1_SX300.jpg
