cinema,datetext,title,year,imdbID,poster
CS,25-01-02,The Successor,2023,tt26597953,https://m.media-amazon.com/images/M/MV5BZWQwMzgzNjItNTcxZC00Zjk4LWIyMzAtYWZiMGIwZTQ1ZmQwXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-02,Nosferatu,2024,tt5040012,https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-02,Better Man,2024,tt14260836,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-02,Babygirl,2024,tt30057084,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-02,The Order,2024,tt26625693,https://m.media-amazon.com/images/M/MV5BZWIxOGQyYjYtOGEwOC00YWNjLWJmNTktZjJlM2RmNTdjMmVlXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-02,Queer,2024,tt24176060,https://m.media-amazon.com/images/M/MV5BNWIyMGM0Y2QtMzIwNy00MzM1LTkxZWEtYTcwMzM1MzNiMmNjXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-07,A Real Pain,2024,tt21823606,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-16,Small Things Like These,2024,tt27196021,https://m.media-amazon.com/images/M/MV5BYzM2MmVkY2QtMTdmOS00YmNhLTg3NjktNmY1YTQ3ODQ0MTAxXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-16,Wolf Man,2025,tt4216984,https://m.media-amazon.com/images/M/MV5BYmFkYTNhMWUtMjEyNy00MWE0LWJlYTQtMWFmNDUwNmFjMzAxXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-16,Super/Man: The Christopher Reeve Story,2024,tt27902121,https://m.media-amazon.com/images/M/MV5BNzhhMjRkMmEtMGJiMi00NGEzLWExYzItNzliYmM2YmI0MjVkXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-16,The Wife and Her Secret,2023,tt27892591,https://m.media-amazon.com/images/M/MV5BYTMwZDhiNGEtOWE1My00MGNmLWIwMzEtZDE2MjRkOTVjNzcyXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-23,Presence,2024,tt28249919,https://m.media-amazon.com/images/M/MV5BMzY1Y2ZiNjEtYmZmNy00ODM0LWJmM2MtZGU1M2Y1NGQ1N2NhXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-23,Flight Risk,2025,tt10078772,https://m.media-amazon.com/images/M/MV5BY2Q3YjMyZjItNjdjNS00NzFjLTljMWYtMmZjMGQ5YTVjYWY5XkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-23,September 5,2024,tt28082769,https://m.media-amazon.com/images/M/MV5BOWUxY2YyYzctYWY3Yi00ZGJjLTkzMDktZjYzMTIzZjNhNmM2XkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-23,The Most Precious of Cargoes,2024,tt10462154,https://m.media-amazon.com/images/M/MV5BM2MxM2EyMzItNWMxYS00YzhkLTk1ZDgtMjM2Y2I1MzZlYWEzXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-30,Conclave,2024,tt20215234,https://m.media-amazon.com/images/M/MV5BYjgxMDI5NmMtNTU3OS00ZDQxLTgxZmEtNzY1ZTBmMDY4NDRkXkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-30,Den of Thieves 2: Pantera,2025,tt8008948,https://m.media-amazon.com/images/M/MV5BNGM5NDRiY2MtNWY3Ni00MGY4LWFmMTAtOTRhNDQxYmYxMmM4XkEyXkFqcGc@._V1_SX300.jpg
CS,25-01-30,Flow,2024,tt4772188,https://m.media-amazon.com/images/M/MV5BOTM5ODBlOTAtYjcwZi00YzkzLWIzODEtMTM2MTZlNDFmMWU2XkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-06,The Rapture,2023,tt27531109,https://m.media-amazon.com/images/M/MV5BMmRhNzRlMmUtODBkYy00OTU0LThjNjMtZWFmOTY0Y2QzMjdhXkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-06,A Complete Unknown,2024,tt11563598,https://m.media-amazon.com/images/M/MV5BYTA2NTA5NDYtMzlkOC00MTQxLWI0NDQtMzk2M2YzMGE4MTkxXkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-06,Runt,2024,tt29424284,https://m.media-amazon.com/images/M/MV5BNGJkZGM0NzEtYjZmNS00MWUyLThjNjctZTEzNjk2MWRiMzFlXkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-13,Bridget Jones: Mad About the Boy,2025,tt32063050,https://m.media-amazon.com/images/M/MV5BMmM3MDc5ZGEtYzMwMi00MjQxLTgyMDAtMDAwY2UwMjdmMTIyXkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-13,Captain America: Brave New World,2025,tt14513804,https://m.media-amazon.com/images/M/MV5BZDBlZTAzYzYtYjczZS00MmQyLTlkYjMtNzY2MzU3YjRjYTJiXkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-20,The Brutalist,2024,tt8999762,https://m.media-amazon.com/images/M/MV5BMWEzOGNlY2EtMzlkZS00ODllLThmYzAtNmU4ZmJkZmZmZTQ4XkEyXkFqcGc@._V1_SX300.jpg
CS,25-02-20,The Monkey,2025,tt27714946,https://m.media-amazon.com/images/M/MV5BNzZhMTc5MWUtOTE2MS00MjUwLTljYWEtYTk1ZmVjNzhmMzYzXkEyXkFqcGc@._V1_SX300.jpg
