popularity,title,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,poster
64.02,200% Wolf,2024,yes,98,tt27722575,5.3,600,0,https://m.media-amazon.com/images/M/MV5BZjQyYzkxNjEtZmY4Yy00ZTVkLWJiZWUtZWFkNTE5MDY5MjNmXkEyXkFqcGc@._V1_SX300.jpg
62.66,9 Bullets,2022,yes,97,tt13680520,4.1,3K,0,https://m.media-amazon.com/images/M/MV5BM2Q5YTJlZjYtNzY4OC00NmZkLWFkMTYtMjRiOWFmOGY4Y2FlXkEyXkFqcGc@._V1_SX300.jpg
73.44,9/11: I Was There,2021,yes,86,tt12922454,8.1,800,0,https://m.media-amazon.com/images/M/MV5BNzJmMmI1NzMtMWY0My00MmEyLThjMGYtODk3YTRiMjlkYWUwXkEyXkFqcGc@._V1_SX300.jpg
92.10,A Real Pain,2024,yes,90,tt21823606,7.6,6K,95,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
40.98,Absolution,2024,yes,112,tt8337290,5.2,4K,53,https://m.media-amazon.com/images/M/MV5BYWRiM2ViOGItNGVjZS00NzZhLTlhMjAtZDIzMDJmODc0NzdhXkEyXkFqcGc@._V1_SX300.jpg
54.36,And the Party Goes On,2023,yes,106,tt28182919,6.3,300,0,https://m.media-amazon.com/images/M/MV5BNjg3NDgzYTktOGU2Ny00NWUyLTllMTgtNzg0MGM4MjRkMWRiXkEyXkFqcGc@._V1_SX300.jpg
79.77,Anora,2024,yes,139,tt28607951,8.0,34K,96,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
51.28,Arugam Bay,2023,yes,97,tt23790724,0.0,0,0,https://m.media-amazon.com/images/M/MV5BNGRhZmUyMTYtY2M4Yi00ZjdkLTg1YjQtYTdmOTkxZGFiOTk0XkEyXkFqcGc@._V1_SX300.jpg
77.84,Babygirl,2024,yes,114,tt30057084,6.0,1K,88,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
76.51,Better Man,2024,yes,134,tt14260836,0.0,300,88,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
59.76,Bridget Jones: Mad About the Boy,2025,yes,120,tt32063050,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMmM3MDc5ZGEtYzMwMi00MjQxLTgyMDAtMDAwY2UwMjdmMTIyXkEyXkFqcGc@._V1_SX300.jpg
63.31,Cellar Door,2024,yes,97,tt11950888,5.2,2K,24,https://m.media-amazon.com/images/M/MV5BYmIyNDdkMWUtNmU3MC00MzAyLWIxZTMtNDk5MjgwMTRjNzcyXkEyXkFqcGc@._V1_SX300.jpg
53.66,Classified,2024,yes,105,tt27714840,3.7,1K,0,https://m.media-amazon.com/images/M/MV5BMDdlZmNkYTUtOTU0MC00NDAwLWJiMWQtMmI5YjgzZDY1OGFmXkEyXkFqcGc@._V1_SX300.jpg
