cinema,date,time,timeHref,title,snif,type
LC,25-01-01,13:00,562923,200% Wolf,Tel Aviv,R
LC,25-01-01,15:05,562916,200% Wolf,Tel Aviv,R
LC,25-01-01,16:10,562704,200% Wolf,Raanana,R
HC,25-01-01,12:30,2853,200% Wolf,Kiryat Bialik,R
HC,25-01-01,14:40,2853,200% Wolf,Kiryat Bialik,R
HC,25-01-01,16:50,2853,200% Wolf,Kiryat Bialik,R
HC,25-01-01,12:40,2853,200% Wolf,Haifa,R
HC,25-01-01,14:50,2853,200% Wolf,Haifa,R
HC,25-01-01,17:00,2853,200% Wolf,Haifa,R
HC,25-01-01,12:30,2853,200% Wolf,Kfar Saba,R
HC,25-01-01,12:50,2853,200% Wolf,Petach Tikvah,R
HC,25-01-01,14:50,2853,200% Wolf,Rehovot,R
HC,25-01-01,15:40,2853,200% Wolf,Ashdod,R
HC,25-01-01,12:50,2853,200% Wolf,Ashkelon,R
HC,25-01-01,20:05,2860,9 Bullets,Kiryat Bialik,R
HC,25-01-01,22:15,2860,9 Bullets,Kiryat Bialik,R
HC,25-01-01,20:10,2860,9 Bullets,Haifa,R
HC,25-01-01,22:20,2860,9 Bullets,Haifa,R
HC,25-01-01,22:30,2860,9 Bullets,Kfar Saba,R
CC,25-01-01,21:10,5393,9 Bullets,Glilot,R
CC,25-01-01,21:40,5393,9 Bullets,Rishon Letzion,R
CC,25-01-01,22:10,5393,9 Bullets,Rishon Letzion,R
CC,25-01-01,20:50,5393,9 Bullets,Jerusalem,R
CC,25-01-01,23:10,5393,9 Bullets,Jerusalem,R
CC,25-01-01,22:10,5393,9 Bullets,Kfar Saba,R
CC,25-01-01,21:20,5393,9 Bullets,Netanya,R
CC,25-01-01,23:40,5393,9 Bullets,Netanya,R
CC,25-01-01,21:00,5393,9 Bullets,Beer Sheva,R
CC,25-01-01,20:00,5393,9 Bullets,Chadera,R
CC,25-01-01,22:10,5393,9 Bullets,Chadera,R
CC,25-01-01,00:00,5393,9 Bullets,Chadera,R
CC,25-01-01,19:10,5393,9 Bullets,Ashdod,R
CC,25-01-01,21:40,5393,9 Bullets,Ashdod,R
CC,25-01-01,13:50,5241,9/11: I Was There,Glilot,R
CC,25-01-01,16:30,5241,9/11: I Was There,Glilot,R
CC,25-01-01,19:10,5241,9/11: I Was There,Glilot,R
CC,25-01-01,20:20,5241,9/11: I Was There,Glilot,R
CC,25-01-01,20:50,5241,9/11: I Was There,Glilot,R
CC,25-01-01,21:45,5241,9/11: I Was There,Glilot,R
CC,25-01-01,22:30,5241,9/11: I Was There,Glilot,R
CC,25-01-01,14:00,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,17:00,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,19:20,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,20:10,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,21:00,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,21:50,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,23:30,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-01,18:50,5241,9/11: I Was There,Jerusalem,R
