cinema,datetext,timetext,title,year,href,poster
HRZCT,25-01-07,11:00,A Real Pain,2024,https://www.hcinema.org.il/event/%d7%9b%d7%90%d7%91-%d7%90%d7%9e%d7%99%d7%aa%d7%99-a-real-pain-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2025-01-07/1/,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-07,14:00,A Real Pain,2024,https://www.hcinema.org.il/event/%d7%9b%d7%90%d7%91-%d7%90%d7%9e%d7%99%d7%aa%d7%99-a-real-pain-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2025-01-07/2/,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-07,16:00,Eid Mubarak,2023,https://www.hcinema.org.il/event/%d7%a2%d7%99%d7%93-eid-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2025-01-07/,https://m.media-amazon.com/images/M/MV5BZjRiY2IyMjgtZDZiYi00YTA0LTk4NmMtMzBkMzk5NDIxNzdjXkEyXkFqcGdeQXVyMTAxNjIwMjYz._V1_SX300.jpg
HRZCT,25-01-07,18:00,A Real Pain,2024,https://www.hcinema.org.il/event/%d7%9b%d7%90%d7%91-%d7%90%d7%9e%d7%99%d7%aa%d7%99-a-real-pain-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2025-01-07/3/,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-07,18:30,The Ring,2024,https://www.hcinema.org.il/event/%d7%94%d7%98%d7%91%d7%a2%d7%aa-the-ring-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/2025-01-07/,https://m.media-amazon.com/images/M/MV5BNmYxZDRkOTEtMjcyYS00MDlhLTk5OGItNDNiMTA4NzBjNjJmXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-07,20:30,Black Mirror: Bandersnatch,2018,https://www.hcinema.org.il/event/%d7%9e%d7%a8%d7%90%d7%94-mirror/,https://m.media-amazon.com/images/M/MV5BMjM5MzgzMjM3OF5BMl5BanBnXkFtZTgwMzQ2MzQwNzM@._V1_SX300.jpg
HRZCT,25-01-07,20:45,Nosferatu,2024,https://www.hcinema.org.il/event/%d7%a0%d7%95%d7%a1%d7%a4%d7%a8%d7%98%d7%95-nosferatu-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/,https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-07,22:45,Better Man,2024,https://www.hcinema.org.il/event/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%95-%d7%a9%d7%9c-%d7%a8%d7%95%d7%91%d7%99-%d7%95%d7%95%d7%99%d7%9c%d7%99%d7%90%d7%9e%d7%a1-better-man-%d7%a9%d7%9c%d7%99%d7%a9%d7%99-%d7%96%d7%94%d7%91/,https://m.media-amazon.com/images/M/MV5BYWU3YzU0NTItMGVlYi00YTFmLWE5MmQtNjg4ODQ3ZWYyNjRkXkEyXkFqcGc@._V1_SX300.jpg
JAFC,25-01-07,18:00,My Neighbor Totoro,1988,https://www.jaffacinema.com/calendar/5636/,https://m.media-amazon.com/images/M/MV5BYWM3MDE3YjEtMzIzZC00ODE5LTgxNTItNmUyMTBkM2M2NmNiXkEyXkFqcGc@._V1_SX300.jpg
JAFC,25-01-07,19:00,Perfect Days,2023,https://www.jaffacinema.com/calendar/5616/,https://m.media-amazon.com/images/M/MV5BNGVmODFkM2MtOTEzMy00MjFjLThjZmYtODMxZmI1MzcyNDkyXkEyXkFqcGc@._V1_SX300.jpg
