popularity,title,year,runtime,imdbID,imdbRating,imdbVotes,rtRating,poster
48.48,200% Wolf,2024,98,tt27722575,5.3,600,0,https://m.media-amazon.com/images/M/MV5BZjQyYzkxNjEtZmY4Yy00ZTVkLWJiZWUtZWFkNTE5MDY5MjNmXkEyXkFqcGc@._V1_SX300.jpg
46.31,9 Bullets,2022,97,tt13680520,4.1,3K,0,https://m.media-amazon.com/images/M/MV5BM2Q5YTJlZjYtNzY4OC00NmZkLWFkMTYtMjRiOWFmOGY4Y2FlXkEyXkFqcGc@._V1_SX300.jpg
66.67,9/11: I Was There,2021,86,tt12922454,8.1,800,0,https://m.media-amazon.com/images/M/MV5BNzJmMmI1NzMtMWY0My00MmEyLThjMGYtODk3YTRiMjlkYWUwXkEyXkFqcGc@._V1_SX300.jpg
98.23,A Complete Unknown,2024,141,tt11563598,7.8,6K,74,https://m.media-amazon.com/images/M/MV5BYTA2NTA5NDYtMzlkOC00MTQxLWI0NDQtMzk2M2YzMGE4MTkxXkEyXkFqcGc@._V1_SX300.jpg
87.93,A Real Pain,2024,90,tt21823606,7.6,6K,95,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
32.03,Absolution,2024,112,tt8337290,5.2,4K,53,https://m.media-amazon.com/images/M/MV5BYWRiM2ViOGItNGVjZS00NzZhLTlhMjAtZDIzMDJmODc0NzdhXkEyXkFqcGc@._V1_SX300.jpg
48.56,And the Party Goes On,2023,106,tt28182919,6.3,300,0,https://m.media-amazon.com/images/M/MV5BNjg3NDgzYTktOGU2Ny00NWUyLTllMTgtNzg0MGM4MjRkMWRiXkEyXkFqcGc@._V1_SX300.jpg
74.86,Anora,2024,139,tt28607951,8.0,34K,96,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
47.37,Arugam Bay,2023,97,tt23790724,0.0,0,0,https://m.media-amazon.com/images/M/MV5BNGRhZmUyMTYtY2M4Yi00ZjdkLTg1YjQtYTdmOTkxZGFiOTk0XkEyXkFqcGc@._V1_SX300.jpg
76.01,Babygirl,2024,114,tt30057084,6.6,6K,88,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
74.41,Better Man,2024,134,tt14260836,0.0,300,88,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
60.76,Bridget Jones: Mad About the Boy,2025,120,tt32063050,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMDdlY2Y2ZWEtYjk4Mi00Yjg3LWFlM2MtMWI1ZjVlNGQ5NTNjXkEyXkFqcGc@._V1_SX300.jpg
50.00,Cellar Door,2024,97,tt11950888,5.2,2K,24,https://m.media-amazon.com/images/M/MV5BYmIyNDdkMWUtNmU3MC00MzAyLWIxZTMtNDk5MjgwMTRjNzcyXkEyXkFqcGc@._V1_SX300.jpg
