cinema,datetext,timetext,partialHref,title,snif,type
HC,25-01-07,17:10,2853,200% Wolf,Kiryat Bialik,R
HC,25-01-07,22:00,2860,9 Bullets,Carmiel,R
HC,25-01-07,22:10,2860,9 Bullets,Kiryat Bialik,R
HC,25-01-07,21:35,2860,9 Bullets,Haifa,R
HC,25-01-07,22:10,2860,9 Bullets,Kfar Saba,R
CC,25-01-07,22:00,5393,9 Bullets,Glilot,R
CC,25-01-07,21:40,5393,9 Bullets,Rishon Letzion,R
CC,25-01-07,21:30,5393,9 Bullets,Jerusalem,R
CC,25-01-07,22:10,5393,9 Bullets,Netanya,R
CC,25-01-07,22:10,5393,9 Bullets,Beer Sheva,R
CC,25-01-07,22:00,5393,9 Bullets,Chadera,R
CC,25-01-07,21:45,5393,9 Bullets,Ashdod,R
CC,25-01-07,13:40,5241,9/11: I Was There,Glilot,R
CC,25-01-07,14:40,5241,9/11: I Was There,Glilot,R
CC,25-01-07,15:30,5241,9/11: I Was There,Glilot,R
CC,25-01-07,16:20,5241,9/11: I Was There,Glilot,R
CC,25-01-07,17:30,5241,9/11: I Was There,Glilot,R
CC,25-01-07,18:10,5241,9/11: I Was There,Glilot,R
CC,25-01-07,19:00,5241,9/11: I Was There,Glilot,R
CC,25-01-07,20:20,5241,9/11: I Was There,Glilot,R
CC,25-01-07,21:40,5241,9/11: I Was There,Glilot,R
CC,25-01-07,14:40,5241,9/11: I Was There,Glilot,4DX
CC,25-01-07,17:30,5241,9/11: I Was There,Glilot,4DX
CC,25-01-07,20:20,5241,9/11: I Was There,Glilot,4DX
CC,25-01-07,13:50,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,15:40,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,16:00,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,18:30,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,19:00,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,21:20,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,22:00,5241,9/11: I Was There,Rishon Letzion,R
CC,25-01-07,13:40,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,15:00,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,16:20,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,17:35,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,18:30,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,19:30,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,21:10,5241,9/11: I Was There,Jerusalem,R
CC,25-01-07,22:30,5241,9/11: I Was There,Jerusalem,VIP
CC,25-01-07,15:20,5241,9/11: I Was There,Kfar Saba,R
CC,25-01-07,15:50,5241,9/11: I Was There,Kfar Saba,R
CC,25-01-07,18:10,5241,9/11: I Was There,Kfar Saba,R
CC,25-01-07,19:15,5241,9/11: I Was There,Kfar Saba,R
CC,25-01-07,21:00,5241,9/11: I Was There,Kfar Saba,R
CC,25-01-07,13:20,5241,9/11: I Was There,Netanya,R
CC,25-01-07,16:10,5241,9/11: I Was There,Netanya,R
CC,25-01-07,18:30,5241,9/11: I Was There,Netanya,R
CC,25-01-07,19:30,5241,9/11: I Was There,Netanya,R
CC,25-01-07,21:10,5241,9/11: I Was There,Netanya,R
CC,25-01-07,13:10,5241,9/11: I Was There,Beer Sheva,R
CC,25-01-07,16:00,5241,9/11: I Was There,Beer Sheva,R
CC,25-01-07,19:00,5241,9/11: I Was There,Beer Sheva,R
CC,25-01-07,20:50,5241,9/11: I Was There,Beer Sheva,R
CC,25-01-07,21:50,5241,9/11: I Was There,Beer Sheva,R
CC,25-01-07,13:40,5241,9/11: I Was There,Chadera,R
CC,25-01-07,15:05,5241,9/11: I Was There,Chadera,R
CC,25-01-07,16:20,5241,9/11: I Was There,Chadera,R
CC,25-01-07,17:40,5241,9/11: I Was There,Chadera,R
CC,25-01-07,19:00,5241,9/11: I Was There,Chadera,R
CC,25-01-07,20:15,5241,9/11: I Was There,Chadera,R
CC,25-01-07,21:40,5241,9/11: I Was There,Chadera,R
CC,25-01-07,13:20,5241,9/11: I Was There,Ashdod,R
CC,25-01-07,14:50,5241,9/11: I Was There,Ashdod,R
CC,25-01-07,16:00,5241,9/11: I Was There,Ashdod,R
CC,25-01-07,17:30,5241,9/11: I Was There,Ashdod,R
CC,25-01-07,18:40,5241,9/11: I Was There,Ashdod,R
