cinema,date,time,title,snif,type
HC,01/10/2024,20:40,Beetlejuice Beetlejuice,Carmiel,R
HC,01/10/2024,16:10,Beetlejuice Beetlejuice,Kiryat Bialik,R
HC,01/10/2024,18:30,Beetlejuice Beetlejuice,Kiryat Bialik,R
HC,01/10/2024,20:00,Beetlejuice Beetlejuice,Kiryat Bialik,R
HC,01/10/2024,17:15,Beetlejuice Beetlejuice,Haifa,R
HC,01/10/2024,19:30,Beetlejuice Beetlejuice,Haifa,R
HC,01/10/2024,19:15,Beetlejuice Beetlejuice,Kfar Saba,R
HC,01/10/2024,19:30,Beetlejuice Beetlejuice,Modiin,R
HC,01/10/2024,22:15,Beetlejuice Beetlejuice,Rehovot,R
HC,01/10/2024,23:50,Beetlejuice Beetlejuice,Ashkelon,R
HC,01/10/2024,19:30,Come Closer,Kiryat Bialik,R
HC,01/10/2024,21:50,Come Closer,Kiryat Bialik,R
HC,01/10/2024,16:30,Come Closer,Haifa,R
HC,01/10/2024,18:50,Come Closer,Haifa,R
HC,01/10/2024,21:10,Come Closer,Haifa,R
HC,01/10/2024,19:00,Come Closer,Kfar Saba,R
HC,01/10/2024,19:00,Come Closer,Rehovot,R
HC,01/10/2024,18:50,Deadpool & Wolverine,Kiryat Bialik,R
HC,01/10/2024,21:30,Deadpool & Wolverine,Kiryat Bialik,R
HC,01/10/2024,21:45,Deadpool & Wolverine,Haifa,R
HC,01/10/2024,21:45,Deadpool & Wolverine,Kfar Saba,R
HC,01/10/2024,21:20,Deadpool & Wolverine,Rehovot,R
HC,01/10/2024,18:00,It Ends with Us,Carmiel,R
HC,01/10/2024,19:10,It Ends with Us,Haifa,R
HC,01/10/2024,21:50,It Ends with Us,Haifa,R
HC,01/10/2024,18:40,It Ends with Us,Kfar Saba,R
HC,01/10/2024,21:20,It Ends with Us,Kfar Saba,R
HC,01/10/2024,20:00,It Ends with Us,Modiin,R
HC,01/10/2024,19:30,It Ends with Us,Rehovot,R
HC,01/10/2024,22:00,It Ends with Us,Ashdod,R
HC,01/10/2024,18:00,It Ends with Us,Ashkelon,R
HC,01/10/2024,20:40,Joker: Folie à Deux,Carmiel,R
HC,01/10/2024,20:40,Joker: Folie à Deux,Nahariya,R
HC,01/10/2024,19:10,Joker: Folie à Deux,Kiryat Bialik,R
HC,01/10/2024,22:00,Joker: Folie à Deux,Kiryat Bialik,R
HC,01/10/2024,22:15,Joker: Folie à Deux,Haifa,R
HC,01/10/2024,18:50,Joker: Folie à Deux,Kfar Saba,R
HC,01/10/2024,21:45,Joker: Folie à Deux,Kfar Saba,R
HC,01/10/2024,21:50,Joker: Folie à Deux,Modiin,R
HC,01/10/2024,20:30,Joker: Folie à Deux,Rehovot,R
HC,01/10/2024,19:15,Joker: Folie à Deux,Ashdod,R
HC,01/10/2024,18:15,Joker: Folie à Deux,Ashkelon,R
HC,01/10/2024,14:40,Memory,Kiryat Bialik,R
HC,01/10/2024,19:40,Memory,Kiryat Bialik,R
HC,01/10/2024,19:05,Memory,Haifa,R
HC,01/10/2024,19:30,Memory,Kfar Saba,R
HC,01/10/2024,16:45,Memory,Rehovot,R
HC,01/10/2024,21:50,My Old Ass,Kiryat Bialik,R
HC,01/10/2024,22:10,My Old Ass,Haifa,R
HC,01/10/2024,19:00,Smile 2,Carmiel,R
HC,01/10/2024,21:45,Smile 2,Carmiel,R
HC,01/10/2024,22:45,Smile 2,Carmiel,R
HC,01/10/2024,19:20,Smile 2,Nahariya,R
HC,01/10/2024,22:05,Smile 2,Nahariya,R
HC,01/10/2024,23:20,Smile 2,Nahariya,R
HC,01/10/2024,14:45,Smile 2,Kiryat Bialik,R
HC,01/10/2024,17:30,Smile 2,Kiryat Bialik,R
HC,01/10/2024,20:00,Smile 2,Kiryat Bialik,R
HC,01/10/2024,21:00,Smile 2,Kiryat Bialik,R
HC,01/10/2024,21:30,Smile 2,Kiryat Bialik,R
HC,01/10/2024,22:40,Smile 2,Kiryat Bialik,R
HC,01/10/2024,23:40,Smile 2,Kiryat Bialik,R
HC,01/10/2024,00:10,Smile 2,Kiryat Bialik,R
HC,01/10/2024,17:00,Smile 2,Haifa,R
HC,01/10/2024,20:00,Smile 2,Haifa,R
HC,01/10/2024,20:40,Smile 2,Haifa,R
HC,01/10/2024,21:30,Smile 2,Haifa,R
HC,01/10/2024,22:40,Smile 2,Haifa,R
HC,01/10/2024,23:15,Smile 2,Haifa,R
HC,01/10/2024,23:40,Smile 2,Haifa,R
HC,01/10/2024,00:10,Smile 2,Haifa,R
HC,01/10/2024,20:00,Smile 2,Kfar Saba,R
HC,01/10/2024,21:20,Smile 2,Kfar Saba,R
HC,01/10/2024,21:50,Smile 2,Kfar Saba,R
HC,01/10/2024,22:40,Smile 2,Kfar Saba,R
HC,01/10/2024,00:00,Smile 2,Kfar Saba,R
HC,01/10/2024,18:30,Smile 2,Petach Tikvah,R
HC,01/10/2024,20:00,Smile 2,Petach Tikvah,R
HC,01/10/2024,21:15,Smile 2,Petach Tikvah,R
HC,01/10/2024,22:45,Smile 2,Petach Tikvah,R
HC,01/10/2024,00:00,Smile 2,Petach Tikvah,R
HC,01/10/2024,19:00,Smile 2,Modiin,R
HC,01/10/2024,21:40,Smile 2,Modiin,R
HC,01/10/2024,22:40,Smile 2,Modiin,R
HC,01/10/2024,19:30,Smile 2,Rehovot,R
HC,01/10/2024,22:10,Smile 2,Rehovot,R
HC,01/10/2024,19:30,Smile 2,Ashdod,R
HC,01/10/2024,22:10,Smile 2,Ashdod,R
HC,01/10/2024,19:40,Smile 2,Ashkelon,R
HC,01/10/2024,20:50,Smile 2,Ashkelon,R
HC,01/10/2024,22:15,Smile 2,Ashkelon,R
HC,01/10/2024,00:00,Smile 2,Ashkelon,R
HC,01/10/2024,00:10,Speak No Evil,Kiryat Bialik,R
HC,01/10/2024,21:10,The Apprentice,Kiryat Bialik,R
HC,01/10/2024,14:15,The Apprentice,Haifa,R
HC,01/10/2024,19:40,The Apprentice,Haifa,R
HC,01/10/2024,21:30,The Apprentice,Kfar Saba,R
HC,01/10/2024,22:15,The Silent Hour,Kiryat Bialik,R
HC,01/10/2024,00:00,The Silent Hour,Haifa,R
HC,01/10/2024,16:55,The Wild Robot,Kiryat Bialik,R
HC,01/10/2024,14:50,The Wild Robot,Haifa,R
HC,01/10/2024,17:15,The Wild Robot,Haifa,R
HC,01/10/2024,14:30,The Wild Robot,Kfar Saba,R
HC,01/10/2024,14:00,The Wild Robot,Petach Tikvah,R
HC,01/10/2024,16:15,The Wild Robot,Petach Tikvah,R
HC,01/10/2024,16:45,The Wild Robot,Modiin,R
HC,01/10/2024,14:30,The Wild Robot,Rehovot,R
HC,01/10/2024,17:20,The Wild Robot,Ashkelon,R
HC,01/10/2024,14:50,Transformers One,Kiryat Bialik,R
HC,01/10/2024,17:05,Transformers One,Kiryat Bialik,R
HC,01/10/2024,14:35,Transformers One,Haifa,R
HC,01/10/2024,16:50,Transformers One,Haifa,R
HC,01/10/2024,17:00,Transformers One,Kfar Saba,R
HC,01/10/2024,17:45,Transformers One,Modiin,R
HC,01/10/2024,17:40,Transformers One,Rehovot,R
HC,01/10/2024,16:00,Transformers One,Ashkelon,R
HC,01/10/2024,18:25,Under Therapy,Carmiel,R
HC,01/10/2024,14:40,Under Therapy,Kiryat Bialik,R
HC,01/10/2024,16:45,Under Therapy,Kiryat Bialik,R
HC,01/10/2024,19:20,Under Therapy,Kiryat Bialik,R
HC,01/10/2024,15:00,Under Therapy,Haifa,R
HC,01/10/2024,17:05,Under Therapy,Haifa,R
HC,01/10/2024,19:30,Under Therapy,Haifa,R
HC,01/10/2024,21:35,Under Therapy,Haifa,R
HC,01/10/2024,17:00,Under Therapy,Kfar Saba,R
HC,01/10/2024,19:10,Under Therapy,Kfar Saba,R
HC,01/10/2024,18:20,Under Therapy,Petach Tikvah,R
HC,01/10/2024,18:30,Under Therapy,Modiin,R
HC,01/10/2024,18:15,Under Therapy,Rehovot,R
HC,01/10/2024,14:30,Venom: The Last Dance,Carmiel,R
HC,01/10/2024,17:00,Venom: The Last Dance,Carmiel,R
HC,01/10/2024,19:30,Venom: The Last Dance,Carmiel,R
HC,01/10/2024,22:00,Venom: The Last Dance,Carmiel,R
HC,01/10/2024,23:00,Venom: The Last Dance,Carmiel,R
HC,01/10/2024,14:20,Venom: The Last Dance,Nahariya,R
HC,01/10/2024,16:45,Venom: The Last Dance,Nahariya,R
HC,01/10/2024,19:10,Venom: The Last Dance,Nahariya,R
HC,01/10/2024,21:40,Venom: The Last Dance,Nahariya,R
HC,01/10/2024,23:30,Venom: The Last Dance,Nahariya,R
HC,01/10/2024,14:00,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,15:10,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,16:50,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,17:35,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,19:15,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,20:00,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,21:00,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,21:50,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,22:30,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,23:40,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,00:10,Venom: The Last Dance,Kiryat Bialik,R
HC,01/10/2024,14:00,Venom: The Last Dance,Haifa,R
HC,01/10/2024,15:30,Venom: The Last Dance,Haifa,R
HC,01/10/2024,16:40,Venom: The Last Dance,Haifa,R
HC,01/10/2024,17:50,Venom: The Last Dance,Haifa,R
HC,01/10/2024,18:30,Venom: The Last Dance,Haifa,R
HC,01/10/2024,19:10,Venom: The Last Dance,Haifa,R
HC,01/10/2024,20:10,Venom: The Last Dance,Haifa,R
HC,01/10/2024,20:50,Venom: The Last Dance,Haifa,R
HC,01/10/2024,21:40,Venom: The Last Dance,Haifa,R
HC,01/10/2024,22:30,Venom: The Last Dance,Haifa,R
HC,01/10/2024,23:10,Venom: The Last Dance,Haifa,R
HC,01/10/2024,23:30,Venom: The Last Dance,Haifa,R
HC,01/10/2024,00:05,Venom: The Last Dance,Haifa,R
HC,01/10/2024,14:00,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,15:30,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,17:00,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,18:00,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,18:45,Venom: The Last Dance,Kfar Saba,Premium
HC,01/10/2024,19:40,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,20:30,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,21:10,Venom: The Last Dance,Kfar Saba,Premium
HC,01/10/2024,21:40,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,22:15,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,23:00,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,23:30,Venom: The Last Dance,Kfar Saba,Premium
HC,01/10/2024,00:00,Venom: The Last Dance,Kfar Saba,R
HC,01/10/2024,14:10,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,16:35,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,19:00,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,20:30,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,21:30,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,22:50,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,00:00,Venom: The Last Dance,Petach Tikvah,R
HC,01/10/2024,15:00,Venom: The Last Dance,Modiin,R
HC,01/10/2024,17:30,Venom: The Last Dance,Modiin,R
HC,01/10/2024,18:20,Venom: The Last Dance,Modiin,R
HC,01/10/2024,19:45,Venom: The Last Dance,Modiin,R
HC,01/10/2024,20:40,Venom: The Last Dance,Modiin,R
HC,01/10/2024,22:10,Venom: The Last Dance,Modiin,R
HC,01/10/2024,23:00,Venom: The Last Dance,Modiin,R
HC,01/10/2024,14:00,Venom: The Last Dance,Rehovot,R
HC,01/10/2024,16:30,Venom: The Last Dance,Rehovot,R
HC,01/10/2024,19:15,Venom: The Last Dance,Rehovot,R
HC,01/10/2024,20:00,Venom: The Last Dance,Rehovot,R
HC,01/10/2024,21:40,Venom: The Last Dance,Rehovot,R
HC,01/10/2024,22:25,Venom: The Last Dance,Rehovot,R
HC,01/10/2024,14:10,Venom: The Last Dance,Ashdod,R
HC,01/10/2024,16:40,Venom: The Last Dance,Ashdod,R
HC,01/10/2024,19:10,Venom: The Last Dance,Ashdod,R
HC,01/10/2024,20:10,Venom: The Last Dance,Ashdod,R
HC,01/10/2024,21:30,Venom: The Last Dance,Ashdod,R
HC,01/10/2024,22:40,Venom: The Last Dance,Ashdod,R
HC,01/10/2024,14:20,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,16:50,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,19:20,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,20:30,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,21:40,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,22:50,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,00:00,Venom: The Last Dance,Ashkelon,R
HC,01/10/2024,18:20,We Live in Time,Carmiel,R
HC,01/10/2024,18:20,We Live in Time,Nahariya,R
